sortie,raw_feature,importance
N_lixi,Date_Semis,0.5650102459323005
N_lixi,Delta_PREPA_Semis,0.23307858670439266
N_lixi,Date_Recolte,0.16521728014163448
N_lixi,has_prepa,0.03669388722167223
N_lixi,Date_F1,0.0
N_lixi,nb_f2,0.0
N_lixi,type_f3_1,0.0
N_lixi,type_f2_2,0.0
N_lixi,type_f2_1,0.0
N_lixi,type_f1_2,0.0
N_lixi,type_f1_1,0.0
N_lixi,prepa_2,0.0
N_lixi,prepa_1,0.0
N_lixi,nb_prepa,0.0
N_lixi,nb_f3,0.0
N_lixi,n_ferti,0.0
N_lixi,nb_f1,0.0
N_lixi,Date_F2,0.0
N_lixi,Dose_F3_2,0.0
N_lixi,Dose_F3_1,0.0
N_lixi,Dose_F2_2,0.0
N_lixi,Dose_F2_1,0.0
N_lixi,Dose_F1_2,0.0
N_lixi,Dose_F1_1,0.0
N_lixi,Date_F3,0.0
N_lixi,type_f3_2,0.0
