sortie,raw_feature,importance
dCorg,Date_Recolte,0.6968845655326785
dCorg,Date_Semis,0.3031154344673216
dCorg,Date_F1,0.0
dCorg,nb_f1,0.0
dCorg,type_f3_1,0.0
dCorg,type_f2_2,0.0
dCorg,type_f2_1,0.0
dCorg,type_f1_2,0.0
dCorg,type_f1_1,0.0
dCorg,prepa_2,0.0
dCorg,prepa_1,0.0
dCorg,nb_prepa,0.0
dCorg,nb_f3,0.0
dCorg,nb_f2,0.0
dCorg,n_ferti,0.0
dCorg,Date_F2,0.0
dCorg,has_prepa,0.0
dCorg,Dose_F3_2,0.0
dCorg,Dose_F3_1,0.0
dCorg,Dose_F2_2,0.0
dCorg,Dose_F2_1,0.0
dCorg,Dose_F1_2,0.0
dCorg,Dose_F1_1,0.0
dCorg,Delta_PREPA_Semis,0.0
dCorg,Date_F3,0.0
dCorg,type_f3_2,0.0
