sortie,raw_feature,importance
rdt,Delta_PREPA_Semis,0.3488073340554834
rdt,Date_Semis,0.33113603584157913
rdt,Date_Recolte,0.2661196969029506
rdt,has_prepa,0.05393693319998683
rdt,Date_F1,0.0
rdt,nb_f2,0.0
rdt,type_f3_1,0.0
rdt,type_f2_2,0.0
rdt,type_f2_1,0.0
rdt,type_f1_2,0.0
rdt,type_f1_1,0.0
rdt,prepa_2,0.0
rdt,prepa_1,0.0
rdt,nb_prepa,0.0
rdt,nb_f3,0.0
rdt,n_ferti,0.0
rdt,nb_f1,0.0
rdt,Date_F2,0.0
rdt,Dose_F3_2,0.0
rdt,Dose_F3_1,0.0
rdt,Dose_F2_2,0.0
rdt,Dose_F2_1,0.0
rdt,Dose_F1_2,0.0
rdt,Dose_F1_1,0.0
rdt,Date_F3,0.0
rdt,type_f3_2,0.0
