sortie,leaf_id,n,mean,std,min,max,rules
dCorg,44,195,-298.16469743589744,7.782055112829577,-314.91999999999996,-274.55,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte > 367.5 ET Date_Semis <= 54.14 ET Date_Recolte > 376.1
dCorg,43,228,-284.60515789473686,7.135129954243736,-301.5,-269.35,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte > 367.5 ET Date_Semis <= 54.14 ET Date_Recolte <= 376.1
dCorg,47,248,-278.73454032258064,6.626540598687963,-294.506,-263.64,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte > 367.5 ET Date_Semis > 54.14 ET Date_Recolte > 375.7
dCorg,37,212,-266.3784528301887,7.031530524650479,-283.72799999999995,-251.488,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte <= 367.5 ET Date_Semis <= 55.38 ET Date_Recolte > 360.2
dCorg,46,239,-264.5334644351464,6.768725864563596,-280.088,-248.748,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte > 367.5 ET Date_Semis > 54.14 ET Date_Recolte <= 375.7
dCorg,59,462,-257.58861471861474,7.789125371362451,-278.148,-241.166,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte > 369.2 ET Date_Semis <= 84.67 ET Date_Recolte > 375.4
dCorg,36,200,-253.84703000000002,5.9793185204456805,-268.84000000000003,-238.62000000000003,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte <= 367.5 ET Date_Semis <= 55.38 ET Date_Recolte <= 360.2
dCorg,40,153,-249.2935424836601,5.968789516250489,-265.322,-236.156,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte <= 367.5 ET Date_Semis > 55.38 ET Date_Recolte > 361.4
dCorg,58,314,-243.8972229299363,6.671736746554022,-261.6,-230.08,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte > 369.2 ET Date_Semis <= 84.67 ET Date_Recolte <= 375.4
dCorg,13,209,-241.23207655502392,6.720717660988794,-259.67600000000004,-226.998,Date_Recolte <= 352.6 ET Date_Semis <= 64.98 ET Date_Recolte > 336.2 ET Date_Semis <= 55.56 ET Date_Recolte > 344.9
dCorg,62,413,-239.37171912832932,6.687760954244237,-256.352,-224.538,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte > 369.2 ET Date_Semis > 84.67 ET Date_Recolte > 376.8
dCorg,39,257,-236.14140856031128,5.809284354490896,-250.114,-222.76799999999997,Date_Recolte > 352.6 ET Date_Semis <= 64.69 ET Date_Recolte <= 367.5 ET Date_Semis > 55.38 ET Date_Recolte <= 361.4
dCorg,52,390,-231.41084615384614,7.036344389455082,-251.138,-217.252,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte <= 369.2 ET Date_Semis <= 82.8 ET Date_Recolte > 361
dCorg,12,280,-226.00445714285715,6.695594868517501,-242.598,-207.532,Date_Recolte <= 352.6 ET Date_Semis <= 64.98 ET Date_Recolte > 336.2 ET Date_Semis <= 55.56 ET Date_Recolte <= 344.9
dCorg,61,417,-225.73522302158275,6.419884916192895,-242.13,-211.01800000000003,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte > 369.2 ET Date_Semis > 84.67 ET Date_Recolte <= 376.8
dCorg,16,250,-220.904968,6.2063760923565585,-236.006,-207.956,Date_Recolte <= 352.6 ET Date_Semis <= 64.98 ET Date_Recolte > 336.2 ET Date_Semis > 55.56 ET Date_Recolte > 342.5
dCorg,51,451,-218.2671796008869,6.129448200731415,-236.212,-204.224,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte <= 369.2 ET Date_Semis <= 82.8 ET Date_Recolte <= 361
dCorg,55,453,-212.64973509933776,6.823928719484878,-230.33199999999997,-196.406,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte <= 369.2 ET Date_Semis > 82.8 ET Date_Recolte > 361.6
dCorg,6,152,-210.02442105263157,5.655504313505885,-221.994,-198.244,Date_Recolte <= 352.6 ET Date_Semis <= 64.98 ET Date_Recolte <= 336.2 ET Date_Semis <= 54.1 ET Date_Recolte > 329.9
dCorg,15,161,-207.55850931677017,5.573825693720166,-220.706,-195.032,Date_Recolte <= 352.6 ET Date_Semis <= 64.98 ET Date_Recolte > 336.2 ET Date_Semis > 55.56 ET Date_Recolte <= 342.5
dCorg,28,407,-205.53877641277643,6.338528478872033,-220.996,-190.572,Date_Recolte <= 352.6 ET Date_Semis > 64.98 ET Date_Recolte > 337 ET Date_Semis <= 84.5 ET Date_Recolte > 344.8
dCorg,54,554,-199.48640072202167,6.746374886587555,-217.22999999999996,-185.158,Date_Recolte > 352.6 ET Date_Semis > 64.69 ET Date_Recolte <= 369.2 ET Date_Semis > 82.8 ET Date_Recolte <= 361.6
