sortie,leaf_id,n,mean,std,min,max,rules
rdt,42,387,4.135891472868217,0.04265075189189764,4.06,4.34,Delta_PREPA_Semis > -24.56 ET Date_Recolte <= 332 ET Date_Semis > 70.48 ET Date_Semis > 81.26 ET Date_Recolte <= 330.5
rdt,43,71,4.209647887323944,0.044660016822832764,4.125,4.33,Delta_PREPA_Semis > -24.56 ET Date_Recolte <= 332 ET Date_Semis > 70.48 ET Date_Semis > 81.26 ET Date_Recolte > 330.5
rdt,12,92,4.245652173913044,0.07484495839680849,4.08,4.45,Delta_PREPA_Semis <= -24.56 ET Date_Recolte <= 335.1 ET Date_Semis > 77.01 ET Date_Semis > 96.35
rdt,40,117,4.270213675213675,0.06516025722571392,4.13,4.404999999999999,Delta_PREPA_Semis > -24.56 ET Date_Recolte <= 332 ET Date_Semis > 70.48 ET Date_Semis <= 81.26 ET has_prepa == 0.0
rdt,48,301,4.29343853820598,0.06856544593687634,4.16,4.449999999999999,Delta_PREPA_Semis > -24.56 ET Date_Recolte > 332 ET has_prepa != 1.0 ET Date_Recolte <= 339.9 ET Date_Semis > 77.64
rdt,10,81,4.344135802469136,0.07776483027153402,4.195,4.47,Delta_PREPA_Semis <= -24.56 ET Date_Recolte <= 335.1 ET Date_Semis > 77.01 ET Date_Semis <= 96.35 ET Date_Recolte <= 328.9
rdt,39,60,4.351583333333334,0.07174278246735476,4.21,4.51,Delta_PREPA_Semis > -24.56 ET Date_Recolte <= 332 ET Date_Semis > 70.48 ET Date_Semis <= 81.26 ET has_prepa != 0.0
rdt,57,189,4.354973544973545,0.07898373343589614,4.1899999999999995,4.575,Delta_PREPA_Semis > -24.56 ET Date_Recolte > 332 ET has_prepa == 1.0 ET Date_Semis > 79.16 ET Date_Recolte <= 341.4
rdt,35,76,4.388618421052631,0.06371602982091995,4.255,4.545,Delta_PREPA_Semis > -24.56 ET Date_Recolte <= 332 ET Date_Semis <= 70.48 ET Date_Semis > 62.91 ET Date_Recolte <= 327.5
rdt,51,1030,4.429621359223301,0.03177304004895427,4.32,4.49,Delta_PREPA_Semis > -24.56 ET Date_Recolte > 332 ET has_prepa != 1.0 ET Date_Recolte > 339.9 ET Date_Recolte > 371.1
rdt,11,73,4.451849315068493,0.07520115085423965,4.3100000000000005,4.605,Delta_PREPA_Semis <= -24.56 ET Date_Recolte <= 335.1 ET Date_Semis > 77.01 ET Date_Semis <= 96.35 ET Date_Recolte > 328.9
rdt,50,2569,4.470360062281043,0.03457627321090273,4.3149999999999995,4.575,Delta_PREPA_Semis > -24.56 ET Date_Recolte > 332 ET has_prepa != 1.0 ET Date_Recolte > 339.9 ET Date_Recolte <= 371.1
