sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
N_lixi,18,Date_Semis,continuous,,52.76755142211914,Date_Semis <= 52.77,Date_Semis > 52.77,166,47,119,2.4527228915662653,1.9761276595744675,2.640957983193277,0.6648303236188093,0.08971194716297295
N_lixi,3,Date_Semis,continuous,,56.32331848144531,Date_Semis <= 56.32,Date_Semis > 56.32,472,199,273,2.065360169491524,1.719396984924623,2.3175457875457868,0.5981488026211639,0.0872469395240249
N_lixi,0,Date_Semis,continuous,,73.23236083984375,Date_Semis <= 73.23,Date_Semis > 73.23,7500,3477,4023,2.8243560000000163,2.533944779982737,3.0753527218493706,0.5414079418666335,0.07289226421261805
N_lixi,47,Date_Semis,continuous,,81.08957290649414,Date_Semis <= 81.09,Date_Semis > 81.09,472,109,363,3.479313559322034,3.0682018348623847,3.6027603305785134,0.5345584957161287,0.050750415010229144
N_lixi,30,Delta_PREPA_Semis,continuous,,-24.240368843078613,Delta_PREPA_Semis <= -24.24,Delta_PREPA_Semis > -24.24,4023,1034,2989,3.0753527218493706,2.715717601547389,3.199763131482101,0.48404552993471217,0.04474235263489035
N_lixi,17,Delta_PREPA_Semis,continuous,,-27.780741691589355,Delta_PREPA_Semis <= -27.78,Delta_PREPA_Semis > -27.78,822,166,656,2.8681508515815146,2.4527228915662653,2.973274390243898,0.5205514986776327,0.04367125721630253
N_lixi,1,Date_Recolte,continuous,,369.65863037109375,Date_Recolte <= 369.7,Date_Recolte > 369.7,3477,2655,822,2.533944779982737,2.4304730696798447,2.8681508515815146,0.43767778190166995,0.03458087382192977
N_lixi,2,Delta_PREPA_Semis,continuous,,-29.39443302154541,Delta_PREPA_Semis <= -29.39,Delta_PREPA_Semis > -29.39,2655,472,2183,2.4304730696798447,2.065360169491524,2.5094163994502936,0.4440562299587696,0.028823228082987318
N_lixi,39,Date_Recolte,continuous,,331.498291015625,Date_Recolte <= 331.5,Date_Recolte > 331.5,483,74,409,2.8582815734989624,3.2330540540540538,2.790474327628362,-0.4425797264256919,0.025412289734491743
N_lixi,23,Date_Recolte,continuous,,375.5749053955078,Date_Recolte <= 375.6,Date_Recolte > 375.6,656,257,399,2.973274390243898,2.7875175097276275,3.0929223057644086,0.30540479603678117,0.02222542354729197
N_lixi,48,Date_Semis,continuous,,76.65218734741211,Date_Semis <= 76.65,Date_Semis > 76.65,109,50,59,3.0682018348623847,2.914399999999999,3.1985423728813562,0.284142372881357,0.02004661390426702
N_lixi,10,Date_Semis,continuous,,57.437076568603516,Date_Semis <= 57.44,Date_Semis > 57.44,2183,943,1240,2.5094163994502936,2.353535524920464,2.627961290322582,0.27442576540211805,0.01847888126022023
N_lixi,4,Date_Semis,continuous,,50.064579010009766,Date_Semis <= 50.06,Date_Semis > 50.06,199,104,95,1.719396984924623,1.5904807692307696,1.8605263157894742,0.2700455465587046,0.018193859258502258
N_lixi,31,Date_Semis,continuous,,90.0658950805664,Date_Semis <= 90.07,Date_Semis > 90.07,1034,551,483,2.715717601547389,2.5907477313974585,2.8582815734989624,0.2675338421015039,0.017816201062845108
N_lixi,14,has_prepa,categorical,0.0,0.5,has_prepa != 0.0,has_prepa == 0.0,1240,483,757,2.627961290322582,2.471138716356107,2.7280211360634112,0.2568824197073041,0.015691642559831243
N_lixi,11,Date_Recolte,continuous,,337.4449768066406,Date_Recolte <= 337.4,Date_Recolte > 337.4,943,281,662,2.353535524920464,2.166982206405694,2.432722054380663,0.2657398479749693,0.014772509852466014
N_lixi,46,Date_Recolte,continuous,,332.2986602783203,Date_Recolte <= 332.3,Date_Recolte > 332.3,2989,472,2517,3.199763131482101,3.479313559322034,3.147340484704014,-0.33197307461801984,0.014654773335299395
N_lixi,7,Date_Semis,continuous,,63.04234313964844,Date_Semis <= 63.04,Date_Semis > 63.04,273,109,164,2.3175457875457868,2.1740366972477063,2.412926829268293,0.2388901320205865,0.013688046529282252
N_lixi,55,Date_Semis,continuous,,90.65248107910156,Date_Semis <= 90.65,Date_Semis > 90.65,859,449,410,3.014772991850993,2.9096614699331877,3.129882926829269,0.2202214568960814,0.012099380453426208
N_lixi,51,Date_Semis,continuous,,89.29476547241211,Date_Semis <= 89.29,Date_Semis > 89.29,363,116,247,3.6027603305785134,3.445379310344828,3.676672064777327,0.23129275443249897,0.011632304135462328
N_lixi,40,Delta_PREPA_Semis,continuous,,-33.732126235961914,Delta_PREPA_Semis <= -33.73,Delta_PREPA_Semis > -33.73,74,37,37,3.2330540540540538,3.1303243243243246,3.335783783783784,0.2054594594594592,0.010553397370343554
N_lixi,54,has_prepa,categorical,0.0,0.5,has_prepa != 0.0,has_prepa == 0.0,2517,859,1658,3.147340484704014,3.014772991850993,3.216022919179735,0.20124992732874203,0.009105058141500106
N_lixi,43,Delta_PREPA_Semis,continuous,,-34.9082145690918,Delta_PREPA_Semis <= -34.91,Delta_PREPA_Semis > -34.91,409,204,205,2.790474327628362,2.7013333333333343,2.879180487804877,0.17784715447154253,0.007907355318244283
N_lixi,33,Date_Recolte,continuous,,331.32850646972656,Date_Recolte <= 331.3,Date_Recolte > 331.3,442,77,365,2.558800904977376,2.748623376623377,2.5187561643835634,-0.22986721223981377,0.007601391635937675
N_lixi,27,has_prepa,categorical,1.0,0.5,has_prepa != 1.0,has_prepa == 1.0,399,252,147,3.0929223057644086,3.1567857142857134,2.9834421768707493,-0.1733435374149641,0.006991774196533367
N_lixi,58,Date_Semis,continuous,,78.44628524780273,Date_Semis <= 78.45,Date_Semis > 78.45,1658,277,1381,3.216022919179735,3.0362671480144434,3.2520782041998544,0.21581105618541097,0.006481145563348051
N_lixi,24,has_prepa,categorical,1.0,0.5,has_prepa != 1.0,has_prepa == 1.0,257,167,90,2.7875175097276275,2.8457964071856283,2.6793777777777783,-0.16641862940785002,0.006302264349441482
N_lixi,20,Delta_PREPA_Semis,continuous,,-35.51336669921875,Delta_PREPA_Semis <= -35.51,Delta_PREPA_Semis > -35.51,119,62,57,2.640957983193277,2.5655161290322583,2.723017543859649,0.15750141482739055,0.006190725408308848
N_lixi,32,Date_Recolte,continuous,,372.3015899658203,Date_Recolte <= 372.3,Date_Recolte > 372.3,551,442,109,2.5907477313974585,2.558800904977376,2.7202935779816526,0.16149267300427672,0.004138578674263897
N_lixi,36,Date_Recolte,continuous,,379.4149932861328,Date_Recolte <= 379.4,Date_Recolte > 379.4,109,72,37,2.7202935779816526,2.690722222222222,2.777837837837838,0.0871156156156161,0.0017016617801528377
dCorg,0,Date_Recolte,continuous,,352.62379455566406,Date_Recolte <= 352.6,Date_Recolte > 352.6,7500,3625,3875,-215.70239439999958,-189.34449379310382,-240.3597852903231,-51.015291497219266,649.9170583124787
dCorg,32,Date_Semis,continuous,,64.68924331665039,Date_Semis <= 64.69,Date_Semis > 64.69,3875,1291,2584,-240.3597852903231,-266.68199690162663,-227.2088660990707,39.47313080255594,346.161277835937
dCorg,1,Date_Semis,continuous,,64.98017120361328,Date_Semis <= 64.98,Date_Semis > 64.98,3625,1173,2452,-189.34449379310382,-212.32429667519148,-178.3513009787925,33.97299569639898,252.62140391763495
dCorg,33,Date_Recolte,continuous,,367.5039978027344,Date_Recolte <= 367.5,Date_Recolte > 367.5,1291,597,694,-266.68199690162663,-250.9382144053601,-280.2252795389046,-29.287065133544502,213.22249612678405
dCorg,2,Date_Recolte,continuous,,336.1828155517578,Date_Recolte <= 336.2,Date_Recolte > 336.2,1173,484,689,-212.32429667519148,-194.94997933884275,-224.52918722786606,-29.57920788902331,212.05164151757168
dCorg,48,Date_Recolte,continuous,,369.2045135498047,Date_Recolte <= 369.2,Date_Recolte > 369.2,2584,1380,1204,-227.2088660990707,-214.2561434782606,-242.05500996677722,-27.79886648851661,192.29798350663154
dCorg,17,Date_Recolte,continuous,,337.0143737792969,Date_Recolte <= 337,Date_Recolte > 337,2452,1171,1281,-178.3513009787925,-165.39503330486806,-190.19500858704149,-24.79997528217342,153.45024602380042
dCorg,56,Date_Semis,continuous,,84.67143249511719,Date_Semis <= 84.67,Date_Semis > 84.67,1204,585,619,-242.05500996677722,-252.23658803418815,-232.43267851373184,19.8039095204563,97.97051887932874
