sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
rdt,2,Date_Semis,continuous,,77.01067733764648,Date_Semis <= 77.01,Date_Semis > 77.01,350,165,185,4.4963,4.665636363636359,4.345270270270275,-0.32036609336608457,0.025574825233410488
rdt,29,Date_Semis,continuous,,70.4814338684082,Date_Semis <= 70.48,Date_Semis > 70.48,811,317,494,4.311011097410599,4.502018927444797,4.188441295546555,-0.3135776318982417,0.023411791881777687
rdt,46,Date_Semis,continuous,,77.63761901855469,Date_Semis <= 77.64,Date_Semis > 77.64,482,261,221,4.403423236514524,4.494157088122601,4.296266968325791,-0.19789011979680993,0.0097227009367084
rdt,0,Delta_PREPA_Semis,continuous,,-24.558951377868652,Delta_PREPA_Semis <= -24.56,Delta_PREPA_Semis > -24.56,7500,1840,5660,4.494811333333338,4.626222826086958,4.452090989399299,-0.17413183668765964,0.005613944167317697
rdt,8,Date_Semis,continuous,,96.35243606567383,Date_Semis <= 96.35,Date_Semis > 96.35,185,117,68,4.345270270270275,4.401367521367522,4.24875,-0.15261752136752182,0.005414521837361456
rdt,3,Date_Semis,continuous,,64.83364486694336,Date_Semis <= 64.83,Date_Semis > 64.83,165,101,64,4.665636363636359,4.722079207920792,4.576562499999998,-0.14551670792079374,0.005027582215040943
rdt,37,Date_Semis,continuous,,81.25742721557617,Date_Semis <= 81.26,Date_Semis > 81.26,494,139,355,4.188441295546555,4.293525179856115,4.147295774647891,-0.14622940520822336,0.004323731157963065
rdt,56,Date_Recolte,continuous,,341.3576965332031,Date_Recolte <= 341.4,Date_Recolte > 341.4,734,136,598,4.485667574931885,4.3533455882352925,4.5157608695652165,0.162415281329924,0.003982004532334715
rdt,1,Date_Recolte,continuous,,335.1382141113281,Date_Recolte <= 335.1,Date_Recolte > 335.1,1840,350,1490,4.626222826086958,4.4963,4.656741610738255,0.16044161073825514,0.003965086750637723
rdt,28,Date_Recolte,continuous,,332.00538635253906,Date_Recolte <= 332,Date_Recolte > 332,5660,811,4849,4.452090989399299,4.311011097410599,4.475686739533927,0.16467564212332775,0.003328885880566552
