sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
N_lixi,18,Date_Semis,continuous,,52.76755142211914,Date_Semis <= 52.77,Date_Semis > 52.77,166,47,119,2.4527228915662653,1.9761276595744677,2.640957983193277,0.6648303236188093,0.0897119471629729
N_lixi,3,Date_Semis,continuous,,56.32331848144531,Date_Semis <= 56.32,Date_Semis > 56.32,472,199,273,2.065360169491524,1.719396984924623,2.3175457875457868,0.5981488026211639,0.0872469395240249
N_lixi,0,Date_Semis,continuous,,73.23236083984375,Date_Semis <= 73.23,Date_Semis > 73.23,7500,3477,4023,2.8243560000000163,2.533944779982737,3.0753527218493706,0.5414079418666335,0.072892264212618
N_lixi,47,Date_Semis,continuous,,81.08957290649414,Date_Semis <= 81.09,Date_Semis > 81.09,472,109,363,3.479313559322034,3.0682018348623847,3.6027603305785134,0.5345584957161287,0.0507504150102291
N_lixi,30,Delta_PREPA_Semis,continuous,,-24.240368843078613,Delta_PREPA_Semis <= -24.24,Delta_PREPA_Semis > -24.24,4023,1034,2989,3.0753527218493706,2.715717601547389,3.199763131482101,0.4840455299347121,0.0447423526348903
N_lixi,17,Delta_PREPA_Semis,continuous,,-27.780741691589355,Delta_PREPA_Semis <= -27.78,Delta_PREPA_Semis > -27.78,822,166,656,2.8681508515815146,2.4527228915662653,2.973274390243898,0.5205514986776327,0.0436712572163025
N_lixi,1,Date_Recolte,continuous,,369.65863037109375,Date_Recolte <= 369.7,Date_Recolte > 369.7,3477,2655,822,2.533944779982737,2.4304730696798447,2.8681508515815146,0.4376777819016699,0.0345808738219297
N_lixi,2,Delta_PREPA_Semis,continuous,,-29.39443302154541,Delta_PREPA_Semis <= -29.39,Delta_PREPA_Semis > -29.39,2655,472,2183,2.4304730696798447,2.065360169491524,2.5094163994502936,0.4440562299587696,0.0288232280829873
N_lixi,39,Date_Recolte,continuous,,331.498291015625,Date_Recolte <= 331.5,Date_Recolte > 331.5,483,74,409,2.8582815734989624,3.2330540540540538,2.790474327628362,-0.4425797264256919,0.0254122897344917
N_lixi,23,Date_Recolte,continuous,,375.5749053955078,Date_Recolte <= 375.6,Date_Recolte > 375.6,656,257,399,2.973274390243898,2.7875175097276275,3.0929223057644086,0.3054047960367811,0.0222254235472919
N_lixi,48,Date_Semis,continuous,,76.65218734741211,Date_Semis <= 76.65,Date_Semis > 76.65,109,50,59,3.0682018348623847,2.914399999999999,3.198542372881356,0.284142372881357,0.020046613904267
N_lixi,10,Date_Semis,continuous,,57.43707656860352,Date_Semis <= 57.44,Date_Semis > 57.44,2183,943,1240,2.5094163994502936,2.353535524920464,2.627961290322582,0.274425765402118,0.0184788812602202
N_lixi,4,Date_Semis,continuous,,50.064579010009766,Date_Semis <= 50.06,Date_Semis > 50.06,199,104,95,1.719396984924623,1.5904807692307696,1.8605263157894745,0.2700455465587046,0.0181938592585022
N_lixi,31,Date_Semis,continuous,,90.0658950805664,Date_Semis <= 90.07,Date_Semis > 90.07,1034,551,483,2.715717601547389,2.5907477313974585,2.8582815734989624,0.2675338421015039,0.0178162010628451
N_lixi,14,has_prepa,categorical,0.0,0.5,has_prepa != 0.0,has_prepa == 0.0,1240,483,757,2.627961290322582,2.471138716356107,2.7280211360634112,0.2568824197073041,0.0156916425598312
dCorg,0,Date_Recolte,continuous,,352.62379455566406,Date_Recolte <= 352.6,Date_Recolte > 352.6,7500,3625,3875,-215.7023943999996,-189.34449379310385,-240.3597852903231,-51.015291497219266,649.9170583124787
dCorg,32,Date_Semis,continuous,,64.68924331665039,Date_Semis <= 64.69,Date_Semis > 64.69,3875,1291,2584,-240.3597852903231,-266.68199690162663,-227.2088660990707,39.47313080255594,346.161277835937
dCorg,1,Date_Semis,continuous,,64.98017120361328,Date_Semis <= 64.98,Date_Semis > 64.98,3625,1173,2452,-189.34449379310385,-212.32429667519148,-178.3513009787925,33.97299569639898,252.62140391763495
dCorg,33,Date_Recolte,continuous,,367.5039978027344,Date_Recolte <= 367.5,Date_Recolte > 367.5,1291,597,694,-266.68199690162663,-250.9382144053601,-280.2252795389046,-29.287065133544505,213.22249612678405
dCorg,2,Date_Recolte,continuous,,336.1828155517578,Date_Recolte <= 336.2,Date_Recolte > 336.2,1173,484,689,-212.32429667519148,-194.94997933884275,-224.5291872278661,-29.57920788902331,212.05164151757168
dCorg,48,Date_Recolte,continuous,,369.2045135498047,Date_Recolte <= 369.2,Date_Recolte > 369.2,2584,1380,1204,-227.2088660990707,-214.2561434782606,-242.0550099667772,-27.79886648851661,192.2979835066315
