sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
N_lixi,2,Date_Semis,continuous,,76.6534423828125,Date_Semis <= 76.65,Date_Semis > 76.65,1012,488,524,0.15345124989720665,-0.1198077228337791,0.4079367054176666,0.5277444282514456,0.06954043415049786
N_lixi,16,Date_Semis,continuous,,64.48650741577148,Date_Semis <= 64.49,Date_Semis > 64.49,1041,342,699,0.15362765447500346,0.414827215489141,0.025830444365082056,-0.38899677112405895,0.03338057517954346
N_lixi,3,Date_Semis,continuous,,57.99638748168945,Date_Semis <= 58,Date_Semis > 58,488,199,289,-0.1198077228337791,-0.28069199774366804,-0.009025817272990759,0.2716661804706773,0.01782306654928327
N_lixi,17,Delta_PREPA_Semis,continuous,,-33.42400932312012,Delta_PREPA_Semis <= -33.42,Delta_PREPA_Semis > -33.42,342,47,295,0.414827215489141,0.08850483431884057,0.4668175609637314,0.3783127266448908,0.01696561333313487
N_lixi,19,Date_Semis,continuous,,60.51667594909668,Date_Semis <= 60.52,Date_Semis > 60.52,295,236,59,0.4668175609637314,0.5256971846951737,0.2312990660379605,-0.2943981186572132,0.01386724036302494
N_lixi,13,Date_Recolte,continuous,,340.99024963378906,Date_Recolte <= 341,Date_Recolte > 341,351,72,279,-0.16747224802502234,0.05147200108428828,-0.22397398973065077,-0.27544599081493903,0.012370731411107774
N_lixi,22,Date_Semis,continuous,,86.3972282409668,Date_Semis <= 86.4,Date_Semis > 86.4,699,386,313,0.025830444365082056,0.11131081907909764,-0.07958624777424696,-0.1908970668533446,0.009011058345181929
N_lixi,1,Date_Recolte,continuous,,331.27259826660156,Date_Recolte <= 331.3,Date_Recolte > 331.3,6459,1012,5447,-0.02476023971334337,0.15345124989720665,-0.05787021354956062,-0.21132146344676728,0.0059005777583186585
N_lixi,6,Date_Recolte,continuous,,326.4809112548828,Date_Recolte <= 326.5,Date_Recolte > 326.5,524,208,316,0.4079367054176666,0.492464960009011,0.35229785429425037,-0.14016710571476065,0.004703054972929937
N_lixi,0,Date_Recolte,continuous,,375.6333923339844,Date_Recolte <= 375.6,Date_Recolte > 375.6,7500,6459,1041,-7.934689942127685e-16,-0.02476023971334337,0.15362765447500346,0.17838789418834683,0.0038038575513996663
N_lixi,26,Date_Semis,continuous,,102.51000213623047,Date_Semis <= 102.5,Date_Semis > 102.5,313,264,49,-0.07958624777424696,-0.05613967479494141,-0.20591064096887304,-0.14977096617393162,0.00296187410410432
N_lixi,23,Delta_PREPA_Semis,continuous,,-34.00103950500488,Delta_PREPA_Semis <= -34,Delta_PREPA_Semis > -34,386,46,340,0.11131081907909764,0.23414944425549616,0.09469147567287901,-0.13945796858261716,0.0020414972953543458
N_lixi,9,Date_Semis,continuous,,101.89980697631836,Date_Semis <= 101.9,Date_Semis > 101.9,5447,5096,351,-0.05787021354956062,-0.05032109382803649,-0.16747224802502234,-0.11715115419698585,0.0008273988799777936
N_lixi,10,Date_Recolte,continuous,,368.18597412109375,Date_Recolte <= 368.2,Date_Recolte > 368.2,5096,4257,839,-0.05032109382803649,-0.06267831677808235,0.01237818876832222,0.07505650554640457,0.0007747890138511361
dCorg,1,Date_Recolte,continuous,,336.6551971435547,Date_Recolte <= 336.7,Date_Recolte > 336.7,1171,240,931,-4.786781008400995,1.0001179169898016,-6.278570205064573,-7.278688122054374,8.632833299082053
dCorg,13,Delta_PREPA_Semis,continuous,,-35.560157775878906,Delta_PREPA_Semis <= -35.56,Delta_PREPA_Semis > -35.56,343,37,306,-8.372501730166462,-1.7697457867334225,-9.17087418084301,-7.401128394109587,5.271458443777698
dCorg,24,Date_Recolte,continuous,,351.2870635986328,Date_Recolte <= 351.3,Date_Recolte > 351.3,1564,753,811,-2.877800007476484,-5.185672469527999,-0.73497884357416,4.450693625953839,4.945357955271565
dCorg,16,Date_Semis,continuous,,93.04705047607422,Date_Semis <= 93.05,Date_Semis > 93.05,6329,4765,1564,0.8856565904306809,2.1209233520522597,-2.877800007476484,-4.998723359528744,4.648872844200119
