sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
dCorg,1,Date_Recolte,continuous,,336.6551971435547,Date_Recolte <= 336.7,Date_Recolte > 336.7,1171,240,931,-4.786781008400995,1.0001179169898016,-6.278570205064573,-7.278688122054374,8.632833299082053
dCorg,13,Delta_PREPA_Semis,continuous,,-35.560157775878906,Delta_PREPA_Semis <= -35.56,Delta_PREPA_Semis > -35.56,343,37,306,-8.372501730166462,-1.7697457867334225,-9.17087418084301,-7.401128394109587,5.271458443777698
dCorg,24,Date_Recolte,continuous,,351.2870635986328,Date_Recolte <= 351.3,Date_Recolte > 351.3,1564,753,811,-2.877800007476484,-5.185672469527999,-0.73497884357416,4.450693625953839,4.945357955271565
dCorg,16,Date_Semis,continuous,,93.04705047607422,Date_Semis <= 93.05,Date_Semis > 93.05,6329,4765,1564,0.8856565904306809,2.1209233520522597,-2.877800007476484,-4.998723359528744,4.648872844200119
dCorg,0,Date_Semis,continuous,,54.50700569152832,Date_Semis <= 54.51,Date_Semis > 54.51,7500,1171,6329,-2.3546059916649636e-13,-4.786781008400995,0.8856565904306809,5.672437598831676,4.239444147039695
dCorg,21,Date_Recolte,continuous,,350.83531188964844,Date_Recolte <= 350.8,Date_Recolte > 350.8,1658,760,898,0.9169310226398927,-0.9172604214994277,2.4692534029805127,3.38651382447994,2.84725642856675
dCorg,9,Date_Recolte,continuous,,366.5912780761719,Date_Recolte <= 366.6,Date_Recolte > 366.6,931,588,343,-6.278570205064573,-5.057110148755133,-8.372501730166462,-3.315391581411329,2.5576537185591075
dCorg,10,Date_Semis,continuous,,49.56939697265625,Date_Semis <= 49.57,Date_Semis > 49.57,588,291,297,-5.057110148755133,-6.515957753782333,-3.627734212516361,2.8882235412659716,2.085241661265421
dCorg,18,Date_Semis,continuous,,60.50747108459473,Date_Semis <= 60.51,Date_Semis > 60.51,3107,742,2365,2.7634142700328543,0.32656179106316996,3.5279574156546336,3.2013956245914637,1.863078859687655
dCorg,25,Date_Recolte,continuous,,330.59034729003906,Date_Recolte <= 330.6,Date_Recolte > 330.6,753,209,544,-5.185672469527999,-7.305409403866645,-4.37128824291627,2.934121160950375,1.7262803238916704
dCorg,6,Date_Semis,continuous,,48.72649574279785,Date_Semis <= 48.73,Date_Semis > 48.73,163,60,103,0.3635932446934507,-1.008223320080605,1.1627096901929006,2.1709330102735054,1.0962411771195077
dCorg,2,Date_Recolte,continuous,,327.46356201171875,Date_Recolte <= 327.5,Date_Recolte > 327.5,240,77,163,1.0001179169898016,2.3475662492535054,0.3635932446934507,-1.9839730045600548,0.8576841081304187
dCorg,17,Date_Semis,continuous,,79.83498764038086,Date_Semis <= 79.83,Date_Semis > 79.83,4765,3107,1658,2.1209233520522597,2.7634142700328543,0.9169310226398927,-1.8464832473929618,0.7735541369657895
dCorg,28,Date_Semis,continuous,,98.09308242797852,Date_Semis <= 98.09,Date_Semis > 98.09,811,321,490,-0.73497884357416,0.15466087448994006,-1.3177836384692123,-1.4724445129591524,0.5184862934168044
dCorg,3,Date_Semis,continuous,,49.23603439331055,Date_Semis <= 49.24,Date_Semis > 49.24,77,40,37,2.3475662492535054,1.7164241184108797,3.0298820663806687,1.313457947969789,0.4306382587292654
