sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
rdt,1,Date_Semis,continuous,,70.55202102661133,Date_Semis <= 70.55,Date_Semis > 70.55,1012,394,618,-0.0879612517031883,0.051250808442654866,-0.17671457160199452,-0.2279653800446494,0.012355532507895867
rdt,18,Date_Semis,continuous,,77.4920654296875,Date_Semis <= 77.49,Date_Semis > 77.49,471,252,219,-0.01417038419533023,0.06092834662125857,-0.10058536212126798,-0.16151370874252655,0.006489655165781461
rdt,24,Date_Semis,continuous,,67.72377014160156,Date_Semis <= 67.72,Date_Semis > 67.72,1676,637,1039,-0.04353993667919961,-0.11473895107399264,0.00011143210759834945,0.11485038318159099,0.003107934434603698
rdt,9,Date_Semis,continuous,,81.53028869628906,Date_Semis <= 81.53,Date_Semis > 81.53,618,181,437,-0.17671457160199452,-0.10579353367854967,-0.20608918914008012,-0.10029565546153045,0.0020832783644052265
rdt,2,Date_Semis,continuous,,64.50650787353516,Date_Semis <= 64.51,Date_Semis > 64.51,394,300,94,0.051250808442654866,0.07324326568382462,-0.01893788488022744,-0.09218115056405207,0.0015436218367170683
rdt,0,Date_Recolte,continuous,,331.27259826660156,Date_Recolte <= 331.3,Date_Recolte > 331.3,7500,1012,6488,3.510081114654895e-16,-0.0879612517031883,0.013720219901915675,0.10168147160510398,0.0012068477162154772
rdt,16,Date_Recolte,continuous,,370.359375,Date_Recolte <= 370.4,Date_Recolte > 370.4,6488,4812,1676,0.013720219901915675,0.03366369920988515,-0.04353993667919961,-0.07720363588908476,0.0011419667479465726
rdt,10,Date_Recolte,continuous,,328.5499725341797,Date_Recolte <= 328.5,Date_Recolte > 328.5,181,114,67,-0.10579353367854967,-0.12997314054150333,-0.06465211304606126,0.06532102749544207,0.000994783376676972
rdt,6,Date_Recolte,continuous,,327.32012939453125,Date_Recolte <= 327.3,Date_Recolte > 327.3,94,57,37,-0.01893788488022744,-0.0431521163024143,0.018365120283682035,0.061517236586096334,0.0009032635997819442
rdt,28,Date_Semis,continuous,,82.46802520751953,Date_Semis <= 82.47,Date_Semis > 82.47,1039,401,638,0.00011143210759834945,-0.03384986457897344,0.021457011999942054,0.05530687657891549,0.0007249235716707979
rdt,25,Date_Recolte,continuous,,374.4955291748047,Date_Recolte <= 374.5,Date_Recolte > 374.5,637,201,436,-0.11473895107399264,-0.08056927286977576,-0.13049148620942275,-0.049922213339646984,0.0005382590564782712
rdt,13,Date_Recolte,continuous,,328.56614685058594,Date_Recolte <= 328.6,Date_Recolte > 328.6,437,279,158,-0.20608918914008012,-0.22010760436168236,-0.1813351521348459,0.03877245222683645,0.0003470123691502599
rdt,3,Date_Semis,continuous,,52.212629318237305,Date_Semis <= 52.21,Date_Semis > 52.21,300,112,188,0.07324326568382462,0.09732424922167073,0.05889714783149078,-0.03842710139017994,0.00034546862783404726
rdt,21,Date_Semis,continuous,,68.20654678344727,Date_Semis <= 68.21,Date_Semis > 68.21,4341,1680,2661,0.03885371378805991,0.018168920835719613,0.051912884084915165,0.033743963249195555,0.000270126233719796
rdt,17,Date_Recolte,continuous,,335.4165954589844,Date_Recolte <= 335.4,Date_Recolte > 335.4,4812,471,4341,0.03366369920988515,-0.01417038419533023,0.03885371378805991,0.05302409798339014,0.0002482595902066902
