variable,conditionnelle,categorielle,frequence_active
n_ferti,False,True,1.0
has_prepa,False,True,1.0
nb_prepa,True,True,0.4922
prepa_1,True,True,0.4922
nb_f1,True,True,0.756
type_f1_1,True,True,0.756
nb_f2,True,True,0.5102
type_f2_1,True,True,0.5102
nb_f3,True,True,0.2538
type_f3_1,True,True,0.2538
prepa_2,True,True,0.246
type_f1_2,True,True,0.3758
type_f2_2,True,True,0.2511
type_f3_2,True,True,0.1274
Date_Semis,False,False,1.0
Delta_PREPA_Semis,True,False,0.4922
Date_F1,True,False,0.756
Date_F2,True,False,0.5102
Date_F3,True,False,0.2538
Date_Recolte,False,False,1.0
Dose_F1_1,True,False,0.756
Dose_F1_2,True,False,0.3758
Dose_F2_1,True,False,0.5102
Dose_F2_2,True,False,0.2511
Dose_F3_1,True,False,0.2538
Dose_F3_2,True,False,0.1274
