sortie,region,leaf_id,n,part_des_points,moyenne_observee,ecart_a_la_moyenne,regles
N_lixi,R01,12,3345,0.3345,3.155898953662182,0.3246313536621823,Date_Semis > 74.42 ; Delta_PREPA_Semis > -24.04 ; Date_Recolte > 332.4
N_lixi,R02,10,1322,0.1322,2.36143721633888,-0.46983038366111973,Date_Semis ≤ 74.42 ; Date_Recolte ≤ 370.9 ; Date_Semis ≤ 57.61 ; Delta_PREPA_Semis > -29.94
N_lixi,R03,3,1283,0.1283,2.7260062353858148,-0.10526136461418512,Date_Semis > 74.42 ; Delta_PREPA_Semis ≤ -24.04
N_lixi,R04,14,1115,0.1115,2.7431928251121076,-0.08807477488789228,Date_Semis ≤ 74.42 ; Date_Recolte ≤ 370.9 ; Date_Semis > 57.61 ; has_prepa est 0.0
N_lixi,R05,13,1031,0.1031,2.4320232783705142,-0.39924432162948564,Date_Semis ≤ 74.42 ; Date_Recolte ≤ 370.9 ; Date_Semis > 57.61 ; has_prepa n'est pas 0.0
N_lixi,R06,6,996,0.0996,2.8815341365461844,0.050266536546184515,Date_Semis ≤ 74.42 ; Date_Recolte > 370.9
N_lixi,R07,11,631,0.0631,3.500938193343898,0.669670593343898,Date_Semis > 74.42 ; Delta_PREPA_Semis > -24.04 ; Date_Recolte ≤ 332.4
N_lixi,R08,9,277,0.0277,1.7752057761732851,-1.0560618238267148,Date_Semis ≤ 74.42 ; Date_Recolte ≤ 370.9 ; Date_Semis ≤ 57.61 ; Delta_PREPA_Semis ≤ -29.94
dCorg,R01,7,1723,0.1723,-211.08466976204295,4.230752837957027,Date_Recolte > 351.7 ; Date_Semis > 68.11 ; Date_Recolte ≤ 368.3
dCorg,R02,12,1605,0.1605,-188.82819813084114,26.487224469158832,Date_Recolte ≤ 351.7 ; Date_Semis > 66.52 ; Date_Recolte > 336.6
dCorg,R03,8,1555,0.1555,-239.57311125401927,-24.25768865401929,Date_Recolte > 351.7 ; Date_Semis > 68.11 ; Date_Recolte > 368.3
dCorg,R04,11,1480,0.148,-164.42554324324325,50.88987935675672,Date_Recolte ≤ 351.7 ; Date_Semis > 66.52 ; Date_Recolte ≤ 336.6
dCorg,R05,9,1083,0.1083,-248.58502862419206,-33.269606024192086,Date_Recolte > 351.7 ; Date_Semis ≤ 68.11 ; Date_Recolte ≤ 368.7
dCorg,R06,10,954,0.0954,-278.49216981132076,-63.17674721132079,Date_Recolte > 351.7 ; Date_Semis ≤ 68.11 ; Date_Recolte > 368.7
dCorg,R07,14,812,0.0812,-223.77950000000004,-8.464077400000065,Date_Recolte ≤ 351.7 ; Date_Semis ≤ 66.52 ; Date_Recolte > 337.4
dCorg,R08,13,788,0.0788,-195.2944416243655,20.020980975634473,Date_Recolte ≤ 351.7 ; Date_Semis ≤ 66.52 ; Date_Recolte ≤ 337.4
rdt,R01,12,4152,0.4152,4.453648843930636,-0.039027156069364466,Delta_PREPA_Semis > -24.12 ; Date_Recolte > 334 ; has_prepa est 0.0
rdt,R02,11,2029,0.2029,4.527784622966979,0.03510862296697859,Delta_PREPA_Semis > -24.12 ; Date_Recolte > 334 ; has_prepa n'est pas 0.0
rdt,R03,7,1602,0.1602,4.665914481897628,0.17323848189762803,Delta_PREPA_Semis ≤ -24.12 ; Date_Semis ≤ 84.9
rdt,R04,6,694,0.0694,4.178350144092218,-0.31432585590778217,Delta_PREPA_Semis > -24.12 ; Date_Recolte ≤ 334 ; Date_Semis > 76.44
rdt,R05,10,664,0.0664,4.604691265060241,0.11201526506024084,Delta_PREPA_Semis ≤ -24.12 ; Date_Semis > 84.9 ; Date_Recolte > 336.4
rdt,R06,13,401,0.0401,4.538715710723192,0.046039710723191796,Delta_PREPA_Semis > -24.12 ; Date_Recolte ≤ 334 ; Date_Semis ≤ 76.44 ; Date_Semis ≤ 63.54
rdt,R07,14,281,0.0281,4.381886120996441,-0.1107898790035593,Delta_PREPA_Semis > -24.12 ; Date_Recolte ≤ 334 ; Date_Semis ≤ 76.44 ; Date_Semis > 63.54
rdt,R08,9,177,0.0177,4.321553672316384,-0.17112232768361668,Delta_PREPA_Semis ≤ -24.12 ; Date_Semis > 84.9 ; Date_Recolte ≤ 336.4
