sortie,region,part_des_points,status,n,Q2_cv,R2_full,MAE_cv,RMSE_cv,cv_folds,degree,max_terms,n_terms_effectifs,message
N_lixi,R01,0.3345,ok,3345,0.9159823733742536,0.9261761224107263,0.039991380882941165,0.051190845248562995,3,2,60,61,
N_lixi,R02,0.1322,ok,1322,0.8752094735582828,0.90316707607785,0.046570431012406,0.06632713105750897,3,2,60,61,
N_lixi,R03,0.1283,ok,1283,0.8585029496115981,0.8905603585930735,0.06963631633972146,0.08655302934370203,3,2,60,61,
N_lixi,R04,0.1115,ok,1115,0.8793191276657881,0.8841739204234105,0.03123945856113948,0.040862084848078455,3,2,60,61,
N_lixi,R05,0.1031,ok,1031,0.6605904868732166,0.7395689989409586,0.08429068099955138,0.10964812089189056,3,2,60,61,
N_lixi,R06,0.0996,ok,996,0.6309589467906487,0.7376240596261092,0.1432135821060218,0.19738821996398787,3,2,60,61,
N_lixi,R07,0.0631,ok,631,0.9573674331872173,0.9741032570089213,0.042965375144102626,0.054884250954276737,3,2,60,61,
N_lixi,R08,0.0277,weak_q2,277,0.49823716275243435,0.928429426977133,0.1360123341886926,0.1931790094019189,2,2,60,61,
dCorg,R01,0.1723,ok,1723,0.9961339555524277,0.9965474249917264,0.6180265902647716,0.7721080047693016,3,2,60,61,
dCorg,R02,0.1605,ok,1605,0.9958326640143296,0.9965254655818372,0.6158696517153748,0.7696068371737422,3,2,60,61,
dCorg,R03,0.1555,ok,1555,0.9948601054143628,0.9957021458696518,0.7551726390494184,0.942245783029071,3,2,60,61,
dCorg,R04,0.148,ok,1480,0.9909758402276834,0.9928848192325388,0.7430355962162446,0.9418599415161218,3,2,60,61,
dCorg,R05,0.1083,ok,1083,0.9937341524954326,0.9954706607791328,0.8392911442635064,1.1152896801555698,3,2,60,61,
dCorg,R06,0.0954,ok,954,0.9606566975333187,0.9749096316240381,1.9549185213788598,2.8368245201213127,3,2,60,61,
dCorg,R07,0.0812,ok,812,0.993599548025942,0.9958395051373167,0.7900969004483426,0.9743606578010898,3,2,60,61,
dCorg,R08,0.0788,ok,788,0.9895166096851895,0.9936508114792033,0.9510001775698964,1.2410331153878267,3,2,60,61,
rdt,R01,0.4152,ok,4152,0.6699622323062706,0.666439849811848,0.023657505405059905,0.0305754510917932,3,2,60,61,
rdt,R02,0.2029,ok,2029,0.7812209183177664,0.8107393657850293,0.023708779277751377,0.030798589042615947,3,2,60,61,
rdt,R03,0.1602,ok,1602,0.7946122734762505,0.8304165323784474,0.02789568612370442,0.03711330196545934,3,2,60,61,
rdt,R04,0.0694,ok,694,0.9134889078429077,0.9435009340397759,0.01712434066612552,0.021822193966088286,3,2,60,61,
rdt,R05,0.0664,ok,664,0.8018737130248859,0.8602313616780493,0.022396935674534185,0.028596360614225196,3,2,60,61,
rdt,R06,0.0401,ok,401,0.6368136679441503,0.9353299084592249,0.021474478326667597,0.036654195224342816,3,2,60,61,
rdt,R07,0.0281,ok,281,0.5909195089850314,0.9515313848946984,0.03771072498966786,0.05664376706994625,2,2,60,61,
rdt,R08,0.0177,weak_q2,177,-1.57557181955805,0.9778830859720642,0.08596279574606709,0.16681443644646665,2,2,60,61,
