parametre,Sobol_S1,Sobol_ST,sortie,region,n_region,Q2_cv,status,part_des_points
n_ferti,0.002333535409111074,0.005235934009099619,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
has_prepa,0.010405033694229057,0.014185595773360926,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
nb_prepa,0.00818297580676619,0.012699048301676874,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
prepa_1,0.00028776828515644163,0.0003904398819171767,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
nb_f1,0.008170449652180022,0.029368252878853293,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
type_f1_1,0.0,0.0,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
nb_f2,0.008170449652180022,0.22130387898903847,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
type_f2_1,0.0,0.0,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
nb_f3,0.008191316388909275,0.012627173296629926,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
type_f3_1,0.00025896305809846004,0.0003536218978590521,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
prepa_2,0.001445386810204518,0.004582239932013135,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
type_f1_2,0.0,0.0,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
type_f2_2,0.0,0.0,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
type_f3_2,0.001396883632062287,0.004498986550336626,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Date_Semis,0.0020184689626297028,0.002514284132508946,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Delta_PREPA_Semis,3.926052509145252e-05,0.0009566790998194888,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Date_F1,0.0,1.352780618099093e-05,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Date_F2,0.0,2.622786722795579e-06,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Date_F3,0.0,1.3525373481941764e-05,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Date_Recolte,0.0012644606918439094,0.001668899157924575,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Dose_F1_1,1.1639851759568735e-06,7.769444784247134e-06,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Dose_F1_2,0.06275647792875695,0.08395450128814645,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Dose_F2_1,0.0,8.728723206010122e-06,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
Dose_F2_2,0.638754292820403,0.8518912010439261,N_lixi,R01,3345,0.9159823733742536,ok,0.3345
