point_idx,sim_idx,parcelle,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,N_lixi,DeltaCorg,Yield
0,0,beauce_5_sa_000,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.51491214517847,-9.73006448608838,251.65454090271183,266.5,281.5,365.7686919629186,96.64795212089795,55.0,55.0,55.0,55.0,55.0,24.73,-615.92,4.33
1,0,beauce_5_sa_001,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,49.36097968200804,-32.27023277695289,261.23668778259304,219.28863890992005,281.5,375.6186837520497,93.774822984618,42.36504117431484,44.735455579569646,27.061440993766492,55.0,55.0,20.41,-608.54,3.99
2,0,beauce_5_sa_002,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,64.71033894240955,-19.512286251929886,214.5,266.5,281.5,360.8918555083435,55.0,55.0,55.0,55.0,55.0,55.0,21.78,-590.79,3.95
3,0,beauce_5_sa_003,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,62.17710189045711,-24.0,203.41432518849095,266.5,281.5,344.99508806987336,47.73508658023384,74.75169215293246,55.0,55.0,55.0,55.0,22.36,-600.25,4.17
4,0,beauce_5_sa_004,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.95177032469823,-39.45787287156714,198.7420818559993,266.5,281.5,380.4338960529813,28.88006225884018,55.0,55.0,55.0,55.0,55.0,22.9,-568.7,3.97
5,0,beauce_5_sa_005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.65149650418421,-24.0,214.5,266.5,281.5,331.4790286278843,55.0,55.0,55.0,55.0,55.0,55.0,20.72,-603.35,4.16
6,0,beauce_5_sa_006,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,93.45740053169244,-8.192766371430992,304.8614636283287,281.3839941790727,281.5,366.9927851597846,70.3497414778538,98.38885862469525,11.759544389018746,38.769043831126154,55.0,55.0,26.08,-627.18,4.36
7,0,beauce_5_sa_007,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,70.48768188327341,-24.0,146.57781159623232,313.09158952684686,311.2473436439862,381.7874885394382,66.7222673468585,75.16903806804113,91.50851990968386,91.08994058019891,43.68106303961027,55.0,27.3,-609.73,4.0
8,0,beauce_5_sa_008,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,61.32189109763584,-24.408491146506694,110.4582682805206,266.5,281.5,324.9989879294626,65.36291276170209,35.17143919707783,55.0,55.0,55.0,55.0,19.94,-594.82,4.11
9,0,beauce_5_sa_009,3.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,96.40847137452135,-9.184285362480608,267.9360746606487,263.9224517692499,273.2428963185835,349.7734789157608,47.16868012786077,55.0,87.35191742065409,76.71147186214866,76.4627674582344,55.0,25.53,-623.1,4.45
