,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.14546542509857507,0.052474567795662286,0.11897985805978606,0.00030910433069619714,0.0009398044047707055,0.0005910679735905422,0.0005838607213364266,0.0002601625877572955,0.0007872709768849129,0.053000418819706296,0.0012417258716999058,0.0003835785856644014,0.0003463437614631415,0.463565793584949,0.21437999991120726,0.0011069935135650244,0.0005616796645571132,0.0002284532446197307,0.058075498005167425,0.0016055617360918317,0.00042276672844931973,0.0008516136625795756,0.00027447054645468594,0.0004837923100246,0.0004909034789720712
has_prepa,0.14546542509857507,0.0,0.14521916909415222,0.1453206959107759,0.14523489985151283,0.14565525658529432,0.14527428339869386,0.14562153519079435,0.14536788862302452,0.14568411579932816,0.14532855059689254,0.14569832875894795,0.1452773370533864,0.14557022062818503,0.6179705562166938,0.21430345716524146,0.14575952201355713,0.14550113041198887,0.1453299404035452,0.20310257214259742,0.14568364233673425,0.14519739572162915,0.14608452853643417,0.14516505357530196,0.14519546511534598,0.14543243229763136
nb_prepa,0.052474567795662286,0.14521916909415222,0.0,0.11811277399243636,0.05217813347542655,0.052651972432368965,0.05217413596575449,0.05252824247753429,0.05234628867608149,0.05240255921464143,0.052171419412390896,0.05228681661632306,0.05232715999917037,0.05230793911629117,0.5184719287224626,0.21412727563570377,0.053134072090673334,0.052594850288074646,0.05223409130697665,0.1084538512370522,0.05284268632653688,0.05206324497112236,0.05269988351256405,0.0520761563287897,0.05209548222728311,0.05250969853667542
prepa_1,0.11897985805978606,0.1453206959107759,0.11811277399243636,0.0,0.11794520910291362,0.11880163973330848,0.11820261487125894,0.11880811245967882,0.11800357925744187,0.1185341549679767,0.1183757971400502,0.11896255461119876,0.11881535451521752,0.11828952895200384,0.5857264273071345,0.21476324323930363,0.11954190260760389,0.1184440743586892,0.11827343543281155,0.17613955528898728,0.11863995291755003,0.11789642782716436,0.11939001053268439,0.11831345169069252,0.11789626557529154,0.11807229206459569
nb_f1,0.00030910433069619714,0.14523489985151283,0.05217813347542655,0.11794520910291362,0.0,0.0010660285341896891,5.369155706658191e-05,0.00039596981998757386,0.0002733632763785021,0.00044959793126619907,0.052680811708085806,0.00019228918709934817,0.0004203943896680107,0.0006289186796871737,0.4638104685348293,0.21408457771604505,0.0010520746233584344,0.0005335400098731569,0.0002748249010480208,0.05719560803416146,0.0004143254840446309,2.388016021837025e-05,0.0006499726291342434,3.856034261551233e-05,0.00031556264034515724,0.0004911411535276633
type_f1_1,0.0009398044047707055,0.14565525658529432,0.052651972432368965,0.11880163973330848,0.0010660285341896891,0.0,0.001105198428579035,0.00151842094048793,0.0006288746978087012,0.0021957195031494514,0.05373903203168917,0.0021087461431194,0.0011271453739228887,0.0012811137650302618,0.46394168060809315,0.21506131402907946,0.0025146841432798217,0.0009281879118522296,0.0010994719408350395,0.05837042351595334,0.0009949195923247833,0.0009898864195146961,0.001283078057771836,0.001008975674724466,0.000973103183080859,0.000892352641689742
nb_f2,0.0005910679735905422,0.14527428339869386,0.05217413596575449,0.11820261487125894,5.369155706658191e-05,0.001105198428579035,0.0,0.0003736576093809063,0.00023725047455358528,0.0004903850368049856,0.05251433327639776,0.0006823123816882548,3.6822788562873576e-05,0.0006453172823487341,0.4637143360572855,0.2141010420009074,0.000831706926231246,0.00046044748249729484,8.268510960007802e-05,0.057571980758709285,0.000612467997841204,5.346852236554067e-05,0.0004287747434763567,1.4616694810176689e-05,3.6086426647319314e-05,0.00043467243768979813
type_f2_1,0.0005838607213364266,0.14562153519079435,0.05252824247753429,0.11880811245967882,0.00039596981998757386,0.00151842094048793,0.0003736576093809063,0.0,0.0007050729868312011,0.0013965138915733588,0.05324126484586689,0.0016159023739373835,0.0009225164452584256,0.0013577079686254434,0.46373710961653813,0.21488417307357277,0.0010904387596595289,0.0010866602617415344,0.0006115038443724741,0.058463054392906444,0.0010218905603455175,0.0004264365150572491,0.0007483772836980318,0.0004098067971469721,0.0006284972579753134,0.0012264693883885514
nb_f3,0.0002601625877572955,0.14536788862302452,0.05234628867608149,0.11800357925744187,0.0002733632763785021,0.0006288746978087012,0.00023725047455358528,0.0007050729868312011,0.0,0.00117150822668044,0.05245731475298887,0.0006134532600620135,0.0005848630381354303,0.0002945328256653834,0.4634342093020376,0.21416091969165219,0.001154510287469046,0.0005060993766812238,0.00017698623779738298,0.0575490180336945,0.0012048820171939312,0.00022763549513182824,0.0008157170826103011,0.00019724969012491211,0.0009854842237558836,0.0004142482621676269
type_f3_1,0.0007872709768849129,0.14568411579932816,0.05240255921464143,0.1185341549679767,0.00044959793126619907,0.0021957195031494514,0.0004903850368049856,0.0013965138915733588,0.00117150822668044,0.0,0.053071535225130084,0.0009808348538659084,0.0009872412035160094,0.001904190555969132,0.4643908185963751,0.21461053165295607,0.0016218929473947874,0.0008246925607076072,0.00046217858521546695,0.05835459060238413,0.0015485490073106067,0.0006718256671262024,0.000661781996571631,0.0005147353458987425,0.0006876013218611865,0.000963528657954571
