,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.0008410189020309211,0.0005184358025805968,0.0010597801653291494,0.0007133857239444152,0.0013313032539877812,0.0007627253694045821,0.0005211177010617796,0.00025479441585563034,0.0005446076320961835,0.0011205316660012343,0.0012618938051027762,0.000585916503504258,0.0005832891363094506,0.2981866651980132,0.0011026117240301447,0.0008228305456994267,0.0003305156275477117,0.00024355333086056863,0.6423980500534896,0.0011479687831090768,0.0003666447940107176,0.0011484843958113888,0.00045663258851058597,0.00025134770488044467,0.0002403873286934699
has_prepa,0.0008410189020309211,0.0,0.00042024769967752285,0.0008217656235346427,0.0012368445372893389,0.0007332114763974884,0.0010920306334454288,0.0008601703066608568,0.000435439749124078,0.0011906952508929924,0.0005735740025784031,0.0013191456427008585,0.0011752437800189863,0.0010363358248205445,0.2981717981748736,0.0005668524172672829,0.0014158251309573933,0.0005725366283885203,0.00044526573502123856,0.6429792600175218,0.0008762818496262925,0.000521234859640618,0.0006830651628361162,0.0008844774669121147,0.0005342362382713128,0.00043475560356054377
nb_prepa,0.0005184358025805968,0.00042024769967752285,0.0,0.0003950236631085069,0.0003674603795863485,0.0004956420483107626,0.00072734951747222,0.0003766045225028769,0.0004843065170713201,0.0008105782002869599,0.00030937081509230246,0.000550307436594899,0.0007728001576392529,0.0007547552614151076,0.29783239872744294,0.0006044165118886946,0.0006946538144405601,0.00029645732268235303,0.00016607851416472474,0.6424024759239498,0.00035541567682562114,0.00033336044878862214,0.0005083829313980992,0.00027242592408627253,0.00016716501213698276,0.0005729958057270057
prepa_1,0.0010597801653291494,0.0008217656235346427,0.0003950236631085069,0.0,0.0011174664159324665,0.0008892084286781232,0.0009813756694089237,0.0013560377845017735,0.0006889260783342621,0.00230059449393083,0.0015570853030398846,0.0011122451665569466,0.0015116033214702673,0.0011547534225559986,0.29848089570503267,0.0019397441015028827,0.0018884981038785886,0.0005114838221090823,0.0004144418201793565,0.6428998445624947,0.0011108942593760496,0.0008254953696407163,0.001349120839636564,0.0005822852062878914,0.0005333447455454499,0.0006855042904966302
nb_f1,0.0007133857239444152,0.0012368445372893389,0.0003674603795863485,0.0011174664159324665,0.0,0.0011673904246616296,0.0009433231202312653,0.0004428136287112361,0.00024188723834195347,0.0008420318989126319,0.0005962382686062195,0.00038954705475713336,0.000840575612854555,0.0006493056094796223,0.2977648823592778,0.0015261973063650514,0.000976722083110504,0.00037595390060063405,0.001040572485164537,0.6423272154448665,0.00029088205393756894,0.0002062921318146671,0.0005960166050185123,0.0002867807459786542,0.00026930173736139373,0.00020738560153144014
type_f1_1,0.0013313032539877812,0.0007332114763974884,0.0004956420483107626,0.0008892084286781232,0.0011673904246616296,0.0,0.0009698403699337499,0.0008130043500252926,0.0006271265819832728,0.0014115120355574495,0.0012756733220462557,0.0017325931951714946,0.0017854639107648396,0.0018150785652947254,0.2983436066993568,0.0012426927069626448,0.0013999284504456755,0.0005908214155405656,0.0006930504137468985,0.6424296423193845,0.0017953203794528472,0.0011369598474862963,0.0009946682473755963,0.0004160578812454352,0.0007598253229910146,0.0008344212414277408
nb_f2,0.0007627253694045821,0.0010920306334454288,0.00072734951747222,0.0009813756694089237,0.0009433231202312653,0.0009698403699337499,0.0,0.0007400926015839193,0.0006716001932286497,0.001342350172122364,0.0010393283030772915,0.0010360573744546686,0.0008225960893997186,0.0012596263599664592,0.2977628291362956,0.0012000824959924605,0.001308873281290368,0.0005749621155413109,0.000589387875123415,0.6422344901475321,0.000966906637252074,0.0008496363151820896,0.0008736751477308458,0.0006861460829339361,0.0005862330455523868,0.000558050361635587
type_f2_1,0.0005211177010617796,0.0008601703066608568,0.0003766045225028769,0.0013560377845017735,0.0004428136287112361,0.0008130043500252926,0.0007400926015839193,0.0,0.00011862692010855547,0.0008837846167853991,0.001833540543389578,0.0017807135756380266,0.0005980555842085566,0.0011456776275615699,0.29796676941955,0.0012259658330353584,0.0006848727842171387,0.0002755474683190373,0.0005383932915243861,0.6426026998716455,0.0010494738497481837,0.0003177496653609113,0.0006168765751152216,0.00021823196353987218,0.00022093743906481667,0.0002867169731685104
nb_f3,0.00025479441585563034,0.000435439749124078,0.0004843065170713201,0.0006889260783342621,0.00024188723834195347,0.0006271265819832728,0.0006716001932286497,0.00011862692010855547,0.0,0.0004521204136591628,0.0010159021697470072,0.0004721940825583859,0.0007066209531317869,0.00034887661907245793,0.2976542833151662,0.0006407080723449532,0.00045666199437710553,0.00015182559005177954,1.6491037745591797e-05,0.642200611071205,0.0005518500103459667,0.00014354982042641407,0.00031457584745286926,6.210281237362114e-05,0.0002006943401300365,1.4467129906381437e-05
type_f3_1,0.0005446076320961835,0.0011906952508929924,0.0008105782002869599,0.00230059449393083,0.0008420318989126319,0.0014115120355574495,0.001342350172122364,0.0008837846167853991,0.0004521204136591628,0.0,0.0012376912968256049,0.0015459487036371122,0.00157792617354513,0.0011945132738963027,0.2980008612553934,0.0015174165726914435,0.0014321891462304448,0.0004720068731238758,0.0004757755537887487,0.6423068347058493,0.0016342549671995998,0.0004401208150696112,0.0006962134280699139,0.0006543734438850812,0.0003525700028693679,0.0004836292636750672
prepa_2,0.0011205316660012343,0.0005735740025784031,0.00030937081509230246,0.0015570853030398846,0.0005962382686062195,0.0012756733220462557,0.0010393283030772915,0.001833540543389578,0.0010159021697470072,0.0012376912968256049,0.0,0.001337182683107896,0.0012645347947997099,0.0013823324242082657,0.2980906713432626,0.0009902582370242552,0.0014714639090654957,0.0007194249516452311,0.000501040314852208,0.6426194421534634,0.0010561140189936369,0.001024915325657294,0.0007047398969193264,0.0004981477327359318,0.00036849949407213867,0.0007681760463694731
