,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.24499845160433698,0.08959509990325232,0.19737642347186446,0.00020308116821043942,0.001524970558465788,0.0007685871102041109,0.0005997206912987663,0.00026166863351961833,0.0006831724346095802,0.08994908505691024,0.0012034603833089852,0.0006783086468530319,0.00047364433353569435,0.13977887174118409,0.3427626366821297,0.0007414889494556931,0.0005007766233584565,0.00023466210142319976,0.17015108853861494,0.0008883398225176808,0.0003884084199343718,0.0012939238537622577,0.0002889720390857331,0.00032955440569393257,0.00024500290182849493
has_prepa,0.24499845160433698,0.0,0.2448222741879431,0.24480097793727174,0.24473967638689487,0.24528869360878935,0.24489671849309813,0.244848412327083,0.24475986148489948,0.2449798401866582,0.24494762161720607,0.2450698147738658,0.2450344091920691,0.24509284756909266,0.3947710973202858,0.3435660516365797,0.2449941519017973,0.24468572090337426,0.2447059798085427,0.4098283701687321,0.24510842688613632,0.24469077775431702,0.24590796791953995,0.24478228682884218,0.24467169997482996,0.24467137231752967
nb_prepa,0.08959509990325232,0.2448222741879431,0.0,0.1967310983506333,0.08939429615019867,0.09007778616584983,0.08944790778088207,0.08946161705674205,0.08950287661711354,0.08986047451183832,0.0894678871012996,0.0895690264727046,0.08958051446705895,0.08978925725000764,0.23282514607380234,0.3435084985004213,0.09029431715172331,0.0895552300603002,0.08952558716688008,0.2560779026347004,0.08995238202089784,0.08934649374385606,0.09028204911886695,0.08934868418697317,0.08934399217653233,0.08956029227600049
prepa_1,0.19737642347186446,0.24480097793727174,0.1967310983506333,0.0,0.1964239846621788,0.19749866892601398,0.1965369331554937,0.19788108592900555,0.19644502895685112,0.19731897434865286,0.19787636773340767,0.19737020083976853,0.19745532625251816,0.19683569836148584,0.34264217789547613,0.34444988172356594,0.19798697439485236,0.19670340874150882,0.19640606933947213,0.3605324412852703,0.19743743470428343,0.1963460885289282,0.19831936304905662,0.19665978479389168,0.19624457578948507,0.19633452985316036
nb_f1,0.00020308116821043942,0.24473967638689487,0.08939429615019867,0.1964239846621788,0.0,0.00113223971729437,0.00041060006805049287,0.00022809002975598958,0.00024267341557959732,0.0007073932030767782,0.08960362929433274,0.00010205786769768022,0.0007394149196179312,0.0008361070394188319,0.1397941790104923,0.34253081199341673,0.000655006064661956,0.00015799706678298886,0.00015087137461611277,0.1695134294380758,0.00017886813743617225,3.726419603211628e-05,0.0008765671654303864,8.132831064000534e-05,7.230348262765585e-05,0.0003850250929717802
type_f1_1,0.001524970558465788,0.24528869360878935,0.09007778616584983,0.19749866892601398,0.00113223971729437,0.0,0.001287051110113624,0.0019251540039705306,0.0009249323024569378,0.0027517769925728963,0.09101410713383895,0.001891419375282255,0.00169892348507783,0.0014670278800841263,0.14061737177405442,0.34362294962486584,0.001979976225382485,0.001154708327420928,0.001002235035989285,0.17035387500217747,0.0014354493455488448,0.0010152023720401138,0.002314825462163439,0.001442639238418808,0.0012489998574122252,0.0009119636195146219
nb_f2,0.0007685871102041109,0.24489671849309813,0.08944790778088207,0.1965369331554937,0.00041060006805049287,0.001287051110113624,0.0,0.000498784526975049,0.0007020390331315962,0.0009548621098913745,0.08959801162080516,0.0013813161435674015,0.00029905927461371107,0.0013124137890757614,0.14022888051871685,0.34256322558596797,0.0010343132058185933,0.00045684115451216645,0.000302921177008475,0.1694973547378451,0.0007144491927508767,0.0002948784938889837,0.0010722878265998492,0.00024269384224961943,0.0002385038629993952,0.0004603459009657751
type_f2_1,0.0005997206912987663,0.244848412327083,0.08946161705674205,0.19788108592900555,0.00022809002975598958,0.0019251540039705306,0.000498784526975049,0.0,0.000822079293247735,0.0014755117528053585,0.09026283009961666,0.0015307752113887796,0.0010522542662397827,0.0013232102846242322,0.13960008663272094,0.3426868153284861,0.0006741638940234163,0.00037886217246152487,0.0007424678774758942,0.17020609486200766,0.0011031047594494137,0.00046909913590409413,0.0006808952165094917,0.00015438159701997023,0.0004912515971832176,0.0004325507627598313
nb_f3,0.00026166863351961833,0.24475986148489948,0.08950287661711354,0.19644502895685112,0.00024267341557959732,0.0009249323024569378,0.0007020390331315962,0.000822079293247735,0.0,0.0013990584100220804,0.08967442366508516,0.00046411017817160616,0.0005998799013666734,0.00043382092886423695,0.1394886457396335,0.34251864931358456,0.0008260864839442217,0.0004287867528197653,0.0002437768774395943,0.16974026228246186,0.0003601908823986921,0.00023294716489719036,0.0010905211096600143,0.0004261991237206608,0.0005073466390134174,0.00021057552222536469
type_f3_1,0.0006831724346095802,0.2449798401866582,0.08986047451183832,0.19731897434865286,0.0007073932030767782,0.0027517769925728963,0.0009548621098913745,0.0014755117528053585,0.0013990584100220804,0.0,0.09043637805685234,0.0008784198358389173,0.0016455736752496453,0.002385231054375714,0.14068018241294833,0.3427225827788074,0.001741919434643302,0.0012170877860844254,0.0005861308743522198,0.17050309686681786,0.001969240432653785,0.0008560742963178436,0.0010351050030230624,0.0008211059321141523,0.0007073730781627097,0.0007165713496966042
prepa_2,0.08994908505691024,0.24494762161720607,0.0894678871012996,0.19787636773340767,0.08960362929433274,0.09101410713383895,0.08959801162080516,0.09026283009961666,0.08967442366508516,0.09043637805685234,0.0,0.08997698097272833,0.09010939961380349,0.09040557567805674,0.23319134842085532,0.3437870688798066,0.09116186297896767,0.09050411190117813,0.08985866730346337,0.2562082854723121,0.09022689238551074,0.08982509514477544,0.0904559972650889,0.08948110993271108,0.08975135072297702,0.08979662219979268
type_f1_2,0.0012034603833089852,0.2450698147738658,0.0895690264727046,0.19737020083976853,0.00010205786769768022,0.001891419375282255,0.0013813161435674015,0.0015307752113887796,0.00046411017817160616,0.0008784198358389173,0.08997698097272833,0.0,0.0024442404558686626,0.0012088947341530876,0.14035072753286182,0.34285000324290593,0.0012206829279660658,0.00044149442808660844,0.00011799447677063313,0.17048124734303738,0.00041427938636418027,0.00014569913518780453,0.0014338455103747316,0.0009816353993619131,0.00018304270700009173,0.0006004793354359439
type_f2_2,0.0006783086468530319,0.2450344091920691,0.08958051446705895,0.19745532625251816,0.0007394149196179312,0.00169892348507783,0.00029905927461371107,0.0010522542662397827,0.0005998799013666734,0.0016455736752496453,0.09010939961380349,0.0024442404558686626,0.0,0.0014543115066907308,0.1405367541285535,0.3426988618923641,0.001395945652021613,0.0008371196627827704,0.00040585727786057735,0.16986098167473518,0.0012018891736349513,0.0008402835206847703,0.0009866088501628845,0.0007237908007970972,0.0004205074681108423,0.0007181546676260364
type_f3_2,0.00047364433353569435,0.24509284756909266,0.08978925725000764,0.19683569836148584,0.0008361070394188319,0.0014670278800841263,0.0013124137890757614,0.0013232102846242322,0.00043382092886423695,0.002385231054375714,0.09040557567805674,0.0012088947341530876,0.0014543115066907308,0.0,0.1400678360356713,0.3430689322290885,0.001539841796033059,0.0007472019255357898,0.0006320783625659576,0.17025689026988267,0.0008299155037346795,0.0004912943491084398,0.0014223033143709873,0.00169608266268384,0.000760074174945613,0.001116164565561406
Date_Semis,0.13977887174118409,0.3947710973202858,0.23282514607380234,0.34264217789547613,0.1397941790104923,0.14061737177405442,0.14022888051871685,0.13960008663272094,0.1394886457396335,0.14068018241294833,0.23319134842085532,0.14035072753286182,0.1405367541285535,0.1400678360356713,0.0,0.49272403580518254,0.14058014276247432,0.13934306013569042,0.13942545504671378,0.49389426934794733,0.14068023294323106,0.13938776602251346,0.14055246623886164,0.13957087747504504,0.13947290684282965,0.13936693571565084
