,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00012952714528557951,9.668525467421141e-05,0.0009171296753033298,3.35311981805031e-05,0.00025498679696789317,0.0003315980860471024,0.0002945239651035436,-1.1102230246251565e-16,1.1102230246251565e-16,0.0005159736311153296,0.0008146586418493751,0.00010720949240627942,0.0,0.0003045188020691647,0.0002433754619575179,0.00018099577070840311,9.518503217553764e-05,-1.1102230246251565e-16,0.000750176757751686,0.0011538303653712,0.00019945302140023102,0.00029670480820609413,1.9105165246835476e-05,0.0,1.1102230246251565e-16
has_prepa,0.00012952714528557951,0.0,-1.1102230246251565e-16,0.0,7.662934303553914e-05,2.3352079954186422e-05,0.00011351900444178664,0.00020913416386458827,9.943287886227115e-05,0.0003773364689965142,0.0,0.00041091296075834727,8.537644104522624e-05,0.00024964923553838503,0.003620457571322011,1.1102230246251565e-16,0.00018623265963835234,5.116832026197393e-06,0.00015298228629856414,0.0001288965766316208,0.00025724270458771237,3.846472069135576e-05,0.0005815819308254699,6.440260192808189e-06,2.9413949999113065e-05,4.0511953677491164e-05
nb_prepa,9.668525467421141e-05,-1.1102230246251565e-16,0.0,0.0003242780074189655,0.00011148175095432311,4.9807557534919944e-05,7.409507028111051e-05,0.00015090763893466086,0.00013764867494558963,8.616738600197849e-05,0.0,0.00012048648865470302,0.00016357249139520302,7.503810459108529e-05,0.0008563582709679718,0.00019973069297196666,0.0003402180366882668,1.684893562337031e-06,0.00015183562759779612,0.0001669492352516233,0.0002811732683306589,1.1181270364035711e-06,0.00022606417289872116,5.217655751899031e-09,1.750487047635918e-05,1.5141344201774487e-06
prepa_1,0.0009171296753033298,0.0,0.0003242780074189655,0.0,0.00017487869509524856,0.0005111806943320918,0.00041934449030789356,0.0007493465588589432,7.615090529500268e-05,0.0006248085097189104,0.00047961846333333114,0.001098635577999385,0.001013308511245814,0.0003257202101767387,0.002837912206002602,0.0005608633269819085,0.0012226121705418702,0.00018765826473798874,0.0004575616720189357,0.0008406550903075072,0.0005862092660346985,0.0001267266279443291,0.0011589040276073215,0.0005386335245807228,0.00012375497603767105,1.2054258194282852e-05
nb_f1,3.35311981805031e-05,7.662934303553914e-05,0.00011148175095432311,0.00017487869509524856,0.0,0.0004946689806306637,2.4442116728362606e-05,0.00012605388532538342,6.0091392972472235e-05,6.805146160826503e-05,0.0005024695923929734,0.0,0.0003628027789968069,0.00037132383649940426,0.0005776841791819143,0.0001690203708148985,0.0002629439936899791,4.5589865133144336e-05,0.00022363074139342132,6.355049243178534e-06,8.49873249207933e-05,0.0,0.00029776397129521737,1.63436213906909e-05,0.00027560110507507396,3.515280434718271e-05
type_f1_1,0.00025498679696789317,2.3352079954186422e-05,4.9807557534919944e-05,0.0005111806943320918,0.0004946689806306637,0.0,0.0006137792431776257,0.0008866573609445094,1.2298144267841593e-05,0.0013441374371661041,0.0010307103068422085,0.0013814028784984167,0.0006031790892735422,0.0006037135053156284,0.0006090614842457764,0.0005468695464835305,0.0014220301441325578,0.00011440611187996108,0.00060131930862517,0.0007609132188034495,0.0003610312494357615,0.0004792364438525043,0.00038864518760284295,0.0005081875268427849,0.00043522104741533507,4.10928963586743e-05
nb_f2,0.0003315980860471024,0.00011351900444178664,7.409507028111051e-05,0.00041934449030789356,2.4442116728362606e-05,0.0006137792431776257,0.0,0.00014014412682161748,6.165858885731623e-05,0.00013217498831019636,0.00030540332090056577,0.0005266905766471153,0.0,0.0004229771069088617,0.0005136429214053218,0.00018852373140620937,0.00012572757346529517,7.069356399269644e-06,5.784783036388852e-05,0.0003884273693777196,0.00036138796080553703,4.5642642326981786e-05,0.0001027745557019566,0.0,3.4845946348394108e-06,2.0247425255748297e-05
type_f2_1,0.0002945239651035436,0.00020913416386458827,0.00015090763893466086,0.0007493465588589432,0.00012605388532538342,0.0008866573609445094,0.00014014412682161748,0.0,0.0003881058705464957,0.0008204145571404364,0.0007543005853263285,0.0012010104598380034,0.0006618556787312269,0.0009710361812973467,0.0005561553424844323,0.0006788690085000049,0.00023993663890453654,0.000577740743736288,0.0003927285306174477,0.001061003633773705,0.0006265906205943361,0.00019836762282499087,0.0003029976384423261,0.00016803691466560355,0.000338395106045164,0.0006717944413018317
nb_f3,-1.1102230246251565e-16,9.943287886227115e-05,0.00013764867494558963,7.615090529500268e-05,6.0091392972472235e-05,1.2298144267841593e-05,6.165858885731623e-05,0.0003881058705464957,0.0,0.0005802583688668816,0.0001369477357219262,0.00026421894490147313,0.00037850843006004276,-1.1102230246251565e-16,0.00025615331930983753,0.00010714894923080642,0.00032759378745517154,1.6524749828494834e-06,1.4104621841593001e-06,0.0002695165959568646,0.0008241030184600318,4.543447631655262e-05,0.00032869614583963536,1.3223379835558546e-05,0.0006731571988597418,-1.1102230246251565e-16
type_f3_1,1.1102230246251565e-16,0.0003773364689965142,8.616738600197849e-05,0.0006248085097189104,6.805146160826503e-05,0.0013441374371661041,0.00013217498831019636,0.0008204145571404364,0.0005802583688668816,0.0,0.0006484169235871917,0.00047491099386798297,0.0005968091087757976,0.0013009469232960758,0.0011425960065833962,0.0005107050384624001,0.0005721032270148418,3.579241932716304e-05,8.861059233766788e-05,0.0008195864167466205,0.0009436241342180018,0.00031215457065747465,9.391938998071225e-05,0.00015521126893247583,0.00028684644318499597,0.00014850162362389785
