,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00018014007478672767,0.00012138697743313553,0.0005235534548145848,0.0002928731935631923,0.0008834853779317031,1.3229155293448258e-06,0.00023431858437394926,1.1102230246251565e-16,0.0,0.0005754903238627262,0.0007208333184707261,0.0001647829513439225,0.0,0.0008184350325022294,0.000296927892740273,0.00027843312132691533,3.496428951488273e-05,0.0,0.00026355718838511066,0.000807009782293644,6.751206461252934e-05,0.0007265283219769492,0.00020917649602136823,0.0,1.1102230246251565e-16
has_prepa,0.00018014007478672767,0.0,1.1102230246251565e-16,0.0,0.0006172057910091011,9.430641348651125e-05,0.0001354525826042785,0.00037969943964821784,2.1587697087710467e-06,0.00045041934173850606,0.0,0.0005759018614295286,0.0005154544002836658,0.0002871417644403351,0.0008387725877854191,1.1102230246251565e-16,0.0006725791906225798,4.19725953626493e-05,2.082152124538439e-05,6.225643250912238e-05,0.0003408083039517784,2.317654158268123e-05,0.000126402042515239,0.00043211874785631377,0.00010974314072487168,1.244632697261494e-05
nb_prepa,0.00012138697743313553,1.1102230246251565e-16,0.0,5.9154563562313633e-05,9.045016305275766e-06,0.00012237004433568455,2.2808840019816756e-05,0.0001610365684785453,0.00031536631924422576,0.0003422271424778911,0.0,7.226797048520694e-05,0.0003768382409894411,0.000268228881534216,0.0006273390356116293,3.7851771507946275e-05,0.00022536183676691302,2.421616555869921e-05,5.389910235020778e-06,0.0001210032327790822,9.038842442310457e-05,9.7872213493444e-05,0.0002178853164983563,8.18445706524118e-05,6.6599528817379294e-06,0.00041531303117148255
prepa_1,0.0005235534548145848,0.0,5.9154563562313633e-05,0.0,0.0006283570237664016,0.0003774136179351961,0.00014081287068634651,0.0010032117356029158,0.00038820415588181056,0.0016954007247639291,0.0010624189344446977,0.0005039316719006592,0.0009730418731570545,0.0005414534332235377,0.0009820764257816306,0.0009604973781549564,0.0012875783226352633,0.00010441368034841414,0.00012231686607566683,0.00033917883620993017,0.000710547483145807,0.00045934083319898455,0.0009779758778085679,0.00025936058748199375,0.00023898574413228069,0.00039470460055224255
nb_f1,0.0002928731935631923,0.0006172057910091011,9.045016305275766e-06,0.0006283570237664016,0.0,0.0007583476795933741,8.303134564291437e-05,0.0001470421980895864,3.188335771653339e-05,0.00033024920565360993,9.248981415022062e-05,0.0,0.000347222025333771,0.00012156130491003392,0.0005074704885228432,0.0007639671200945219,0.0004559965753244688,1.0788887933044222e-06,0.0008339755211667077,0.00020173420766278483,3.059665317117766e-05,0.0,0.00025204287357782906,2.8205090752742024e-05,4.94944979747558e-05,1.0964718152317587e-06
type_f1_1,0.0008834853779317031,9.430641348651125e-05,0.00012237004433568455,0.0003774136179351961,0.0007583476795933741,0.0,0.00014049471386212709,0.0005286268287915119,0.0004029976456515483,0.0008856857702141951,0.0007482773617903948,0.0011963054655173,0.0013099944411136821,0.0012663655428450937,0.0010546972467847526,0.0004575833910533955,0.0008719143508347793,0.00023399040628935275,0.000475191679135456,0.0001693619817185743,0.0014783123827134537,0.000851283075004261,0.0006366794426873046,0.0001610055628251672,0.0005364016542095396,0.000617856987525478
nb_f2,1.3229155293448258e-06,0.0001354525826042785,2.2808840019816756e-05,0.00014081287068634651,8.303134564291437e-05,0.00014049471386212709,0.0,0.00011038547225139528,5.908244185293121e-05,0.00042172476852386787,0.0001785121156836489,0.00010963860413026882,0.0,0.0003125835719056669,0.00019616316186066296,9.876367549943588e-05,0.0003760774421521784,2.8377715495242484e-05,1.55801180956594e-07,0.00014735089394046774,0.00015344668732897304,0.00019276150252767188,0.00011165630081788613,0.0,3.8352717271483705e-05,9.535426914730749e-08
type_f2_1,0.00023431858437394926,0.00037969943964821784,0.0001610365684785453,0.0010032117356029158,0.0001470421980895864,0.0005286268287915119,0.00011038547225139528,0.0,3.534951392147878e-05,0.0005140313472739022,0.001462545690160133,0.0013738434030118318,0.00032021141456861635,0.0007308794839188115,0.0007055375697415656,0.0005986211996878987,0.00029902083719368644,0.0001238775628747968,0.00046826491738116705,0.00039333942942165745,0.0008340187462113624,0.00016983464784281477,0.0005299310536046598,0.00014011771174493592,0.00016271304928905383,0.00022376232624987669
nb_f3,1.1102230246251565e-16,2.1587697087710467e-06,0.00031536631924422576,0.00038820415588181056,3.188335771653339e-05,0.0004029976456515483,5.908244185293121e-05,3.534951392147878e-05,0.0,0.00013329914165671752,0.0006924946542613553,0.0001409568126981009,0.00043850557061608786,0.0,0.0005040304980394872,6.012274115396732e-05,0.00013399876079811524,2.0409285587108528e-06,3.532337339517966e-06,7.69189090413791e-05,0.00043133296635111673,5.42132169009113e-05,0.00016679776069872254,1.189891980002411e-05,0.000172081155097481,0.0
type_f3_1,0.0,0.00045041934173850606,0.0003422271424778911,0.0016954007247639291,0.00033024920565360993,0.0008856857702141951,0.00042172476852386787,0.0005140313472739022,0.00013329914165671752,0.0,0.0006222661436107169,0.0009183267533586781,0.00101222404999457,0.0005478817987900619,0.0007581178944249256,0.0006280815110031313,0.000823266271423595,2.8978042535765525e-05,0.00016945865484108147,0.00013165873131104622,0.001217390441671129,5.135289044844171e-05,0.0004024524971841803,0.00030987415483096914,3.6732639301928494e-05,0.00017756179388772608
