,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00025184972805392114,9.994278339009455e-05,0.0009712097900301808,2.3487824323265016e-06,0.0006673156607257535,0.00018739092014197212,0.00038689435557848206,0.0,0.0,0.0003231403890092688,0.0009404695195064372,7.830890331661511e-05,0.0,0.00033934211283503934,0.000283765480221021,0.000211546518096295,0.0002316064936879192,0.0,0.0007160889419123295,0.0005566831562853203,0.00020432294706806964,0.0003286159138899958,4.0130012010641813e-05,0.0,0.0
has_prepa,0.00025184972805392114,0.0,1.1102230246251565e-16,0.0,9.816923022165636e-05,2.4398748051601693e-05,1.3202572658355116e-05,0.00016206713166566633,7.13148531883423e-06,0.00015541989484368912,0.0,0.00036020550971838095,0.0001287875155158158,0.00014045935712159174,0.007169059045691872,0.0,0.0003055262353077737,1.0361719556706284e-05,6.290141852405284e-05,0.00035282668310943066,0.0003797253946793422,3.8797272203794364e-05,0.0005227106640507406,0.0001233902721428093,3.0126590123358277e-05,1.491190736446768e-07
nb_prepa,9.994278339009455e-05,1.1102230246251565e-16,0.0,0.0003923032057117082,4.91400215834048e-05,9.295467214687214e-05,1.2172197781490368e-05,9.166342770905445e-05,9.465724429835731e-07,0.00013263439545119216,0.0,0.0001799596168683415,2.4335341618497708e-05,0.00013203642515857705,0.0025793158584392906,0.0011042171896806785,0.0007253993695340855,7.051060348028937e-05,0.00018063560220915598,0.00026638026768022183,0.00034577277121816685,1.077212687938811e-06,5.3115998218444815e-05,6.0867253853791325e-06,6.321657923802348e-07,4.7290046273573694e-05
prepa_1,0.0009712097900301808,0.0,0.0003923032057117082,0.0,0.00020787847331082965,0.0004887477113437733,0.00015180722645924405,0.001631068013389525,6.066865322329473e-05,0.0009018363350903336,0.001409216432058491,0.0011191973127886445,0.0010629545591839262,0.00026953302548149427,0.006160018925762345,0.00147518701305549,0.0016714844295480091,0.00038329469793096926,0.00017677636075441594,0.001254928513125697,0.0011176151516789634,0.00012951578346687143,0.001183693496719762,0.00044288023147243116,2.956996947212076e-05,6.297205958105678e-05
nb_f1,2.3487824323265016e-06,9.816923022165636e-05,4.91400215834048e-05,0.00020787847331082965,0.0,0.000412932458922044,0.00017578122479111613,0.00018481757277233335,1.3550515239879601e-06,0.0001322678993131987,0.0001331217050636324,0.0,0.00043844055004993443,0.0004034628994755707,0.00048020930387404626,0.00022179364315344507,0.00034675585739418757,4.1302844231427827e-05,0.00011989711250015578,0.00015920137877589724,5.665830594536736e-05,0.0,8.165347585908922e-05,1.866518331117284e-05,4.626650773165153e-05,0.00020410305538753892
type_f1_1,0.0006673156607257535,2.4398748051601693e-05,9.295467214687214e-05,0.0004887477113437733,0.000412932458922044,0.0,0.00036443543858744043,0.0012069187368961565,2.154621530181533e-05,0.0015187814028732038,0.0009049360848910615,0.0011128217855268518,0.0007084357844666656,0.00038321507572947056,0.0006036721219261354,0.0005803330026373787,0.0009681215832652024,0.00036992296954652115,0.0002978690533382844,0.0008320086501611978,0.0006430194532514033,0.0003143315962701454,0.0007053212643459705,0.0007018720781644117,0.0005434893242368677,6.037549781423568e-05
nb_f2,0.00018739092014197212,1.3202572658355116e-05,1.2172197781490368e-05,0.00015180722645924405,0.00017578122479111613,0.00036443543858744043,0.0,0.00019932793269206162,0.00016164971161380937,8.905269620962386e-05,3.6145745634930115e-05,0.001093401269804506,1.1102230246251565e-16,0.0006118139436653847,0.0008120119560637296,1.3808418649507992e-05,0.0004774248672734238,1.2438813809190208e-05,4.6978540294562166e-05,0.00017814139822813768,0.00036226610294609607,6.651287296155495e-05,6.69610753045724e-05,0.0,8.908419261377531e-06,3.1254178442297054e-05
type_f2_1,0.00038689435557848206,0.00016206713166566633,9.166342770905445e-05,0.001631068013389525,0.00018481757277233335,0.0012069187368961565,0.00019932793269206162,0.0,0.0005818382182734005,0.0009073115419314659,0.0007660285525952215,0.0014245283523882657,0.0006990518447713701,0.0009020806229266265,0.0002892050167272453,0.00034977381447720557,0.0003887616688905693,0.0002613576525499761,0.0007191066029657023,0.0008168624292895776,0.0010008045631431095,0.00045076271124488976,0.00021015683146219377,8.844801501994848e-05,0.0004694815588029977,0.00025969569633477185
nb_f3,0.0,7.13148531883423e-06,9.465724429835731e-07,6.066865322329473e-05,1.3550515239879601e-06,2.154621530181533e-05,0.00016164971161380937,0.0005818382182734005,0.0,0.0006958940924783885,4.451272142591556e-05,0.0001521932666064263,1.2811418324987223e-05,0.0,0.00015059801081651614,6.244371181129971e-05,0.00038850653608690777,0.0001967885582158102,2.6616512435850836e-05,0.0003187657190770743,9.400851077057126e-05,3.293672506565759e-05,0.0001017436850465625,0.00015176971069119638,0.00022831502432407724,0.0
type_f3_1,0.0,0.00015541989484368912,0.00013263439545119216,0.0009018363350903336,0.0001322678993131987,0.0015187814028732038,8.905269620962386e-05,0.0009073115419314659,0.0006958940924783885,0.0,0.0005826367010963729,0.0002355958113228196,0.0007263508680142028,0.0014866583131070144,0.0010865291698172186,0.00015346767557888885,0.0009585904641660203,0.0006311884843950288,3.75473686656802e-05,0.0008289229460607395,0.0013554990870757733,0.00031579867473341405,0.0002694101326776721,0.00020980775347434477,0.00012196339177372728,7.270672463355332e-05
