sortie,parametre,test,statistique,p_value,R2_parametre,n,n_groupes,normalite_min_p,levene_p
N_lixi,Date_Semis,Kruskal,4801.856699428198,0.0,0.46315438456636526,10000,4,3.160152757529653e-08,5.110412251539988e-95
N_lixi,Delta_PREPA_Semis,Kruskal,2014.0128147670362,0.0,0.21390976374504522,9997,3,1.9044693029971847e-13,0.013592573352363803
N_lixi,has_prepa,Kruskal,1476.7757404604322,0.0,0.14515805534142975,10000,2,4.611591734091974e-09,0.006915380563970132
N_lixi,prepa_1,Kruskal,1182.9663465815588,3.63843496452029e-256,0.1177696389557336,10000,4,9.280777352388013e-10,0.9782278890491647
N_lixi,Date_Recolte,Kruskal,717.9571292342824,2.6802988944453684e-155,0.05718300902038152,10000,4,5.662300478691244e-18,0.0
N_lixi,prepa_2,Kruskal,513.9399125446894,4.545742048472149e-111,0.05217141941239104,10000,4,8.016237006428421e-10,0.009179984464202666
N_lixi,nb_prepa,Kruskal,513.2686457351688,1.2332620084617006e-113,0.0520620379096507,10000,2,1.1639307568827112e-06,0.0013189444007307483
N_lixi,Date_F1,Kruskal,7.650504801388877,0.05381486915005369,0.0007031570520207885,10000,4,3.4797385111303687e-07,0.7583168105828537
N_lixi,type_f1_1,Kruskal,3.921746766309117,0.27003899037921586,0.0004901462746615624,10000,4,1.3733689411587013e-07,0.2060309284178364
N_lixi,Date_F2,Kruskal,3.18340949684539,0.07438935804611775,0.000425579397883915,10000,2,3.8457757255664327e-07,0.30788364252207184
N_lixi,Dose_F3_2,Kruskal,4.228907099749602,0.03974102258436629,0.0004138884737704342,10000,2,4.6513250751159066e-06,0.7654917636389152
N_lixi,type_f3_1,Kruskal,3.328683250516717,0.34367038109137205,0.0003564873362766721,10000,4,4.038993434636502e-07,0.21795162893149933
N_lixi,Dose_F2_1,Kruskal,3.4149349445593224,0.1813244207496904,0.0003247668756520425,10000,3,7.774687430289397e-07,0.6281170363627469
N_lixi,Dose_F1_1,Kruskal,1.531620445246129,0.6749918109799085,0.00025031679342259796,10000,4,8.43581039828582e-08,0.24147911869848881
N_lixi,type_f3_2,Kruskal,2.0261249421255023,0.5670021197922572,0.00022230484195657235,10000,4,1.691305770184147e-05,0.6150939143923573
N_lixi,type_f2_1,Kruskal,1.458082477918264,0.6919781041950117,0.00021716779359439063,10000,4,2.5748587720806016e-06,0.09203844637363026
N_lixi,n_ferti,Kruskal,2.112340310231727,0.5494202716891554,0.00021180171471133174,10000,4,1.1064740314197032e-07,0.7559663280609822
N_lixi,nb_f3,Kruskal,1.7884870654594065,0.18111060764280879,0.00017494686630260624,10000,2,0.0001382920117092618,0.10573548472358966
N_lixi,type_f1_2,Kruskal,1.165504706365565,0.7612890318261658,0.00014488170873875404,10000,4,6.890241494427826e-06,0.12017202731251746
N_lixi,type_f2_2,Kruskal,1.354024713744559,0.7163460736165692,3.398676678529993e-05,10000,4,2.8751134039842352e-09,0.2537620447862486
N_lixi,Date_F3,Kruskal,0.11122169304960039,0.7387575196510592,2.3801688882293743e-05,10000,2,1.2774908422789436e-08,0.3675195153446931
N_lixi,Dose_F3_1,Kruskal,0.08515196703448977,0.7704333520048943,2.260375034844828e-05,10000,2,1.623819209567103e-06,0.19350349108133177
N_lixi,nb_f1,Kruskal,0.17312119101880366,0.6773526737494597,2.1765031634049576e-05,10000,2,6.57222964836017e-07,0.14318066797895732
N_lixi,nb_f2,Kruskal,0.016160174990037808,0.8988433034725504,4.08700289541485e-06,10000,2,4.6749295861370967e-07,0.0024514178390098494
N_lixi,Dose_F1_2,Kruskal,0.14781801701687067,0.7006293212079291,3.1076611613984608e-06,10000,2,1.8958467168486056e-05,0.18009303441816762
N_lixi,Dose_F2_2,Kruskal,0.00016291894560036468,0.9898161014456365,1.3968141686672234e-06,10000,2,2.0820521876933297e-06,0.49971981587729564
dCorg,Date_Recolte,Kruskal,6607.03253001314,0.0,0.6420821738571284,10000,4,3.941303524533461e-09,3.772362201685124e-30
dCorg,Date_Semis,Kruskal,2731.9096051141064,0.0,0.2971380205748213,10000,4,1.9448168167601492e-09,2.679968519587194e-22
dCorg,Delta_PREPA_Semis,Kruskal,5.470026677566721,0.06489314150254015,0.0005659822748812286,9997,3,8.655255723737549e-07,0.03518720678812211
dCorg,nb_f2,Kruskal,4.794284835286509,0.028554308682419583,0.0005377469572317698,10000,2,3.916152913643226e-06,0.17634008409336607
dCorg,has_prepa,Kruskal,4.068629166123166,0.0436867143509332,0.00041976720864975197,10000,2,8.799096134250829e-05,0.020626264775008035
dCorg,type_f3_2,Kruskal,3.7740643438805086,0.28691732968722766,0.00033250917418813585,10000,4,2.3557111381146702e-05,0.9181053821923542
dCorg,type_f1_2,Kruskal,2.1656880337283253,0.5387383402822445,0.00032487659211241426,10000,4,1.572740483233083e-07,0.04987304170916421
dCorg,Date_F1,Kruskal,3.0041377700710328,0.39098765337284386,0.0003133430463568238,10000,4,2.6831382423404658e-05,0.9656979752730636
dCorg,prepa_2,Kruskal,3.0871028025680474,0.3783896325438095,0.00030937081509219453,10000,4,1.2803406389906775e-05,0.17395229122783704
dCorg,type_f3_1,Kruskal,2.4605267109720637,0.4824670457239374,0.0003053759993136256,10000,4,1.927221096143716e-05,0.7622596872657872
dCorg,prepa_1,Kruskal,2.835297673497924,0.417722205783044,0.0002889234170420432,10000,4,1.6487319510742936e-06,0.017190715263379286
