sortie,metamodele,parametre,Sobol_S1,Sobol_ST
N_lixi,SparsePCE,Dose_F2_2,0.749764637174314,0.9995532821289782
N_lixi,SparsePCE,nb_f2,3.388921292996796e-05,0.24982206940693946
N_lixi,SparsePCE,Date_Semis,0.0001291890360808063,0.00015596948588691615
N_lixi,SparsePCE,has_prepa,3.8099282722070475e-05,6.167659148838713e-05
N_lixi,SparsePCE,nb_prepa,3.409542980732039e-05,5.5298185569451744e-05
N_lixi,SparsePCE,nb_f3,3.399068932014187e-05,5.240002122462814e-05
N_lixi,SparsePCE,Date_Recolte,1.9282643704912055e-05,4.585950131359593e-05
N_lixi,SparsePCE,nb_f1,3.7503067220405345e-05,3.8636585614874695e-05
N_lixi,SparsePCE,n_ferti,9.886370650923575e-06,2.183463234839385e-05
N_lixi,SparsePCE,prepa_2,1.0447357491537663e-05,2.1401800456142115e-05
N_lixi,SparsePCE,type_f3_2,5.6468522246191375e-06,1.87592502553739e-05
N_lixi,SparsePCE,Delta_PREPA_Semis,3.003946813467015e-06,1.162910325647561e-05
N_lixi,SparsePCE,type_f1_2,3.974324616768704e-06,5.139585327124285e-06
N_lixi,SparsePCE,prepa_1,3.3201620793168693e-06,4.583193680714243e-06
N_lixi,SparsePCE,type_f3_1,1.0508498934680338e-06,1.4059297386908073e-06
N_lixi,SparsePCE,Dose_F3_2,2.6201447183842937e-08,7.897589330171093e-07
N_lixi,SparsePCE,Date_F3,0.0,3.427845438067657e-07
N_lixi,SparsePCE,Dose_F1_2,0.0,1.619335610829494e-07
N_lixi,SparsePCE,Dose_F3_1,0.0,1.5413167746406837e-07
N_lixi,SparsePCE,Date_F1,0.0,1.3390285364066645e-07
N_lixi,SparsePCE,Dose_F1_1,0.0,9.611277735298381e-08
N_lixi,SparsePCE,Date_F2,4.532970849384553e-08,8.76097526047778e-08
N_lixi,SparsePCE,Dose_F2_1,0.0,6.549303462354584e-08
N_lixi,SparsePCE,type_f1_1,0.0,6.123070508652826e-08
N_lixi,SparsePCE,type_f2_2,1.9728124024134036e-08,4.330785912637259e-08
N_lixi,SparsePCE,type_f2_1,0.0,1.0673075700643745e-08
dCorg,SparsePCE,Date_Recolte,0.3584968218604061,0.35999637001692275
dCorg,SparsePCE,Date_Semis,0.163191374791711,0.1648103499499998
dCorg,SparsePCE,has_prepa,0.08064323420793973,0.10358572121641481
dCorg,SparsePCE,nb_prepa,0.06340636525407353,0.09820214763211356
dCorg,SparsePCE,nb_f3,0.06345962337107994,0.09786890823810428
dCorg,SparsePCE,nb_f1,0.07020646316001158,0.07251572450764691
dCorg,SparsePCE,nb_f2,0.063277154732872,0.063277154732872
dCorg,SparsePCE,n_ferti,0.01820281702519833,0.040701994706768996
dCorg,SparsePCE,prepa_2,0.011165066535362329,0.03479376385218665
dCorg,SparsePCE,type_f3_2,0.010689537243806039,0.034588971056026506
dCorg,SparsePCE,type_f1_2,0.0070416931764282435,0.009346519241901875
dCorg,SparsePCE,prepa_1,0.0022153399067620476,0.002988515658076532
dCorg,SparsePCE,type_f3_1,0.002044037889331391,0.002696033779770533
dCorg,SparsePCE,Delta_PREPA_Semis,6.72314085850613e-05,0.0002258969758254128
dCorg,SparsePCE,Dose_F3_2,4.782790196758408e-07,7.036974717404189e-05
dCorg,SparsePCE,Dose_F1_2,0.0,5.759586460482184e-05
dCorg,SparsePCE,Dose_F2_2,0.0,5.416894975178019e-05
dCorg,SparsePCE,Dose_F2_1,8.127733185557599e-06,2.1371283792656976e-05
dCorg,SparsePCE,Dose_F3_1,6.137696480643396e-07,1.9094054222345608e-05
dCorg,SparsePCE,Date_F3,0.0,1.8675144194796165e-05
dCorg,SparsePCE,Dose_F1_1,6.247438581654888e-06,1.319997851303184e-05
dCorg,SparsePCE,Date_F1,0.0,1.2027645638992272e-05
dCorg,SparsePCE,Date_F2,0.0,5.07663226842948e-06
dCorg,SparsePCE,type_f2_2,0.0,4.122462703822796e-06
dCorg,SparsePCE,type_f1_1,0.0,2.017084289088039e-06
dCorg,SparsePCE,type_f2_1,9.909021060773762e-07,9.909021060773762e-07
rdt,SparsePCE,has_prepa,0.17383892137274576,0.22001453475339633
rdt,SparsePCE,nb_f3,0.1303354291403684,0.20115315069341155
rdt,SparsePCE,nb_prepa,0.13090177816543475,0.19937672292554584
rdt,SparsePCE,nb_f2,0.14413168962325387,0.14885354933161155
rdt,SparsePCE,nb_f1,0.12994937983060004,0.12994937983060004
rdt,SparsePCE,n_ferti,0.03736064333830242,0.08371260534117
rdt,SparsePCE,type_f3_2,0.021898420410874652,0.070821970124683
rdt,SparsePCE,prepa_2,0.018410907251707086,0.06958540031803413
rdt,SparsePCE,type_f2_2,0.014521650554254865,0.01923447549031076
