sortie,metamodele,parametre,Sobol_S1,Sobol_ST
N_lixi,ExtraTrees,Date_Semis,0.4982224617239495,0.6573295217235634
N_lixi,ExtraTrees,Date_Recolte,0.20697573479209191,0.18941258157657156
N_lixi,ExtraTrees,has_prepa,0.18752517224073226,0.16061852205596908
N_lixi,ExtraTrees,Delta_PREPA_Semis,0.03589002908442062,0.11677482020452187
N_lixi,ExtraTrees,type_f1_1,0.0009897173078471909,0.0001478490211457326
N_lixi,ExtraTrees,prepa_1,0.002004196943970607,0.00013531773045107474
N_lixi,ExtraTrees,type_f1_2,-0.0008096478471600088,0.00012961057401474074
N_lixi,ExtraTrees,n_ferti,-0.002693259312383156,0.00012105559618063168
N_lixi,ExtraTrees,prepa_2,0.0005980290930579794,8.427486918107706e-05
N_lixi,ExtraTrees,type_f2_1,-0.0003328736315640679,6.911243334738375e-05
N_lixi,ExtraTrees,type_f2_2,-0.001535221746038335,4.501349959075665e-05
N_lixi,ExtraTrees,Date_F1,-0.0008410565986962962,2.6194637335733987e-05
N_lixi,ExtraTrees,nb_f1,-0.0005397147255134427,2.4939077888195527e-05
N_lixi,ExtraTrees,Dose_F1_1,0.000456573579370811,2.233216368899023e-05
N_lixi,ExtraTrees,nb_f2,-0.0008769348493705497,2.150775868596331e-05
N_lixi,ExtraTrees,Date_F2,-0.00017333482725728652,2.059767583236152e-05
N_lixi,ExtraTrees,type_f3_1,-0.0010168271597116125,1.8619441141324746e-05
N_lixi,ExtraTrees,nb_prepa,0.0002676803242113021,1.7343984334216926e-05
N_lixi,ExtraTrees,Dose_F2_1,0.0005033463317029365,1.2826633834407232e-05
N_lixi,ExtraTrees,type_f3_2,0.00048235998766433803,8.177072133379381e-06
N_lixi,ExtraTrees,Dose_F1_2,-0.00027347975068539744,5.573765809461076e-06
N_lixi,ExtraTrees,nb_f3,-0.00031653532227058826,5.445051123696258e-06
N_lixi,ExtraTrees,Dose_F2_2,-0.000494961853334118,3.777172278896558e-06
N_lixi,ExtraTrees,Dose_F3_2,0.0002248513708956473,2.6235034547160397e-06
N_lixi,ExtraTrees,Date_F3,0.00016685147060880725,2.2692134769590276e-06
N_lixi,ExtraTrees,Dose_F3_1,-0.0005646443670227571,2.0944380970235423e-06
dCorg,XGBoost,Date_Recolte,0.5527900457382202,0.6705806851387024
dCorg,XGBoost,Date_Semis,0.36670050024986267,0.31843486428260803
dCorg,XGBoost,Delta_PREPA_Semis,-0.004156053997576237,0.000857560255099088
dCorg,XGBoost,has_prepa,-0.0010163524420931935,0.0004762718454003334
dCorg,XGBoost,Date_F1,0.0002985671744681895,3.3018550311680883e-06
dCorg,XGBoost,Date_F3,0.0004439426411408931,2.5291567453678e-06
dCorg,XGBoost,Dose_F1_1,-0.00011063250713050365,2.2630238163401373e-06
dCorg,XGBoost,Dose_F1_2,-5.087399767944589e-05,1.8960865872941213e-06
dCorg,XGBoost,Date_F2,0.00031614501494914293,1.2608740007635788e-06
dCorg,XGBoost,Dose_F3_1,-2.7209132895222865e-05,1.1096568641733029e-06
dCorg,XGBoost,Dose_F2_1,-5.032229091739282e-05,1.0200727729170467e-06
dCorg,XGBoost,Dose_F2_2,-7.183935667853802e-05,9.99038547888631e-07
dCorg,XGBoost,prepa_1,-0.0001708126801531762,5.428186113931588e-07
dCorg,XGBoost,prepa_2,6.082126492401585e-05,4.5779725610373134e-07
dCorg,XGBoost,type_f1_2,4.128592263441533e-05,2.5076454335248854e-07
dCorg,XGBoost,type_f2_2,7.158549124142155e-05,2.44171246777114e-07
