,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.10781147282777948,0.12241359726628598,0.04651518115193454,0.03520351081174977,0.03195681418089469,0.05746855502267967,0.10140645438596152,0.027061465129063156,0.025233500576714474,0.02506815297981968,0.043974867169849996,0.07599442622352115,0.04759814501149939,0.006849121231645494,0.03544510922141508,0.06208441462543679,0.16865378978893342,0.17768661228854687,0.07075897131824915,0.09931737368717386,0.139345078163283,0.26016728614244355,0.05903718566820626,0.031168117124661165,0.08540433930934865
has_prepa,0.10781147282777948,0.0,0.0375232518770936,0.050210942026610916,0.15497391651199555,0.03493452495124949,0.0827373485236429,0.039162740502674875,0.13002896726515,0.05925166067038312,0.03762843578117947,0.1297304660966926,0.019770589377777092,0.044207105155308235,0.04065572226917091,0.11312793683034639,0.03257632409824418,0.04854016886731316,0.05312783905104623,0.16548271759245659,0.10900241556023982,0.0830628973829397,0.18671245547298498,0.049831143259697064,0.2788060379624212,0.20235533897506364
nb_prepa,0.12241359726628598,0.0375232518770936,0.0,0.03822957122037163,0.1774645678046114,0.057334406307773755,0.07012638585715103,0.05488993710435164,0.04549621158041561,0.06528334160767457,0.03258841625424791,0.046037843480491225,0.07038524300051985,0.2021755482189027,0.04227527727428004,0.15631892451919005,0.08178910154015984,0.09509634309499504,0.11771665596053538,0.05858386846851682,0.1773936428090186,0.08404085910506087,0.0456099176534267,0.12479230002582775,0.0764502072561829,0.055851959701737064
prepa_1,0.04651518115193454,0.050210942026610916,0.03822957122037163,0.0,0.20650516695308674,0.11022880064226559,0.1417184646663271,0.10404898219989,0.06975249148962825,0.12986947917427794,0.04472416131705115,0.04039648951538988,0.06026610567598989,0.1598108407979686,0.033341298593275726,0.07786980720942849,0.04627227442459325,0.09292713140348352,0.08316006157195943,0.05153844090699078,0.0740068483804085,0.05779454320775512,0.15990445315840895,0.09029710519859047,0.16360581728400891,0.0905078788757766
prepa_2,0.03520351081174977,0.15497391651199555,0.1774645678046114,0.20650516695308674,0.0,0.02669846571910295,0.1346626006786078,0.035927889060859974,0.052937766082126414,0.06831837167879395,0.07559445718560687,0.11024012109708092,0.04463562312666047,0.1805400489781207,0.031921323368679144,0.026278462383422574,0.13288968127861955,0.07381859146552672,0.036746538479059176,0.14837480750123078,0.03234196126275091,0.13188025798808534,0.14442383688968907,0.1296363090028495,0.09482212675382362,0.10486552972790064
nb_f1,0.03195681418089469,0.03493452495124949,0.057334406307773755,0.11022880064226559,0.02669846571910295,0.0,0.039457713371865766,0.05380260805107839,0.0986480463885423,0.020630389842838603,0.18754818744347768,0.1805041499713399,0.02492108987083419,0.051556182389224214,0.006823282325195579,0.12708757684471694,0.11485820611974507,0.10214356962878068,0.1076039866606463,0.031026387795255794,0.0896711381032409,0.11375232223654597,0.0791378651148682,0.07233218331440083,0.03344477646397659,0.06807948333092173
type_f1_1,0.05746855502267967,0.0827373485236429,0.07012638585715103,0.1417184646663271,0.1346626006786078,0.039457713371865766,0.0,0.02367995748145968,0.14142113866000094,0.00552693692640005,0.013007415230428365,0.03122605840517778,0.04908051681826975,0.05396317561126396,0.011914793535562018,0.10546779822907193,0.07892114776794235,0.09113074025925161,0.1202946648187675,0.14129839493720464,0.1321417125972142,0.09551002986779533,0.15269435277947907,0.12086123182033026,0.09391067626010041,0.02342635407418936
type_f1_2,0.10140645438596152,0.039162740502674875,0.05488993710435164,0.10404898219989,0.035927889060859974,0.05380260805107839,0.02367995748145968,0.0,0.07347464623280708,0.05567237446380913,0.07684749339874908,0.1279712720729621,0.05992764486054747,0.083134442589195,0.01572252128572882,0.10846045228783374,0.10690531304111173,0.1550263414021642,0.1954224565855448,0.07677978786406248,0.09282813905729392,0.01470822582100495,0.19543926526539934,0.04195060404641093,0.09728096725839297,0.09304076677761564
nb_f2,0.027061465129063156,0.13002896726515,0.04549621158041561,0.06975249148962825,0.052937766082126414,0.0986480463885423,0.14142113866000094,0.07347464623280708,0.0,0.07522843125706069,0.05733318682614019,0.1725676106657671,0.06082644726947195,0.055227550196848774,0.09235554082386599,0.15719348042354375,0.14138642294022796,0.12631927977357016,0.13222191789338167,0.17361275853873392,0.10376231638272615,0.014290768303486301,0.12197747976629691,0.10841020440138727,0.07229421347346976,0.22395852143436124
type_f2_1,0.025233500576714474,0.05925166067038312,0.06528334160767457,0.12986947917427794,0.06831837167879395,0.020630389842838603,0.00552693692640005,0.05567237446380913,0.07522843125706069,0.0,0.07540501140502975,0.16367486187489344,0.013094945538169589,0.05606091322488993,0.04306355533198747,0.020545753246271392,0.17805014041185707,0.1539510802420193,0.04923934828021381,0.1250586250397463,0.10949309025985632,0.10846294929945666,0.11256368142967266,0.11794624531634346,0.17800269640300903,0.05433123820519259
type_f2_2,0.02506815297981968,0.03762843578117947,0.03258841625424791,0.04472416131705115,0.07559445718560687,0.18754818744347768,0.013007415230428365,0.07684749339874908,0.05733318682614019,0.07540501140502975,0.0,0.09412561904855554,0.18528993750892286,0.09334067492755205,0.07297290230651043,0.08048699843510887,0.07228050010936116,0.0996510520666456,0.03880872910751865,0.050937599441149284,0.08771913425002242,0.05959018682877659,0.026316175142680365,0.17682489572003235,0.0879527623547095,0.048249191563304095
nb_f3,0.043974867169849996,0.1297304660966926,0.046037843480491225,0.04039648951538988,0.11024012109708092,0.1805041499713399,0.03122605840517778,0.1279712720729621,0.1725676106657671,0.16367486187489344,0.09412561904855554,0.0,0.14540130400906903,0.03130586153178572,0.029947935457852015,0.08011849181812603,0.16827709251913348,0.04899636740986102,0.04423883103585835,0.06886091442337039,0.10199793815714131,0.09833300965537872,0.09909243405094292,0.11604261763116719,0.07307007622441941,0.04209208089150174
type_f3_1,0.07599442622352115,0.019770589377777092,0.07038524300051985,0.06026610567598989,0.04463562312666047,0.02492108987083419,0.04908051681826975,0.05992764486054747,0.06082644726947195,0.013094945538169589,0.18528993750892286,0.14540130400906903,0.0,0.03864247427036416,0.02103922162154337,0.12074151697888935,0.2347497852517897,0.06999301849018202,0.15481024572562097,0.11594220187941584,0.09538653456935975,0.019645525258680574,0.15445306540770065,0.19547149340053882,0.060360108213740826,0.08547481357036213
type_f3_2,0.04759814501149939,0.044207105155308235,0.2021755482189027,0.1598108407979686,0.1805400489781207,0.051556182389224214,0.05396317561126396,0.083134442589195,0.055227550196848774,0.05606091322488993,0.09334067492755205,0.03130586153178572,0.03864247427036416,0.0,0.038146861926329434,0.0618575886223387,0.12929877532720313,0.17271724597674842,0.06489755456757496,0.07462057362075813,0.05501517092963726,0.07061978155567517,0.13450042657652928,0.1656151719879959,0.11984508429056195,0.06428795989618552
Jour_Semis,0.006849121231645494,0.04065572226917091,0.04227527727428004,0.033341298593275726,0.031921323368679144,0.006823282325195579,0.011914793535562018,0.01572252128572882,0.09235554082386599,0.04306355533198747,0.07297290230651043,0.029947935457852015,0.02103922162154337,0.038146861926329434,0.0,0.07898905838731385,0.05452920577551568,0.04885045934967802,0.09101459791532007,0.05548520784513633,0.07093971096465723,0.08696412191355996,0.03016714150940847,0.05557558927782513,0.07089984126549087,0.08778662597806519
Jours_av_PREPA,0.03544510922141508,0.11312793683034639,0.15631892451919005,0.07786980720942849,0.026278462383422574,0.12708757684471694,0.10546779822907193,0.10846045228783374,0.15719348042354375,0.020545753246271392,0.08048699843510887,0.08011849181812603,0.12074151697888935,0.0618575886223387,0.07898905838731385,0.0,0.07276318234325718,0.04919477218367807,0.1513001218098431,0.17058946180085965,0.17063057310236107,0.04936676233582571,0.1577766670138805,0.204861665580364,0.1707013217443093,0.17153585756332834
Jours_semis_F1,0.06208441462543679,0.03257632409824418,0.08178910154015984,0.04627227442459325,0.13288968127861955,0.11485820611974507,0.07892114776794235,0.10690531304111173,0.14138642294022796,0.17805014041185707,0.07228050010936116,0.16827709251913348,0.2347497852517897,0.12929877532720313,0.05452920577551568,0.07276318234325718,0.0,0.12512950192073502,0.12166978135152662,0.23284006330594975,0.34444743081120643,0.12409225973980109,0.055493566724780674,0.18952932561257185,0.27267075818256314,0.1320781317834312
Jours_F1_F2,0.16865378978893342,0.04854016886731316,0.09509634309499504,0.09292713140348352,0.07381859146552672,0.10214356962878068,0.09113074025925161,0.1550263414021642,0.12631927977357016,0.1539510802420193,0.0996510520666456,0.04899636740986102,0.06999301849018202,0.17271724597674842,0.04885045934967802,0.04919477218367807,0.12512950192073502,0.0,0.2146445850395695,0.105815591171737,0.14384887573279448,0.17871202914528783,0.22675321166221774,0.10064406367012813,0.10316135399643267,0.12179732894331696
Jours_F2_F3,0.17768661228854687,0.05312783905104623,0.11771665596053538,0.08316006157195943,0.036746538479059176,0.1076039866606463,0.1202946648187675,0.1954224565855448,0.13222191789338167,0.04923934828021381,0.03880872910751865,0.04423883103585835,0.15481024572562097,0.06489755456757496,0.09101459791532007,0.1513001218098431,0.12166978135152662,0.2146445850395695,0.0,0.11110642008285787,0.08153171240667034,0.14914152899933297,0.12503742417337316,0.25123554707142626,0.11739874112691473,0.1370818469749291
Jours_op_recolte,0.07075897131824915,0.16548271759245659,0.05858386846851682,0.05153844090699078,0.14837480750123078,0.031026387795255794,0.14129839493720464,0.07677978786406248,0.17361275853873392,0.1250586250397463,0.050937599441149284,0.06886091442337039,0.11594220187941584,0.07462057362075813,0.05548520784513633,0.17058946180085965,0.23284006330594975,0.105815591171737,0.11110642008285787,0.0,0.0997343287897795,0.07072413310884218,0.22117647290518183,0.13955865935545375,0.17148474039466877,0.11236994230206787
Dose_F1_1,0.09931737368717386,0.10900241556023982,0.1773936428090186,0.0740068483804085,0.03234196126275091,0.0896711381032409,0.1321417125972142,0.09282813905729392,0.10376231638272615,0.10949309025985632,0.08771913425002242,0.10199793815714131,0.09538653456935975,0.05501517092963726,0.07093971096465723,0.17063057310236107,0.34444743081120643,0.14384887573279448,0.08153171240667034,0.0997343287897795,0.0,0.09667080263473193,0.1554135406436571,0.25936283899335677,0.1403176561057754,0.09588862514234453
Dose_F1_2,0.139345078163283,0.0830628973829397,0.08404085910506087,0.05779454320775512,0.13188025798808534,0.11375232223654597,0.09551002986779533,0.01470822582100495,0.014290768303486301,0.10846294929945666,0.05959018682877659,0.09833300965537872,0.019645525258680574,0.07061978155567517,0.08696412191355996,0.04936676233582571,0.12409225973980109,0.17871202914528783,0.14914152899933297,0.07072413310884218,0.09667080263473193,0.0,0.17953993875741325,0.26342710897877364,0.05793204299543531,0.07937605510458923
Dose_F2_1,0.26016728614244355,0.18671245547298498,0.0456099176534267,0.15990445315840895,0.14442383688968907,0.0791378651148682,0.15269435277947907,0.19543926526539934,0.12197747976629691,0.11256368142967266,0.026316175142680365,0.09909243405094292,0.15445306540770065,0.13450042657652928,0.03016714150940847,0.1577766670138805,0.055493566724780674,0.22675321166221774,0.12503742417337316,0.22117647290518183,0.1554135406436571,0.17953993875741325,0.0,0.20560846156793755,0.06560137213296724,0.07518270105320801
Dose_F2_2,0.05903718566820626,0.049831143259697064,0.12479230002582775,0.09029710519859047,0.1296363090028495,0.07233218331440083,0.12086123182033026,0.04195060404641093,0.10841020440138727,0.11794624531634346,0.17682489572003235,0.11604261763116719,0.19547149340053882,0.1656151719879959,0.05557558927782513,0.204861665580364,0.18952932561257185,0.10064406367012813,0.25123554707142626,0.13955865935545375,0.25936283899335677,0.26342710897877364,0.20560846156793755,0.0,0.21532856529963074,0.19570221506843088
Dose_F3_1,0.031168117124661165,0.2788060379624212,0.0764502072561829,0.16360581728400891,0.09482212675382362,0.03344477646397659,0.09391067626010041,0.09728096725839297,0.07229421347346976,0.17800269640300903,0.0879527623547095,0.07307007622441941,0.060360108213740826,0.11984508429056195,0.07089984126549087,0.1707013217443093,0.27267075818256314,0.10316135399643267,0.11739874112691473,0.17148474039466877,0.1403176561057754,0.05793204299543531,0.06560137213296724,0.21532856529963074,0.0,0.1750886837668435
Dose_F3_2,0.08540433930934865,0.20235533897506364,0.055851959701737064,0.0905078788757766,0.10486552972790064,0.06807948333092173,0.02342635407418936,0.09304076677761564,0.22395852143436124,0.05433123820519259,0.048249191563304095,0.04209208089150174,0.08547481357036213,0.06428795989618552,0.08778662597806519,0.17153585756332834,0.1320781317834312,0.12179732894331696,0.1370818469749291,0.11236994230206787,0.09588862514234453,0.07937605510458923,0.07518270105320801,0.19570221506843088,0.1750886837668435,0.0
