sortie,parametre,ST
N_lixi,Jour_Semis,0.596149506947195
N_lixi,type_f2_2,0.05894309675338571
N_lixi,nb_f3,0.005308790767296967
N_lixi,nb_f2,0.0035719309516497803
N_lixi,type_f1_2,0.0024556454291881267
N_lixi,Dose_F3_1,0.0019231936876271075
N_lixi,Jours_F2_F3,0.001496755965572794
N_lixi,nb_f1,0.0014130206578056683
N_lixi,type_f3_2,0.0012801950763179414
N_lixi,type_f2_1,0.0005214501990836758
N_lixi,Jours_semis_F1,0.00022422930111467383
N_lixi,type_f3_1,0.0001764174674630861
N_lixi,type_f1_1,0.00012073625875162648
N_lixi,n_ferti,0.00010134636259759754
N_lixi,prepa_1,6.694646634472288e-05
N_lixi,prepa_2,3.011251754585934e-05
N_lixi,Dose_F3_2,2.493223924960774e-05
N_lixi,Dose_F2_1,2.1459875424347727e-05
N_lixi,Dose_F2_2,2.08567698781698e-05
N_lixi,Dose_F1_1,1.7643213156025224e-05
N_lixi,has_prepa,1.7429184237277136e-05
N_lixi,Jours_av_PREPA,1.2841798296018722e-05
N_lixi,Dose_F1_2,8.319500600531674e-06
N_lixi,Jours_F1_F2,4.329853658594086e-06
N_lixi,nb_prepa,2.7336424615904545e-06
N_lixi,Jours_op_recolte,9.614096607873626e-07
