sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,Jours_semis_F1,Dose_F1_1,0.34444743081120643,0.4750774792368423,0.13063004842563586,60,16
N_lixi,has_prepa,Dose_F3_1,0.2788060379624212,0.33095354687508083,0.052147508912659624,60,12
N_lixi,Jours_semis_F1,Dose_F3_1,0.27267075818256314,0.3707836390153958,0.09811288083283265,60,16
N_lixi,Dose_F1_2,Dose_F2_2,0.26342710897877364,0.3714893713527595,0.10806226237398586,60,16
N_lixi,n_ferti,Dose_F2_1,0.26016728614244355,0.29600071845373643,0.03583343231129288,60,12
N_lixi,Dose_F1_1,Dose_F2_2,0.25936283899335677,0.35397518085908886,0.09461234186573209,60,15
N_lixi,Jours_F2_F3,Dose_F2_2,0.25123554707142626,0.39323719704453175,0.1420016499731055,60,16
N_lixi,type_f3_1,Jours_semis_F1,0.2347497852517897,0.3214986503690125,0.0867488651172228,60,12
N_lixi,Jours_semis_F1,Jours_op_recolte,0.23284006330594975,0.3293818531655207,0.09654178985957096,60,16
N_lixi,Jours_F1_F2,Dose_F2_1,0.22675321166221774,0.3162102074555375,0.08945699579331978,60,16
N_lixi,nb_f2,Dose_F3_2,0.22395852143436124,0.2671499461580926,0.043191424723731386,60,12
N_lixi,Jours_op_recolte,Dose_F2_1,0.22117647290518183,0.2589989806798637,0.03782250777468188,60,16
N_lixi,Dose_F2_2,Dose_F3_1,0.21532856529963074,0.31381716268385607,0.09848859738422533,60,16
N_lixi,Jours_F1_F2,Jours_F2_F3,0.2146445850395695,0.373946830286499,0.15930224524692949,60,16
N_lixi,prepa_1,prepa_2,0.20650516695308674,0.256872627764708,0.050367460811621245,60,9
N_lixi,Dose_F2_1,Dose_F2_2,0.20560846156793755,0.2972107830174274,0.09160232144948988,60,16
N_lixi,Jours_av_PREPA,Dose_F2_2,0.204861665580364,0.33787439461059143,0.13301272903022743,60,16
N_lixi,has_prepa,Dose_F3_2,0.20235533897506364,0.24601206825349808,0.04365672927843445,60,12
N_lixi,nb_prepa,type_f3_2,0.2021755482189027,0.23302013452822123,0.030844586309318522,60,9
N_lixi,Dose_F2_2,Dose_F3_2,0.19570221506843088,0.3164456677486672,0.12074345268023634,60,16
N_lixi,type_f3_1,Dose_F2_2,0.19547149340053882,0.26886696195814364,0.07339546855760481,60,12
N_lixi,type_f1_2,Dose_F2_1,0.19543926526539934,0.22404636608866324,0.028607100823263898,60,12
N_lixi,type_f1_2,Jours_F2_F3,0.1954224565855448,0.3007683670768252,0.10534591049128039,60,12
