sortie,parametre,ST
N_lixi,n_ferti,0.6984296144280887
N_lixi,prepa_1,0.33751379152955013
N_lixi,type_f2_1,0.25478992631960357
N_lixi,prepa_2,0.13152467997256612
N_lixi,type_f2_2,0.11438874932547426
N_lixi,nb_f1,0.09255193520909892
N_lixi,Jours_av_PREPA,0.08584197529734071
N_lixi,Jours_op_recolte,0.06385091331903392
N_lixi,Jour_Semis,0.06213991776824873
N_lixi,nb_f3,0.059591646620201576
N_lixi,type_f1_2,0.05218571818097308
N_lixi,type_f1_1,0.038470487286101106
N_lixi,type_f3_1,0.03106891047632928
N_lixi,nb_prepa,0.018737966949119438
N_lixi,Dose_F2_1,0.018551441195203803
N_lixi,nb_f2,0.015419934765693573
N_lixi,Jours_F1_F2,0.011906769015407721
N_lixi,has_prepa,0.009323852285777501
N_lixi,Dose_F1_1,0.007668627680125844
N_lixi,Dose_F2_2,0.007521810874396719
N_lixi,Jours_semis_F1,0.006865277150710366
N_lixi,Jours_F2_F3,0.0028860064192065384
N_lixi,Dose_F1_2,0.0010673865063444534
N_lixi,Dose_F3_2,0.0009580086057012453
N_lixi,Dose_F3_1,0.0007058420817334165
N_lixi,type_f3_2,0.00031040541054760517
