,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00018526493925641319,0.0004892259432403012,0.0009482866350505326,0.0004085299684526422,0.0009054883773095268,0.0003156714955405704,0.0008495610131665776,0.00010316342539729018,0.00025719483079378325,0.0004980715463623886,0.0010390966334076213,0.0009145473809359927,8.384880967893249e-05,0.0008934748806528336,0.001896922108221455,0.000548816466757529,0.000991466430617316,0.0007609414347206078,0.0009704815021545077,0.0009463477497627659,0.0009030587298077819,0.0008195151206406015,0.001250050232984079,0.0005834777137603275,0.0013602734039485087
has_prepa,0.00018526493925641319,0.0,3.7099492740777507e-05,0.0002589705379689722,0.0003229117110038482,8.950364028448288e-05,4.279513393268264e-05,0.00016813149531513805,1.0701651564359871e-05,2.4145108134310256e-05,2.7132551767117263e-05,0.00013797814836258304,7.237925842751292e-05,3.0259259973353103e-05,0.00015889060745943873,0.00012601924838939738,7.899854817317031e-05,0.0008116514813485409,0.0005402315598778129,0.00022179052538084942,0.00042970126655661467,0.0004757502756328469,0.0009880863597504508,0.0005776097473002562,0.0004825893827341554,0.00018759803348344928
nb_prepa,0.0004892259432403012,3.7099492740777507e-05,0.0,0.00031839258042554164,0.00047696540356523265,0.0001831601039740116,0.0002543596086794775,0.0003349422900476018,2.6159261812930268e-05,0.0001633773745425282,3.576841670160924e-05,0.00022457322766999965,0.0003039915308861163,0.00011908152663453464,0.0005115911020573405,0.0009973205188308354,0.0005998990287223727,0.0004113261692775261,0.0002576693274471964,0.00020333648308545893,0.00011100992516221986,0.0005949471986893551,0.0005045715928538863,0.0005645954124722241,0.0004621722582978105,2.734472384657849e-05
prepa_1,0.0009482866350505326,0.0002589705379689722,0.00031839258042554164,0.0,0.00025641646093010895,0.0009018401091541728,8.792011505243114e-05,0.000999638553881077,0.0009476777974517514,0.0006094001003953409,0.0003482144157352929,0.0010142497054619337,0.0006833827580993157,0.0007364798542055517,0.0007403026892713882,0.0008864713233128763,0.0009122605356292057,0.0009998186547215404,0.0010701312682511732,0.0003928137848159263,0.00047437636696323615,0.000487972275177051,0.0018562186093294963,0.0005519077661660932,0.00128161638088653,0.0006253881072957324
prepa_2,0.0004085299684526422,0.0003229117110038482,0.00047696540356523265,0.00025641646093010895,0.0,0.0003222598052001757,0.0005058560772563947,8.579442455247666e-05,0.00018955485253013826,0.00041646801323347304,0.000717455942978229,5.9874589508956966e-05,0.0009797153912062262,0.0005853567003210047,9.1550017152775e-05,0.0005540059960720267,0.0005460593704298411,9.59505720392606e-05,0.00024449853772834373,0.0005702831675125086,0.00027399542681161293,9.674263620074175e-05,0.0001434211218759307,0.0004215438053261078,6.755525954715846e-05,0.00042107071605812507
nb_f1,0.0009054883773095268,8.950364028448288e-05,0.0001831601039740116,0.0009018401091541728,0.0003222598052001757,0.0,0.0005721584352538223,0.0003566759223829763,0.0004184131090851917,0.0012052402749953561,0.0005751180155905145,0.0016047024545803312,0.0011397110565243285,0.00037754342189311174,0.0006319843686678484,0.0003292744578664575,0.0005969957506032353,0.0010233952431204507,0.0006801686801689577,0.0008659929626507745,0.0010197743828992412,0.0007757770969950561,0.0007047588988109421,0.0009197664538064254,0.0006855307694731971,0.00040875855061273114
type_f1_1,0.0003156714955405704,4.279513393268264e-05,0.0002543596086794775,8.792011505243114e-05,0.0005058560772563947,0.0005721584352538223,0.0,0.00012917618594110447,1.598818829651183e-05,0.0006406541334514904,6.915472365087716e-05,0.0005852451795060887,0.00035103736272579233,0.0005439864679043227,0.0006065215250523615,0.000561023873562716,0.0007498592283819994,0.00035495785771677557,0.00037885865927833606,0.00046049348136001367,0.0002237672805236457,0.00037465707564110495,0.00040025303509894083,0.00027284384676451445,0.0006505344380872691,0.0003214864909248938
type_f1_2,0.0008495610131665776,0.00016813149531513805,0.0003349422900476018,0.000999638553881077,8.579442455247666e-05,0.0003566759223829763,0.00012917618594110447,0.0,0.00021878030156963213,0.0008918507531253672,0.0007976106194399479,0.0009360483409799336,0.0009712055708023248,0.0013338224927316178,0.00046665567567261146,0.0006999959550116897,0.0013985902685258456,0.0004255722257189287,0.0013794142280939559,0.00142146476259708,0.0007077006499991434,0.000878132710056545,0.0005661840921030725,0.0009694215109207205,0.0014554014864496256,0.0016685206948792164
nb_f2,0.00010316342539729018,1.0701651564359871e-05,2.6159261812930268e-05,0.0009476777974517514,0.00018955485253013826,0.0004184131090851917,1.598818829651183e-05,0.00021878030156963213,0.0,0.00024064900177001025,0.00020581782374173851,0.00034642577665899843,0.00038258701347881896,0.00010291976942478076,0.0002524905568557223,0.0009711196754991214,0.0005521410433457774,0.00013720093680524847,2.8774901246864104e-05,0.0010425122756322347,7.724137057429914e-05,0.0005273918493691188,7.1116724660647e-05,0.00021616555590808773,0.00022983282759458934,0.00018833448407318265
type_f2_1,0.00025719483079378325,2.4145108134310256e-05,0.0001633773745425282,0.0006094001003953409,0.00041646801323347304,0.0012052402749953561,0.0006406541334514904,0.0008918507531253672,0.00024064900177001025,0.0,0.0005602508907150971,0.0006811767331179608,0.0013745229226606037,0.0007105157059845713,0.0009036701473703612,0.0009224395809507291,0.0015663444185236575,0.0008280873273671663,0.000453032090142913,0.0012393609788827753,0.001162496654718126,0.0016197651440084115,0.00025391825934595325,0.001202876757932403,4.770184387115073e-05,0.0013700919974358738
type_f2_2,0.0004980715463623886,2.7132551767117263e-05,3.576841670160924e-05,0.0003482144157352929,0.000717455942978229,0.0005751180155905145,6.915472365087716e-05,0.0007976106194399479,0.00020581782374173851,0.0005602508907150971,0.0,0.0008159328363062102,0.00040568797443774063,0.0007733712437955065,0.0008276184116635665,0.001285257311920085,0.0009709158302618759,0.0006598313852972382,0.001051376074141741,0.0005407570933765316,0.00044884753230556296,0.0008991773041320261,0.001024575781261139,0.00150216432006689,0.0008874151765951854,0.0005457753737693194
