region,leaf_id,n,part_des_points,moyenne_observee,prediction_moyenne,ecart_a_la_moyenne,regles
Région 8,18,381,0.0381,3.8774645669291337,3.8948350168350165,0.1401257669291338,Jours_av_PREPA > 5.036 ; n_ferti est 0.0 ; Jour_Semis > 285.3 ; Jours_op_recolte > 138.5
Région 9,3,363,0.0363,3.611537190082644,3.5535516014234863,-0.12580160991735578,Jours_av_PREPA ≤ 5.036 ; Jours_op_recolte > 93.09
Région 7,14,497,0.0497,3.833674044265594,3.818183333333332,0.09633524426559426,Jours_av_PREPA > 5.036 ; n_ferti est 0.0 ; Jour_Semis ≤ 285.3 ; Jours_op_recolte ≤ 101.9
Région 2,8,1510,0.151,3.791491390728477,3.80666140350877,0.054152590728477,Jours_av_PREPA > 5.036 ; n_ferti n'est pas 0.0 ; prepa_1 n'est pas 0.0 ; Jour_Semis > 283.5
Région 5,11,535,0.0535,3.78043738317757,3.802310344827586,0.043098583177570315,Jours_av_PREPA > 5.036 ; n_ferti n'est pas 0.0 ; prepa_1 est 0.0 ; Dose_F2_1 > 83.85
Région 6,15,497,0.0497,3.6993360160965794,3.690306905370844,-0.03800278390342049,Jours_av_PREPA > 5.036 ; n_ferti est 0.0 ; Jour_Semis ≤ 285.3 ; Jours_op_recolte > 101.9
Région 1,10,3981,0.3981,3.701667922632504,3.6935556304787553,-0.035670877367495635,Jours_av_PREPA > 5.036 ; n_ferti n'est pas 0.0 ; prepa_1 est 0.0 ; Dose_F2_1 ≤ 83.85
Région 4,17,972,0.0972,3.7664218106995886,3.783407092198582,0.02908301069958874,Jours_av_PREPA > 5.036 ; n_ferti est 0.0 ; Jour_Semis > 285.3 ; Jours_op_recolte ≤ 138.5
Région 10,2,290,0.029,3.7106413793103448,3.7131022222222247,-0.026697420689655083,Jours_av_PREPA ≤ 5.036 ; Jours_op_recolte ≤ 93.09
Région 3,7,974,0.0974,3.716741273100616,3.7030315500685895,-0.020597526899383656,Jours_av_PREPA > 5.036 ; n_ferti n'est pas 0.0 ; prepa_1 n'est pas 0.0 ; Jour_Semis ≤ 283.5
