sortie,parametre,ST
N_lixi,n_ferti,0.5612611852353553
N_lixi,prepa_1,0.30289376873202273
N_lixi,type_f2_1,0.22445375810431104
N_lixi,Jours_av_PREPA,0.10582330105979547
N_lixi,nb_f1,0.10563588475453498
N_lixi,type_f2_2,0.09206716405542723
N_lixi,prepa_2,0.08246195226113674
N_lixi,Jour_Semis,0.07772265353811784
N_lixi,nb_f3,0.06774205643584381
N_lixi,Jours_op_recolte,0.05948624461120164
N_lixi,type_f1_2,0.05270990353622886
N_lixi,type_f1_1,0.051642221258069596
N_lixi,type_f3_1,0.02791852663748657
N_lixi,nb_prepa,0.02055061002166054
N_lixi,Jours_F1_F2,0.01915695068494943
N_lixi,Dose_F2_1,0.016180537403867636
N_lixi,has_prepa,0.011978739011877645
N_lixi,nb_f2,0.009367592476031288
N_lixi,Dose_F1_1,0.009067056022380116
N_lixi,Jours_semis_F1,0.008864071502341428
N_lixi,Dose_F2_2,0.007939888719972952
N_lixi,Jours_F2_F3,0.00214860458159858
N_lixi,Dose_F1_2,0.0010324283816380347
N_lixi,Dose_F3_2,0.0009135752675441145
N_lixi,Dose_F3_1,0.000647745766993747
N_lixi,type_f3_2,0.00019243163571632446
