sortie,parametre,R2,p_anova,p_kruskal,n_groupes,n
N_lixi,Jours_av_PREPA,0.0009523437424169906,0.02307066917600693,0.018578737638593783,4,10000
N_lixi,n_ferti,0.0008538942566699489,0.03608181899455757,0.03320832259491154,4,10000
N_lixi,Dose_F1_1,0.0006998821817069718,0.07193533982738595,0.08510446519585857,4,10000
N_lixi,Jours_F1_F2,0.000595434652901139,0.11386804966273507,0.10472514621700349,4,10000
N_lixi,type_f2_1,0.0005645602716810933,0.1302062750988748,0.15706970155389013,4,10000
N_lixi,prepa_1,0.00044559140679236933,0.21630796590411708,0.23757937118761005,4,10000
N_lixi,Dose_F2_1,0.0004239720120102643,0.23677282994742765,0.1928875953915823,4,10000
N_lixi,type_f3_2,0.0004220540995825948,0.2386716517068394,0.18757101852269056,4,10000
N_lixi,Jour_Semis,0.00037446685367239563,0.2904604094963451,0.3044325740183095,4,10000
N_lixi,Dose_F3_1,0.00033126010087224225,0.34597731805777404,0.30919071829279055,4,10000
N_lixi,type_f1_1,0.00033008674263177335,0.06925513104077279,0.07265429461677676,2,10000
N_lixi,type_f3_1,0.0003116224962319513,0.37414012981084677,0.34471857572871817,4,10000
N_lixi,type_f1_2,0.0003020762898414058,0.3885270566111217,0.37430515954930976,4,10000
N_lixi,Jours_semis_F1,0.0002503990978193371,0.4746718828773664,0.3834153557854564,4,10000
N_lixi,type_f2_2,0.00024896169722135657,0.47727225591556366,0.552940435168743,4,10000
N_lixi,nb_f1,0.00019850253578125102,0.5756242688724564,0.5561040854627968,4,10000
N_lixi,Dose_F3_2,0.00017560635794992176,0.6246435148590725,0.7255997218997747,4,10000
N_lixi,Dose_F2_2,0.00015070438182606253,0.6807410051327967,0.6839072980162169,4,10000
N_lixi,has_prepa,0.00011402341956134308,0.2856493408635088,0.2756779989876495,2,10000
N_lixi,nb_f2,8.846636392852783e-05,0.3469771366230676,0.22483809723770679,2,10000
N_lixi,nb_f3,8.038129392169075e-05,0.8486144072013642,0.8566805432780047,4,10000
N_lixi,Jours_F2_F3,5.471123663673214e-05,0.9084652236193556,0.8795637868428642,4,10000
N_lixi,Jours_op_recolte,4.942999513103673e-05,0.9201771135659927,0.8631961686602335,4,10000
N_lixi,nb_prepa,4.8418348076539105e-05,0.486582664538011,0.4756259725387768,2,10000
N_lixi,Dose_F1_2,2.1069219445026103e-05,0.9758568176114715,0.9818162122882471,4,10000
N_lixi,prepa_2,8.472731798466422e-06,0.7710178190825835,0.7816439599506049,2,10000
dCorg,Jour_Semis,0.0006713556735116107,0.08161377789599532,0.06298521243944995,4,10000
dCorg,nb_f3,0.0004779858171695553,0.18868761298646383,0.24864384108812188,4,10000
dCorg,type_f2_1,0.00047206569768901634,0.19347664998988084,0.12709260912037335,4,10000
dCorg,type_f1_2,0.00045335196752694827,0.20936905972422712,0.07130655269202867,4,10000
dCorg,Dose_F3_2,0.00039769572891512015,0.2640285905502979,0.4173701386370924,4,10000
dCorg,Dose_F3_1,0.0003378702019298118,0.3369209917491165,0.5080044437699518,4,10000
dCorg,prepa_1,0.0003155727687301769,0.36832136854485925,0.5347442924869827,4,10000
dCorg,type_f2_2,0.00031527856284763064,0.36875204065429695,0.43872460309391503,4,10000
dCorg,Dose_F2_1,0.00028980806346999045,0.40770233774434395,0.6187663332602575,4,10000
dCorg,nb_f1,0.0002468609944632446,0.48109274126458934,0.632121146665692,4,10000
dCorg,Dose_F2_2,0.00023853207687778906,0.49647591679024683,0.5250631995935808,4,10000
dCorg,Dose_F1_1,0.000230281512279028,0.5120853656126164,0.2908417192026778,4,10000
dCorg,Jours_F2_F3,0.0002240955903620945,0.5240303255002667,0.6514708957678561,4,10000
dCorg,Dose_F1_2,0.00019677398636734297,0.5792329461651821,0.5480007700942546,4,10000
dCorg,Jours_op_recolte,0.000172735025649302,0.6309711056027958,0.29665847063786316,4,10000
dCorg,Jours_semis_F1,0.00010376878868187153,0.7922084834780921,0.6443854074645561,4,10000
dCorg,type_f3_2,8.005877225971364e-05,0.8493858151857615,0.8200034707230738,4,10000
dCorg,n_ferti,7.958833052006067e-05,0.8505104603735633,0.8896888830128981,4,10000
dCorg,Jours_F1_F2,7.78920622496451e-05,0.8545598018194159,0.9225922491025987,4,10000
dCorg,prepa_2,6.21172685291693e-05,0.43066230926101295,0.5073290366711971,2,10000
dCorg,nb_f2,5.531397433794652e-05,0.4570876632759837,0.5448581172880509,2,10000
dCorg,type_f3_1,3.858964795095771e-05,0.9431663695879875,0.8725369048119749,4,10000
dCorg,Jours_av_PREPA,2.3261672131941375e-05,0.9721731074759724,0.9931729072531266,4,10000
dCorg,nb_prepa,1.0686860946394842e-05,0.7437679866509489,0.9522978484245364,2,10000
dCorg,has_prepa,5.420652506659583e-06,0.8159212489102171,0.9768837508365656,2,10000
dCorg,type_f1_1,3.369838403472778e-06,0.8543677436991368,0.5312307447651119,2,10000
rdt,type_f2_1,0.0013209876431018455,0.0041959823480960355,0.0032226552363123252,4,10000
rdt,type_f1_2,0.0007356647901497004,0.06135487498133896,0.09877698811249115,4,10000
rdt,Jours_op_recolte,0.0005366224257351107,0.14689015429327443,0.11651106161392911,4,10000
rdt,Dose_F3_2,0.0004195712061399704,0.24115055052891055,0.2845965007309627,4,10000
rdt,Dose_F2_2,0.0004061168904082611,0.25499728787704995,0.3274963921781512,4,10000
rdt,Jours_F1_F2,0.0003829803135061557,0.2805083628929205,0.10447371840213508,4,10000
rdt,Dose_F1_1,0.0003346150736565706,0.34135454370903573,0.30197984747312645,4,10000
rdt,Jours_F2_F3,0.0003207742308204818,0.36077839672551754,0.41365245058192035,4,10000
rdt,Jours_semis_F1,0.0003111308165952106,0.37486985936834344,0.4350897333731306,4,10000
rdt,Dose_F3_1,0.0002790048299758751,0.42523777571870125,0.500101343807885,4,10000
rdt,nb_f3,0.00022681518319896048,0.5187533587105615,0.6305375417707135,4,10000
rdt,type_f3_2,0.00021825508486534057,0.5354975430807566,0.34618296926897585,4,10000
rdt,Jour_Semis,0.0001846982539786383,0.6048672414313915,0.7034036397305793,4,10000
rdt,Jours_av_PREPA,0.00015637366755037865,0.6677369775416697,0.6281450550596359,4,10000
rdt,Dose_F2_1,0.00013210763190394932,0.7242233450513599,0.7622732432138175,4,10000
rdt,type_f1_1,0.00012902190053615446,0.2560516967868287,0.2635514117913773,2,10000
rdt,n_ferti,0.0001258788549823609,0.7390278126858705,0.5626189719087227,4,10000
rdt,prepa_2,0.00011376406533667774,0.286197955070106,0.21572516622704951,2,10000
rdt,type_f2_2,0.00010582447585878308,0.7872383179074212,0.8363366207186813,4,10000
rdt,Dose_F1_2,0.00010450595475267508,0.7904259294893488,0.7524696141143501,4,10000
rdt,nb_f1,7.123703818918419e-05,0.8703433388248433,0.7600376601786547,4,10000
rdt,prepa_1,3.476803736163693e-05,0.9508480624303709,0.9304806520880887,4,10000
rdt,type_f3_1,3.414640419894347e-05,0.9520728893052152,0.9915675060139242,4,10000
rdt,nb_f2,2.31733935082907e-05,0.6302818919231444,0.7421125384139962,2,10000
rdt,nb_prepa,7.505503369015615e-06,0.7841399499737901,0.7312116487609623,2,10000
rdt,has_prepa,8.233673433529296e-10,0.9977108092025723,0.9668483589077925,2,10000
