,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.0006039748405475276,0.0001190491622339307,0.0003890365950075525,5.890155689591836e-05,0.0004479195588912299,0.0005547343519975989,0.0004796033610139361,3.586415717482527e-05,0.0005013938860566336,0.0008312297945874958,0.0004394868879874503,0.00012408996627344404,2.6604261718188305e-05,0.0006151030750864983,0.000913103890772371,0.0004970165256745762,0.0003709150911915815,0.0004914733714217467,0.0007274703343607136,0.0006351211647983579,0.0006031637658884259,0.0012359872765010937,0.0008673313116502879,0.0007506649345278005,0.00083212543121991
has_prepa,0.0006039748405475276,0.0,3.547520708746532e-06,0.00024434168091813646,8.465747234853715e-05,4.2259892340634764e-05,4.724032319547433e-06,0.00011476941426269427,2.2618588796374794e-06,0.00014542068075706904,1.8547278799463385e-06,0.00040654305856746564,0.00026717932324626936,0.00020760076486148193,0.0006624815204510082,9.923060216321389e-05,0.0003493767428157657,0.00010528634778839141,0.0001769904560358082,0.0002078145880268778,0.000300871046990947,0.00012670796757985325,8.79545016588823e-05,5.634349227667812e-05,0.00010887645258983447,9.894799129617216e-05
nb_prepa,0.0001190491622339307,3.547520708746532e-06,0.0,0.00028280261476776314,2.323949780147494e-05,0.0001411455664475092,1.1658143723614067e-05,0.000278979084606501,2.765809084537274e-06,3.099033152964559e-05,3.237192614258255e-05,0.0004620994023278868,0.00010240034519704011,0.00014230918732638376,0.00042257311038629286,6.599721572142503e-05,9.795014577351768e-05,3.2780901213502744e-05,0.00011094347647988556,0.00012308525116644375,0.0005530500678204708,0.00013686506661947373,9.030512991881068e-05,7.169702321463411e-05,9.273101048989929e-05,0.00017526049391125564
prepa_1,0.0003890365950075525,0.00024434168091813646,0.00028280261476776314,0.0,0.0004152803999002419,0.0007988681675982212,6.640581476746732e-05,0.0005204258698168207,0.00019055551537860982,0.00024429735783382256,0.0010827495313397995,0.0013563898505000171,0.0006889221051983307,0.0010123211772610219,0.0006895843188251538,0.00041483758529869963,0.00130026901906366,0.0003726489775924824,0.00038195246367167535,0.0012241885997053004,0.0011695695125911731,0.001198635561705963,0.0005845951961596096,0.000904100678981834,0.0007175739785018065,0.0006530392442718469
prepa_2,5.890155689591836e-05,8.465747234853715e-05,2.323949780147494e-05,0.0004152803999002419,0.0,3.591293035154486e-05,6.492058521212485e-06,0.0002448467173545854,3.1437897706210194e-06,0.00018770850444393972,0.00025035882708901447,0.00022976959576326283,2.725126971558911e-05,9.958027511391965e-05,0.0001280658476416896,0.0005634203536928339,0.0003910618292073398,0.0004771690063689604,0.0006009406453363342,0.00035043166237835877,9.03769765672191e-05,0.00012803011663831132,0.00046535086582133456,0.00027768173403208696,0.0006490023578276105,0.0007868591986707196
nb_f1,0.0004479195588912299,4.2259892340634764e-05,0.0001411455664475092,0.0007988681675982212,3.591293035154486e-05,0.0,0.0002713743834601434,0.0002681143867799829,0.0003299858425297453,0.0011916743522960571,0.0009315424817112339,0.0007082477280607735,0.0007234410084069332,0.0013726392067193727,0.0013224601185037876,0.00024219887768550663,0.000890067004207018,0.0010618362675622883,0.0007470116363451629,0.0007596571557338949,0.0006472439951208386,0.0003176289154116496,0.0011649073400142873,0.0008365496688805818,0.0006489298490681694,0.0004954193492565651
type_f1_1,0.0005547343519975989,4.724032319547433e-06,1.1658143723614067e-05,6.640581476746732e-05,6.492058521212485e-06,0.0002713743834601434,0.0,0.00023780078491719703,4.647379383371231e-05,0.0007327382255643,0.0002039285262559476,0.00029008795922202957,9.917215402777124e-06,0.0004855000659207409,0.00015527451652064261,0.0006975561183615309,1.0481624003189083e-05,2.779012033449213e-05,0.0002868419045947146,0.0004530554215355087,0.000576321437547489,0.0006445658383422703,0.00019089900781621427,0.00023029888829440015,0.00022651584179100848,0.0003308549120099036
type_f1_2,0.0004796033610139361,0.00011476941426269427,0.000278979084606501,0.0005204258698168207,0.0002448467173545854,0.0002681143867799829,0.00023780078491719703,0.0,0.0001238493568933574,0.0011659452381851398,0.0019284737005759167,0.0009226216946701671,0.0004177027802791944,0.0008216831847565054,0.00040265510192138976,0.00023801776301179967,0.001537753287249477,0.0002893626902853441,0.0005649754799179618,0.0004824090572802531,0.0003145419063875776,0.0009546040913055442,0.0009158909896195278,0.0009918934297550308,0.0006205146423168273,0.0004833642920887282
nb_f2,3.586415717482527e-05,2.2618588796374794e-06,2.765809084537274e-06,0.00019055551537860982,3.1437897706210194e-06,0.0003299858425297453,4.647379383371231e-05,0.0001238493568933574,0.0,0.00042438621949192346,0.00018605559554041307,0.00015714166541203056,8.950556347797622e-05,0.0005453384499541913,0.00013735176312690278,0.00022935423765335639,0.00046919653835997277,9.352571321241676e-05,5.0161048687047405e-05,0.00017557045636273916,0.00016202915096352744,6.322349604848121e-05,0.00043866313273932533,0.00036779528083086266,0.00019975658073256852,0.00010308279483006721
type_f2_1,0.0005013938860566336,0.00014542068075706904,3.099033152964559e-05,0.00024429735783382256,0.00018770850444393972,0.0011916743522960571,0.0007327382255643,0.0011659452381851398,0.00042438621949192346,0.0,0.000660874963390623,0.0007133163771454454,0.0006451934137181592,0.0006411948787321542,0.0005496627898152751,0.0008503686419325529,0.0009567175524638483,0.0004042250156605087,0.00012889587022113513,0.0006277098994044161,0.0014522791887772168,0.0006479060664517089,0.0005118876504438541,0.001360213975415192,0.0004917230751761981,0.000779038744625149
type_f2_2,0.0008312297945874958,1.8547278799463385e-06,3.237192614258255e-05,0.0010827495313397995,0.00025035882708901447,0.0009315424817112339,0.0002039285262559476,0.0019284737005759167,0.00018605559554041307,0.000660874963390623,0.0,0.0008329743214616769,0.0009205020691743782,0.00079992454365585,0.0013559723758561626,0.0002849731933233235,0.0003460690611819528,0.0011733441439101266,0.0003177709941841744,0.0007598913882416181,0.0011921004639146027,0.0007041314748312821,0.000949250457677131,0.00018888158153140822,0.0004528838189283846,0.0004774098854798403
nb_f3,0.0004394868879874503,0.00040654305856746564,0.0004620994023278868,0.0013563898505000171,0.00022976959576326283,0.0007082477280607735,0.00029008795922202957,0.0009226216946701671,0.00015714166541203056,0.0007133163771454454,0.0008329743214616769,0.0,0.0005320435588709316,0.0009557726276843148,0.0003069804697370948,0.0012802140911478688,0.0011929657276811279,0.0006921373039276979,0.0010803321736591043,0.0008364031525945892,0.0008611044839706983,0.00027944360294884785,0.0008287135385878219,0.000934978669205222,0.000809791766700485,0.0015445714840049973
type_f3_1,0.00012408996627344404,0.00026717932324626936,0.00010240034519704011,0.0006889221051983307,2.725126971558911e-05,0.0007234410084069332,9.917215402777124e-06,0.0004177027802791944,8.950556347797622e-05,0.0006451934137181592,0.0009205020691743782,0.0005320435588709316,0.0,0.0005494047385419254,0.0005338653888971034,0.0010628903073651719,0.0017480144497090677,0.0001860315357886666,0.00041711983981507217,0.000911586728204794,0.0008953745731797857,0.0010816059129488131,0.00035174292022066567,0.00031805723724109836,0.0007032815058140018,0.001135485771951994
type_f3_2,2.6604261718188305e-05,0.00020760076486148193,0.00014230918732638376,0.0010123211772610219,9.958027511391965e-05,0.0013726392067193727,0.0004855000659207409,0.0008216831847565054,0.0005453384499541913,0.0006411948787321542,0.00079992454365585,0.0009557726276843148,0.0005494047385419254,0.0,0.0006285675846241512,0.001770456702402723,0.0007720835873714638,3.0201164659682256e-05,0.000121971858906611,0.001601894504570267,0.0003459241816952119,0.0006388343427425891,0.0005822547803688849,0.0013707935099492863,0.00043661033856379206,0.0003940702096063564
Jour_Semis,0.0006151030750864983,0.0006624815204510082,0.00042257311038629286,0.0006895843188251538,0.0001280658476416896,0.0013224601185037876,0.00015527451652064261,0.00040265510192138976,0.00013735176312690278,0.0005496627898152751,0.0013559723758561626,0.0003069804697370948,0.0005338653888971034,0.0006285675846241512,0.0,0.0011496027886980231,0.0007498183658422031,0.0003292757008490632,0.00044208321436312037,0.0008830169407130217,0.0012076998978655107,0.0008168931041814265,0.00044237254842383056,0.0006608951250727246,0.0004634901886453324,0.00044434311243246594
Jours_av_PREPA,0.000913103890772371,9.923060216321389e-05,6.599721572142503e-05,0.00041483758529869963,0.0005634203536928339,0.00024219887768550663,0.0006975561183615309,0.00023801776301179967,0.00022935423765335639,0.0008503686419325529,0.0002849731933233235,0.0012802140911478688,0.0010628903073651719,0.001770456702402723,0.0011496027886980231,0.0,0.0008804992351856278,0.00016960415313982402,0.0008124171046264284,0.0016426680055009468,0.00046366568902467264,0.0008412992558195498,0.0005200566940034568,0.0006460724446145649,0.0003074837039451772,0.0008692447395618474
Jours_semis_F1,0.0004970165256745762,0.0003493767428157657,9.795014577351768e-05,0.00130026901906366,0.0003910618292073398,0.000890067004207018,1.0481624003189083e-05,0.001537753287249477,0.00046919653835997277,0.0009567175524638483,0.0003460690611819528,0.0011929657276811279,0.0017480144497090677,0.0007720835873714638,0.0007498183658422031,0.0008804992351856278,0.0,0.0008215812742273787,0.0004596189770588177,0.0007297114066784349,0.0008292293143316032,0.0009975292272665914,0.0009273418789762511,0.00022613702066975883,0.0006158190314474732,0.0005924664952666747
Jours_F1_F2,0.0003709150911915815,0.00010528634778839141,3.2780901213502744e-05,0.0003726489775924824,0.0004771690063689604,0.0010618362675622883,2.779012033449213e-05,0.0002893626902853441,9.352571321241676e-05,0.0004042250156605087,0.0011733441439101266,0.0006921373039276979,0.0001860315357886666,3.0201164659682256e-05,0.0003292757008490632,0.00016960415313982402,0.0008215812742273787,0.0,0.0004999525832550811,0.0007922248295563206,0.0006566943282113602,0.0006230826474664664,0.0011694070751455676,0.0003580093878424728,0.000591553671474121,0.0006809818503110687
Jours_F2_F3,0.0004914733714217467,0.0001769904560358082,0.00011094347647988556,0.00038195246367167535,0.0006009406453363342,0.0007470116363451629,0.0002868419045947146,0.0005649754799179618,5.0161048687047405e-05,0.00012889587022113513,0.0003177709941841744,0.0010803321736591043,0.00041711983981507217,0.000121971858906611,0.00044208321436312037,0.0008124171046264284,0.0004596189770588177,0.0004999525832550811,0.0,0.0015089906231958716,0.0011078281042485871,0.0008615834444458681,0.0008533045728771338,0.0006456426830490081,0.0006298734750733725,0.0013615330161906858
Jours_op_recolte,0.0007274703343607136,0.0002078145880268778,0.00012308525116644375,0.0012241885997053004,0.00035043166237835877,0.0007596571557338949,0.0004530554215355087,0.0004824090572802531,0.00017557045636273916,0.0006277098994044161,0.0007598913882416181,0.0008364031525945892,0.000911586728204794,0.001601894504570267,0.0008830169407130217,0.0016426680055009468,0.0007297114066784349,0.0007922248295563206,0.0015089906231958716,0.0,0.0009295212783342333,0.0014465699299560653,0.001673186186052722,0.0011158047362533896,0.0017437737536736275,0.0010039682328416566
Dose_F1_1,0.0006351211647983579,0.000300871046990947,0.0005530500678204708,0.0011695695125911731,9.03769765672191e-05,0.0006472439951208386,0.000576321437547489,0.0003145419063875776,0.00016202915096352744,0.0014522791887772168,0.0011921004639146027,0.0008611044839706983,0.0008953745731797857,0.0003459241816952119,0.0012076998978655107,0.00046366568902467264,0.0008292293143316032,0.0006566943282113602,0.0011078281042485871,0.0009295212783342333,0.0,0.0008324356901473484,0.0005106754272103942,0.0006682536480100421,0.0011980372359915448,0.0011917500695540761
Dose_F1_2,0.0006031637658884259,0.00012670796757985325,0.00013686506661947373,0.001198635561705963,0.00012803011663831132,0.0003176289154116496,0.0006445658383422703,0.0009546040913055442,6.322349604848121e-05,0.0006479060664517089,0.0007041314748312821,0.00027944360294884785,0.0010816059129488131,0.0006388343427425891,0.0008168931041814265,0.0008412992558195498,0.0009975292272665914,0.0006230826474664664,0.0008615834444458681,0.0014465699299560653,0.0008324356901473484,0.0,0.0004569382094239405,0.0007669531368329485,0.0008898992513189929,0.0006865851830004654
Dose_F2_1,0.0012359872765010937,8.79545016588823e-05,9.030512991881068e-05,0.0005845951961596096,0.00046535086582133456,0.0011649073400142873,0.00019089900781621427,0.0009158909896195278,0.00043866313273932533,0.0005118876504438541,0.000949250457677131,0.0008287135385878219,0.00035174292022066567,0.0005822547803688849,0.00044237254842383056,0.0005200566940034568,0.0009273418789762511,0.0011694070751455676,0.0008533045728771338,0.001673186186052722,0.0005106754272103942,0.0004569382094239405,0.0,0.0007690733706640085,0.0005026736954153455,0.0008563295119934367
Dose_F2_2,0.0008673313116502879,5.634349227667812e-05,7.169702321463411e-05,0.000904100678981834,0.00027768173403208696,0.0008365496688805818,0.00023029888829440015,0.0009918934297550308,0.00036779528083086266,0.001360213975415192,0.00018888158153140822,0.000934978669205222,0.00031805723724109836,0.0013707935099492863,0.0006608951250727246,0.0006460724446145649,0.00022613702066975883,0.0003580093878424728,0.0006456426830490081,0.0011158047362533896,0.0006682536480100421,0.0007669531368329485,0.0007690733706640085,0.0,0.0009029250235852437,0.0010526773911827547
Dose_F3_1,0.0007506649345278005,0.00010887645258983447,9.273101048989929e-05,0.0007175739785018065,0.0006490023578276105,0.0006489298490681694,0.00022651584179100848,0.0006205146423168273,0.00019975658073256852,0.0004917230751761981,0.0004528838189283846,0.000809791766700485,0.0007032815058140018,0.00043661033856379206,0.0004634901886453324,0.0003074837039451772,0.0006158190314474732,0.000591553671474121,0.0006298734750733725,0.0017437737536736275,0.0011980372359915448,0.0008898992513189929,0.0005026736954153455,0.0009029250235852437,0.0,0.0009618728092380957
Dose_F3_2,0.00083212543121991,9.894799129617216e-05,0.00017526049391125564,0.0006530392442718469,0.0007868591986707196,0.0004954193492565651,0.0003308549120099036,0.0004833642920887282,0.00010308279483006721,0.000779038744625149,0.0004774098854798403,0.0015445714840049973,0.001135485771951994,0.0003940702096063564,0.00044434311243246594,0.0008692447395618474,0.0005924664952666747,0.0006809818503110687,0.0013615330161906858,0.0010039682328416566,0.0011917500695540761,0.0006865851830004654,0.0008563295119934367,0.0010526773911827547,0.0009618728092380957,0.0
