region,leaf_id,n,part_des_points,moyenne_observee,prediction_moyenne,ecart_a_la_moyenne,regles
Région 9,13,331,0.0331,-235.73910574018132,-241.78272649572654,-18.403619340181308,Jour_Semis > 281.3 ; Jour_Semis ≤ 288.4 ; Dose_F1_1 > 66.45
Région 4,7,567,0.0567,-204.64867019400353,-200.12300000000027,12.686816205996479,Jour_Semis ≤ 281.3 ; Jours_op_recolte > 23.06 ; Dose_F1_1 > 79.16
Région 8,15,370,0.037,-206.119627027027,-201.00318900343652,11.215859372973,Jour_Semis > 281.3 ; Jour_Semis > 288.4 ; Jour_Semis ≤ 290.8
Région 6,5,453,0.0453,-226.71251214128037,-224.85439528023602,-9.377025741280363,Jour_Semis ≤ 281.3 ; Jours_op_recolte > 23.06 ; Dose_F1_1 ≤ 79.16 ; type_f2_1 n'est pas 0.0
Région 7,2,384,0.0384,-225.03519791666668,-226.5974113475177,-7.699711516666667,Jour_Semis ≤ 281.3 ; Jours_op_recolte ≤ 23.06
Région 3,18,626,0.0626,-223.77856869009588,-231.0133617021277,-6.443082290095873,Jour_Semis > 281.3 ; Jour_Semis > 288.4 ; Jour_Semis > 290.8 ; Jours_av_PREPA > 22.34
Région 10,12,298,0.0298,-223.61176510067114,-228.86223684210523,-6.276278700671128,Jour_Semis > 281.3 ; Jour_Semis ≤ 288.4 ; Dose_F1_1 ≤ 66.45 ; Jours_op_recolte > 130.1
Région 2,6,2151,0.2151,-212.63001022780102,-210.44692345986297,4.705476172198985,Jour_Semis ≤ 281.3 ; Jours_op_recolte > 23.06 ; Dose_F1_1 ≤ 79.16 ; type_f2_1 est 0.0
Région 5,11,516,0.0516,-220.4256007751938,-220.38825994694966,-3.0901143751937923,Jour_Semis > 281.3 ; Jour_Semis ≤ 288.4 ; Dose_F1_1 ≤ 66.45 ; Jours_op_recolte ≤ 130.1
Région 1,17,4304,0.4304,-217.49126998141264,-218.30226253869984,-0.15578358141263493,Jour_Semis > 281.3 ; Jour_Semis > 288.4 ; Jour_Semis > 290.8 ; Jours_av_PREPA ≤ 22.34
