sortie,parametre,ST
dCorg,Jour_Semis,0.3805758850389249
dCorg,prepa_1,0.3611430481889181
dCorg,type_f2_2,0.17239170484544442
dCorg,Dose_F1_1,0.1337673783102033
dCorg,nb_f3,0.10433167165762756
dCorg,n_ferti,0.09865692558339546
dCorg,Jours_op_recolte,0.08631567958895978
dCorg,type_f3_2,0.05854539690761865
dCorg,nb_f1,0.05060484975507584
dCorg,type_f1_2,0.03629643472836278
dCorg,Jours_semis_F1,0.02785716000859564
dCorg,Jours_av_PREPA,0.026189775374488584
dCorg,type_f2_1,0.01912502137802573
dCorg,nb_prepa,0.011047780254130269
dCorg,has_prepa,0.010679696019426673
dCorg,prepa_2,0.009167773479260748
dCorg,Dose_F3_1,0.008410455149899014
dCorg,type_f1_1,0.006469573427371962
dCorg,Dose_F2_2,0.006331611697194677
dCorg,Jours_F1_F2,0.005962845776429101
dCorg,type_f3_1,0.00517273498602868
dCorg,Dose_F2_1,0.004243735730272041
dCorg,Dose_F1_2,0.003736593118995219
dCorg,nb_f2,0.0020616394407029248
dCorg,Jours_F2_F3,0.0004599146523279801
dCorg,Dose_F3_2,0.00018338812760745175
