,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00038209655116683283,0.0003496736867231176,0.0013835431412320132,4.258150414249151e-05,0.0009744210590116875,0.000183671057830459,0.0004250951164900263,3.347757521943162e-05,0.0002763184811974684,0.0007854846225721079,0.00044418182507344195,0.00027067018767357176,1.3230495802374342e-05,0.0006092109021791359,0.0012516519798368986,0.0002245277043727567,0.0010847768717866524,0.0008824360187459357,0.0009523137032417806,0.0007031672272549416,0.000509941921608914,0.00039334183525319144,0.001370142959414844,0.000851313563389855,0.0013082722471771113
has_prepa,0.00038209655116683283,0.0,3.6073414082515853e-06,4.54363678743519e-05,2.804174900428169e-05,2.1255759709237765e-05,2.0433138125941497e-07,4.348818519339659e-05,3.840686287959194e-05,9.264228008198927e-05,3.200857262353196e-06,0.00037305587873981416,0.00018651852155637805,0.00024650064417730544,0.00021171410402753832,9.290507504167156e-05,0.0002795752208254454,0.0005326020347089511,5.806017202958369e-05,0.0003226810371723676,0.0008557106626009281,2.260921774799307e-05,0.0005293764342511054,0.00013607845655250195,9.170206990816165e-05,0.00011185468398444698
nb_prepa,0.0003496736867231176,3.6073414082515853e-06,0.0,0.0003372672154563494,0.00011987882396580218,0.0005690137305472964,9.984287022579696e-05,0.0001470333871088636,2.8271374663546567e-07,1.544376609474707e-05,8.818455040926487e-05,0.0009676636340678613,0.0002631527550148727,0.00020105772479084294,0.0004216002378324424,5.7580496167330963e-05,0.0005811714589922801,0.00023228674034281305,8.6610161457501e-05,9.952194307150108e-05,0.0006542035984795636,0.00011638651818957069,0.00045721616008609356,0.0004778032995260695,0.0001601991720147078,0.00017957903849874501
prepa_1,0.0013835431412320132,4.54363678743519e-05,0.0003372672154563494,0.0,0.00029133262481451094,0.00111032187829474,0.00023001751823614747,0.0005046957787783191,0.0002456960106984596,0.0005084681836874383,0.000924766466624205,0.0011632136833000795,0.000921174415941528,0.0008562120429778108,0.0005419393266187233,0.00023313916380673927,0.0019212928851324307,0.0006656587743099074,0.0018488927763835594,0.001023925288722971,0.0022136632463248818,0.001487918317949477,0.0006110942500090477,0.0015138373037262287,0.0018218915113340506,0.0015530546892875696
prepa_2,4.258150414249151e-05,2.804174900428169e-05,0.00011987882396580218,0.00029133262481451094,0.0,0.00036772495366366176,0.00023089406411191948,0.00017727595171279642,0.00010027234955800601,4.387599965582911e-05,0.000188077388695973,8.591843695071599e-05,0.0006029357273024116,0.00013576793183256441,3.4687573647551595e-05,0.0008634212035680822,5.5241429263275243e-05,0.00045872249020062483,0.000526411833571494,0.0006072522906205302,0.00013469865870208153,0.00020806836392850414,0.0004905754725532674,0.00037332651583232845,0.0006482967178431664,0.001227797424376953
nb_f1,0.0009744210590116875,2.1255759709237765e-05,0.0005690137305472964,0.00111032187829474,0.00036772495366366176,0.0,0.00016828901601928514,0.0008321057801262688,0.0004641108755593093,0.00141557994899566,0.0010396164561312649,0.0012038229182959048,0.0007952924688193752,0.0009218415739926655,0.0011605886395775755,0.0006494290661436253,0.0009854428849895847,0.0007478933552671485,0.0010548010106263828,0.0008182302879785608,0.0009292980188686517,0.000558983913015898,0.0012492513804175376,0.0005001335901274606,0.000997292001299166,0.00048388526782516816
type_f1_1,0.000183671057830459,2.0433138125941497e-07,9.984287022579696e-05,0.00023001751823614747,0.00023089406411191948,0.00016828901601928514,0.0,0.0002481705367120002,8.452842270900707e-05,0.0009457135516045545,7.455643568632375e-06,0.0008092110167345901,0.00024153098575740994,0.0004810800904810897,0.00022670932807911104,0.0001288538266308592,0.0003002566201391055,9.484602517040308e-05,6.276245010283787e-05,0.00029740643480435924,0.0005011846689124688,0.00042457058141520676,5.239071487228575e-05,9.575453695398473e-05,0.00014378338178855365,4.956858351512494e-05
type_f1_2,0.0004250951164900263,4.348818519339659e-05,0.0001470333871088636,0.0005046957787783191,0.00017727595171279642,0.0008321057801262688,0.0002481705367120002,0.0,0.0003143961614843205,0.0011472103860300509,0.0011834735291664789,0.0007188522553612797,0.0009279685822620731,0.0012844419280215735,0.0012348168732292386,0.0003393723194139442,0.0010315618496725687,0.0004660788930360704,0.0008191515948188233,0.00033529054806469283,0.00033049145509012057,0.0013213770886274512,0.0008049914120118462,0.0013400477543639155,0.0005524861594385921,0.0008625634522997361
nb_f2,3.347757521943162e-05,3.840686287959194e-05,2.8271374663546567e-07,0.0002456960106984596,0.00010027234955800601,0.0004641108755593093,8.452842270900707e-05,0.0003143961614843205,0.0,0.00018955717587010312,4.9635742831122265e-05,0.00018019369177424416,0.00024945396045295,0.00031935370657121265,0.00017923814406850536,9.428700432312365e-05,2.739242563831734e-05,0.00020957126259135705,5.1233706830799974e-05,0.0006006485784412208,4.3439324206251406e-05,0.00010168240524943695,0.00038086971398554326,0.0009472892985480375,5.7857791302184935e-05,4.709815636638748e-05
type_f2_1,0.0002763184811974684,9.264228008198927e-05,1.544376609474707e-05,0.0005084681836874383,4.387599965582911e-05,0.00141557994899566,0.0009457135516045545,0.0011472103860300509,0.00018955717587010312,0.0,0.0006224503643766921,0.0004738261547067024,0.0005753907941552505,0.0006578271309238826,0.0008916890954130396,0.0009104894234684968,0.0002526288276925026,0.0005336797182263764,0.00022883997175571213,0.0010731125635252692,0.001154281710406102,0.0005534313340797015,0.0005567363078715637,0.0022883545234568814,0.000368524090499589,0.0006786598305702496
type_f2_2,0.0007854846225721079,3.200857262353196e-06,8.818455040926487e-05,0.000924766466624205,0.000188077388695973,0.0010396164561312649,7.455643568632375e-06,0.0011834735291664789,4.9635742831122265e-05,0.0006224503643766921,0.0,0.0007756560246199307,0.0003394764025442809,0.00036450022850509356,0.0015853890903942958,0.0005756033046588893,0.0006082796740483065,0.0006934440676815701,0.00025755909515190467,0.0011816118750012095,0.0006239222393298327,0.00038834284221955784,0.0010867687643612012,0.0011092047088807622,0.0005217734431203214,0.0003836211536674128
nb_f3,0.00044418182507344195,0.00037305587873981416,0.0009676636340678613,0.0011632136833000795,8.591843695071599e-05,0.0012038229182959048,0.0008092110167345901,0.0007188522553612797,0.00018019369177424416,0.0004738261547067024,0.0007756560246199307,0.0,0.0014651826534601842,0.0006947582439198463,0.0004013767411858993,0.0014731968342719393,0.000785676348641684,0.0006419548842468981,0.0012385758037359862,0.0021529135754041473,0.0010252510339177068,0.00017702248356066264,0.0006557899995105476,0.0009428154117351317,0.001140932533652772,0.0014908258453236733
type_f3_1,0.00027067018767357176,0.00018651852155637805,0.0002631527550148727,0.000921174415941528,0.0006029357273024116,0.0007952924688193752,0.00024153098575740994,0.0009279685822620731,0.00024945396045295,0.0005753907941552505,0.0003394764025442809,0.0014651826534601842,0.0,0.0009203422593478949,0.0003784684945867811,0.0005428010136847572,0.001106709302198694,0.0002275451407215412,0.0006674313688304068,0.0005911375694821475,0.0015327013096286812,0.0013249150273444421,0.00031095476346942874,0.00036657338535461825,0.0010716437208895258,0.0007808917038324426
type_f3_2,1.3230495802374342e-05,0.00024650064417730544,0.00020105772479084294,0.0008562120429778108,0.00013576793183256441,0.0009218415739926655,0.0004810800904810897,0.0012844419280215735,0.00031935370657121265,0.0006578271309238826,0.00036450022850509356,0.0006947582439198463,0.0009203422593478949,0.0,0.0011961667230718787,0.0013527203521042086,0.0007950497871309636,6.792284677836768e-05,8.558276530956643e-05,0.0010371141601352996,0.0003899130614836155,0.00013979536972885676,0.0004998545441474711,0.0024676330731991936,0.0006859978402533606,0.00025737291859950773
Jour_Semis,0.0006092109021791359,0.00021171410402753832,0.0004216002378324424,0.0005419393266187233,3.4687573647551595e-05,0.0011605886395775755,0.00022670932807911104,0.0012348168732292386,0.00017923814406850536,0.0008916890954130396,0.0015853890903942958,0.0004013767411858993,0.0003784684945867811,0.0011961667230718787,0.0,0.0009535973663339359,0.0006169348452532697,0.00046934499366591,0.0002773911519892147,0.0006649962294604794,0.0007254707643455927,0.0003703121466793746,0.00037221207892101926,0.0002933731042996657,0.00019953599434741065,0.00040007290364951764
Jours_av_PREPA,0.0012516519798368986,9.290507504167156e-05,5.7580496167330963e-05,0.00023313916380673927,0.0008634212035680822,0.0006494290661436253,0.0001288538266308592,0.0003393723194139442,9.428700432312365e-05,0.0009104894234684968,0.0005756033046588893,0.0014731968342719393,0.0005428010136847572,0.0013527203521042086,0.0009535973663339359,0.0,0.0012477696356820722,0.0014416099956915396,0.00042251446864605136,0.0013553470597841288,0.0012289771029727614,0.0004950535795604782,0.0013589414516705922,0.0008177610198667473,0.0006302652480306703,0.0007051089926009002
Jours_semis_F1,0.0002245277043727567,0.0002795752208254454,0.0005811714589922801,0.0019212928851324307,5.5241429263275243e-05,0.0009854428849895847,0.0003002566201391055,0.0010315618496725687,2.739242563831734e-05,0.0002526288276925026,0.0006082796740483065,0.000785676348641684,0.001106709302198694,0.0007950497871309636,0.0006169348452532697,0.0012477696356820722,0.0,0.0006751099303203834,0.00043293219874906974,0.0007142901043918348,0.0006705883323101514,0.0004117735195778849,0.0009278346045683561,0.0009244628389473153,0.0006623212967640235,0.000996396571097069
Jours_F1_F2,0.0010847768717866524,0.0005326020347089511,0.00023228674034281305,0.0006656587743099074,0.00045872249020062483,0.0007478933552671485,9.484602517040308e-05,0.0004660788930360704,0.00020957126259135705,0.0005336797182263764,0.0006934440676815701,0.0006419548842468981,0.0002275451407215412,6.792284677836768e-05,0.00046934499366591,0.0014416099956915396,0.0006751099303203834,0.0,0.0015947749280995627,0.000708945181489784,0.0008924093912821007,0.0006734760538599227,0.0004309852274035908,0.000666086305348923,0.0011712065573777908,0.0009132756982724866
