sortie,parametre,ST
rdt,type_f2_1,0.605956877616955
rdt,nb_f1,0.2741346540479524
rdt,type_f1_2,0.18131532852362828
rdt,Jour_Semis,0.1474548465452233
rdt,n_ferti,0.13790384069853695
rdt,Jours_semis_F1,0.07229270524300158
rdt,prepa_1,0.05663672361112004
rdt,Jours_op_recolte,0.048896299033229576
rdt,prepa_2,0.04380323367760756
rdt,nb_prepa,0.043649137054758834
rdt,nb_f3,0.04157230497471296
rdt,Dose_F1_1,0.040453036295853
rdt,type_f2_2,0.032769687073719106
rdt,Jours_F1_F2,0.02529523780302442
rdt,Jours_F2_F3,0.0173357067018213
rdt,has_prepa,0.015377549008760615
rdt,Jours_av_PREPA,0.011611167930178606
rdt,type_f1_1,0.0066146404499097325
rdt,type_f3_2,0.006419708295353412
rdt,type_f3_1,0.006369324694795603
rdt,Dose_F2_2,0.002936893943325318
rdt,Dose_F2_1,0.0007872796805733877
rdt,Dose_F1_2,0.000666579325319333
rdt,nb_f2,0.00031586835484742555
rdt,Dose_F3_1,0.00024289498774269553
rdt,Dose_F3_2,0.000175657638561876
