sortie,parametre,ST
dCorg,n_ferti,0.6132085875946808
dCorg,Jours_op_recolte,0.3545006565787719
dCorg,Jours_semis_F1,0.13276123412148363
dCorg,has_prepa,0.0018330047156788656
dCorg,Jours_F1_F2,0.0005848736903736513
dCorg,Jours_av_PREPA,0.0003277868470921426
dCorg,Jour_Semis,9.843292368463626e-05
dCorg,Jours_F2_F3,8.620768919082837e-05
dCorg,type_f1_2,6.475080307293792e-06
dCorg,prepa_2,3.2091982606859245e-06
dCorg,prepa_1,1.1882241020822428e-06
dCorg,type_f1_1,7.852313209507516e-07
dCorg,nb_f2,6.577259526453733e-07
dCorg,nb_f1,1.845700727869203e-07
dCorg,nb_prepa,1.368370327348151e-07
dCorg,Dose_F1_1,1.0512923045887254e-07
dCorg,nb_f3,9.870598135892704e-08
dCorg,type_f2_1,8.232440951942742e-08
dCorg,Dose_F3_1,6.060304440814263e-08
dCorg,type_f3_1,4.518153799176895e-08
dCorg,type_f3_2,4.5015519992876324e-08
dCorg,Dose_F2_1,3.329298159566996e-08
dCorg,Dose_F1_2,2.519353243060395e-08
dCorg,type_f2_2,9.945782572440139e-09
dCorg,Dose_F3_2,1.854622906956948e-09
dCorg,Dose_F2_2,5.924462721846062e-32
