,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00010722665596596404,5.771946043009457e-05,0.00044350302896867255,0.10277049154289886,0.22993544913521724,0.0805022922818317,0.1453186064280444,0.04289471505618159,0.06785753587533783,0.0009011016729076893,0.06560012583165764,0.05634002506780189,0.032019129737052454,0.013064147058635012,0.000562207700232964,0.18215535883957346,0.23647738585667688,0.035874545247232215,0.0404491700752494,0.16926351783763816,0.0648497077889777,0.24114194665769406,0.030920891229638592,0.03634241453619613,0.008228343867327292
has_prepa,0.00010722665596596404,0.0,0.007518882532011606,0.013249074731652488,4.55319190827419e-05,0.00013303805401254643,3.470353837753404e-05,0.00010946881192464009,5.927078040268707e-05,9.757769277873862e-05,0.005160776290872193,0.00016217198620072093,5.5588738881340305e-05,9.333596816063494e-05,0.0013835833568014433,0.02171015522237063,0.00028766518462586266,0.0005826930900150185,0.0005300102180096911,0.0005243961923814267,0.0003373543933453682,0.0003207673524464605,0.0005702169881413033,0.0007609094302578612,0.000620312603935913,0.00034058613341791943
nb_prepa,5.771946043009457e-05,0.007518882532011606,0.0,0.007133694996312001,5.750240825497244e-06,0.0002675252614606771,1.40582178804749e-05,1.9706035522815135e-05,2.5662606664145216e-06,8.750879761576513e-05,0.003943414654608901,0.00024767071812559216,8.786302604057994e-05,6.10359940234062e-06,0.0006630950232109356,0.007056089984910807,0.00042176318291486936,0.0006005123651586786,0.00010671698109521177,0.00041037811436439586,9.390665176911561e-05,0.00026276868485908267,0.0003653920938661015,0.0003129189158245227,5.5061684478885375e-05,4.6697207766288606e-05
prepa_1,0.00044350302896867255,0.013249074731652488,0.007133694996312001,0.0,8.00781660036387e-05,0.0009711264527226815,9.789358459133535e-05,0.0008166204506097063,0.00011982568206791999,0.0002707384621786213,0.005420769507012202,0.0005411475294780921,0.0002680083574888581,0.0001340571574025562,0.0016288062867113595,0.013720607492267334,0.0013157688936342726,0.0008661353178800457,0.0011002785013631833,0.0008878612535040409,0.00030407823147304835,0.0005093503457682669,0.0008011701321218867,0.0014695815373639842,0.0013295746552240972,0.0007594362078596761
prepa_2,0.10277049154289886,4.55319190827419e-05,5.750240825497244e-06,8.00781660036387e-05,0.0,0.08618903072569906,0.03175959018460783,0.05219625836023123,0.018216993462847775,0.02645460863931315,0.0002357634065713876,0.07184936057934155,0.023274287694811546,0.012963822743804587,0.0029939300474147723,0.00027003410579751197,0.08263987472854228,0.06849866151166395,0.009325736420956465,0.003573724801984701,0.07393137317241771,0.06845605394764775,0.06958005908908249,0.009052153575551225,0.009531830677645181,0.0020623257677766516
nb_f1,0.22993544913521724,0.00013303805401254643,0.0002675252614606771,0.0009711264527226815,0.08618903072569906,0.0,0.060355306676824316,0.0942769411017681,0.029707789747482893,0.04391669418294464,0.0008614077175755908,0.06355696978032233,0.043920543555889036,0.02373265863093832,0.0046831888587631765,0.00039947581644395047,0.1438812841463235,0.12766030703170572,0.012231183393661249,0.009577536422834765,0.1358221426312355,0.03845300646616645,0.1306404131551253,0.013594652227654658,0.01247535519641818,0.00298400272252064
type_f1_1,0.0805022922818317,3.470353837753404e-05,1.40582178804749e-05,9.789358459133535e-05,0.03175959018460783,0.060355306676824316,0.0,0.057959211901824625,0.015726573945344713,0.02418882152096935,9.000104524559127e-05,0.02242538611372502,0.05322352259701202,0.012380408731802794,0.000943016636223315,0.0001811695596507512,0.059183536744275345,0.0787316062023109,0.005557680991463143,0.0011396976345652288,0.05125389357055243,0.016578421572631896,0.08020746316935601,0.02611698644953786,0.005209065161998705,0.00133397146675307
type_f1_2,0.1453186064280444,0.00010946881192464009,1.9706035522815135e-05,0.0008166204506097063,0.05219625836023123,0.0942769411017681,0.057959211901824625,0.0,0.028171472422117594,0.042014261388023,0.000762612110196903,0.036109159157821424,0.04111085762655353,0.02037043075061573,0.0032132804174985763,0.00037266376492206543,0.08713047066396484,0.14089892840550933,0.013299133620262471,0.0026897702874962848,0.07872949019372888,0.027601745248822862,0.14368693350747486,0.014572385547910516,0.013088099744186898,0.003622600326318337
nb_f2,0.04289471505618159,5.927078040268707e-05,2.5662606664145216e-06,0.00011982568206791999,0.018216993462847775,0.029707789747482893,0.015726573945344713,0.028171472422117594,0.0,0.03072318021297782,7.870509808993731e-05,0.012496428814093408,0.01158787588234178,0.02976922524225578,0.0017630243131442347,0.0003061372387221928,0.030492210303862288,0.03471152728203031,0.008275138465014487,0.00266083422354646,0.025946000200052,0.009119404379190232,0.03485130225838484,0.003014430682903191,0.007924357128931248,0.005893723799690331
type_f2_1,0.06785753587533783,9.757769277873862e-05,8.750879761576513e-05,0.0002707384621786213,0.02645460863931315,0.04391669418294464,0.02418882152096935,0.042014261388023,0.03072318021297782,0.0,0.00018315777783128873,0.0191603644717393,0.019200426112624402,0.02423801514525592,0.002300006820462608,0.00034321218061028613,0.04278480480053348,0.05497831311336632,0.017039332194245027,0.005025134524557107,0.03642082520899004,0.014971983330484218,0.05575860625580398,0.005291509607387557,0.01692177750578816,0.0038958676676951187
