region,leaf_id,n,part_des_points,moyenne_observee,prediction_moyenne,ecart_a_la_moyenne,regles
Région 2,21,1202,0.1202,3.5617845257903498,3.562138157894739,-0.5564769742096503,n_ferti est 0.0 ; Jour_Semis > 271.9 ; Jour_Semis ≤ 309.7 ; Jour_Semis > 279.3
Région 11,20,314,0.0314,3.6812898089171973,3.6837448559670767,-0.43697169108280276,n_ferti est 0.0 ; Jour_Semis > 271.9 ; Jour_Semis ≤ 309.7 ; Jour_Semis ≤ 279.3
Région 8,22,439,0.0439,3.7465148063781317,3.747618343195265,-0.3717466936218683,n_ferti est 0.0 ; Jour_Semis > 271.9 ; Jour_Semis > 309.7
Région 4,4,726,0.0726,3.763030303030303,3.763774250440915,-0.35523119696969685,n_ferti n'est pas 0.0 ; Jours_op_recolte ≤ 49.48 ; Jours_semis_F1 ≤ 186 ; n_ferti n'est pas 3.0
Région 3,15,1111,0.1111,4.444257425742574,4.446367469879515,0.32599592574257397,n_ferti n'est pas 0.0 ; Jours_op_recolte > 49.48 ; Jours_av_PREPA > 15.58 ; Jours_semis_F1 > 130.5
Région 7,8,447,0.0447,4.425950782997763,4.425160349854226,0.3076892829977629,n_ferti n'est pas 0.0 ; Jours_op_recolte ≤ 49.48 ; Jours_semis_F1 > 186 ; Jours_semis_F1 > 213.6
Région 6,17,486,0.0486,3.8583539094650203,3.8583426183844054,-0.2599075905349797,n_ferti est 0.0 ; Jour_Semis ≤ 271.9
Région 12,14,302,0.0302,4.3397185430463585,4.327866666666666,0.2214570430463585,n_ferti n'est pas 0.0 ; Jours_op_recolte > 49.48 ; Jours_av_PREPA > 15.58 ; Jours_semis_F1 ≤ 130.5
Région 1,12,3686,0.3686,4.30482908301682,4.3066501286291805,0.18656758301681986,n_ferti n'est pas 0.0 ; Jours_op_recolte > 49.48 ; Jours_av_PREPA ≤ 15.58 ; Jours_op_recolte > 71.19
Région 10,7,333,0.0333,4.279954954954954,4.281161417322837,0.16169345495495424,n_ferti n'est pas 0.0 ; Jours_op_recolte ≤ 49.48 ; Jours_semis_F1 > 186 ; Jours_semis_F1 ≤ 213.6
Région 5,11,604,0.0604,4.204519867549669,4.194506578947368,0.08625836754966887,n_ferti n'est pas 0.0 ; Jours_op_recolte > 49.48 ; Jours_av_PREPA ≤ 15.58 ; Jours_op_recolte ≤ 71.19
Région 9,5,350,0.035,4.099042857142856,4.1000396825396805,-0.01921864285714392,n_ferti n'est pas 0.0 ; Jours_op_recolte ≤ 49.48 ; Jours_semis_F1 ≤ 186 ; n_ferti est 3.0
