,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.0016674769257525313,0.0005219345894361682,0.0019954287138566063,0.0043724639981487234,0.009425514496908649,0.00018684032077231905,0.0006190310799474297,0.0010324662749245928,0.001648938276939682,0.0022842073149343944,0.0033333372840809172,0.000389228443742784,0.000810963692491451,0.023157950572428643,0.0030061638796291534,0.015358660253106504,0.0003133334972784674,0.0034798679071419425,0.0394328040964641,0.007474145413595479,0.0030810921866940566,0.0005354921775729826,0.0008123652040550322,0.001287209514247989,0.0009448825764191149
has_prepa,0.0016674769257525313,0.0,0.010336715250764295,0.01835308207689601,0.0001676743208093301,0.0015419316305909092,5.422612303340735e-05,0.000373391691867786,0.00025961464441959237,0.0001728052765409549,0.007103672516730275,0.0005016820071278572,0.00039016489594168036,0.000258159648629408,0.0008262277127298878,0.030208259839846208,0.0020870634549908784,0.0005884399644758842,0.00045757485014730204,0.001463222547535059,0.0002468485578831503,5.8319246370786004e-05,0.0004683116842417734,0.00024237166326734894,0.00018922912168839456,0.00042772423033121676
nb_prepa,0.0005219345894361682,0.010336715250764295,0.0,0.007572537324660011,9.893526256399277e-05,0.0005312343593155688,3.244152675385692e-06,0.00045715037876314923,2.4900074585665344e-05,0.0001295986286546924,0.006156009024192111,0.00021848879490882211,0.0003554811854881157,2.9861619275650675e-05,9.005165836983853e-05,0.00973553971961827,0.0009463155845523818,0.0003081807570558537,0.0004400965629104414,0.0005548512722595156,0.000196957562529243,9.733250012389227e-05,0.00030759648146938545,2.4007993127406202e-05,8.790688146187442e-06,0.00015065091951316223
prepa_1,0.0019954287138566063,0.01835308207689601,0.007572537324660011,0.0,0.00020751800064866543,0.002238421834805937,0.0005937105741459225,0.0017889715789181082,0.0003577333575617292,0.0007645152342615757,0.0058924321112114875,0.0004737097744416108,0.0009235309263940783,0.0005767448728888347,0.000986065125628599,0.018514753431988384,0.0016352541499444762,0.00096411336078428,0.0006352561064821849,0.0007535758222976252,0.0013707525998301051,0.00022564298672234084,0.0007337347607848654,0.00042974461956080123,0.00029442319165073894,0.0006281774376983851
prepa_2,0.0043724639981487234,0.0001676743208093301,9.893526256399277e-05,0.00020751800064866543,0.0,0.002673013909207711,0.0027640169720565266,0.0018070615202494533,0.001117384817524214,0.002383425623399771,3.4130071678739604e-05,0.0029636934494010614,0.0025589000580482635,0.0006769124680205962,0.00582828804186164,0.0003552793292670442,0.003701218079823154,0.00493467070391429,0.0007116335830379406,0.004374046533019982,0.002806861748190337,0.0027721225133617855,0.005110949770210427,0.0005900203956115124,0.0006376118488479188,0.0001958238297190551
nb_f1,0.009425514496908649,0.0015419316305909092,0.0005312343593155688,0.002238421834805937,0.002673013909207711,0.0,0.0038260466142981953,0.006242802292949601,0.0012862309698071783,0.0030041663021360687,0.0012947814047625794,0.0029622341917235895,0.003173886779018198,0.0024506364757808097,0.009325186466696112,0.0026009401699671475,0.006699287417495259,0.012498864371997986,0.0020627906277413954,0.008409472789739358,0.008346408165961217,0.002134644822128662,0.013402909209304648,0.0022023931554470133,0.0021483348129711644,0.0010605278749706848
type_f1_1,0.00018684032077231905,5.422612303340735e-05,3.244152675385692e-06,0.0005937105741459225,0.0027640169720565266,0.0038260466142981953,0.0,0.0001710454422495511,0.00029344283451437914,0.0010895354751553343,0.0001431765881435565,0.0018532008766500851,0.00019500691065543752,0.0004049257179402632,0.0032631583373435857,0.0008013384098181087,0.0064226688391626485,5.9545285865048037e-05,0.0006641075504278948,0.01029352289736718,0.0036289171665463416,0.0016201652447890291,0.0004591242614303548,5.422642813801559e-05,0.0006854102532555251,0.0005528777365383375
type_f1_2,0.0006190310799474297,0.000373391691867786,0.00045715037876314923,0.0017889715789181082,0.0018070615202494533,0.006242802292949601,0.0001710454422495511,0.0,0.0006460902473190977,0.00120738434239398,0.001826693120692613,0.0023639657741373332,0.0010089663151801043,0.0013880969286617084,0.007849473758540504,0.0013257146068766934,0.008717379791352342,0.0008417665398310348,0.002187606908725215,0.01627442021869785,0.006101637708914809,0.00211646355282058,0.0006510908188704922,0.0006977347092457231,0.0021248903984397716,0.001948823460858451
nb_f2,0.0010324662749245928,0.00025961464441959237,2.4900074585665344e-05,0.0003577333575617292,0.001117384817524214,0.0012862309698071783,0.00029344283451437914,0.0006460902473190977,0.0,0.0008002884547319011,0.00019212711327898369,0.000811975921663044,0.0004869065262724792,0.0008022327165355669,0.0027122406518490516,0.0008864049840151544,0.0048986137988336065,0.00030191379591182343,0.0003405587695564094,0.01009064065032983,0.0021879607492077957,0.0007076584174435796,0.0005243108944936736,0.0003109745157954258,0.00018136803615131925,0.00027762211736637177
type_f2_1,0.001648938276939682,0.0001728052765409549,0.0001295986286546924,0.0007645152342615757,0.002383425623399771,0.0030041663021360687,0.0010895354751553343,0.00120738434239398,0.0008002884547319011,0.0,0.0018672038675603408,0.0018395305047262944,0.001452934170105391,0.0007481531239926786,0.005050201037157365,0.0020209054024129536,0.0049297241974597394,0.0010423328643839325,0.001871513647869083,0.013047022003741193,0.0020493107285071144,0.002369939670361032,0.0012348919184321794,0.001254770245403769,0.001682879922953906,0.001491523914237125
