sortie,parametre,ST
N_lixi,Jour_Semis,0.7127635252117982
N_lixi,Jours_op_recolte,0.17121542047262284
N_lixi,n_ferti,0.10532726545513871
N_lixi,Jours_semis_F1,0.040711647800259314
N_lixi,has_prepa,0.039417709720347506
N_lixi,Jours_av_PREPA,0.010323433964600575
N_lixi,type_f1_2,0.0015492860970463323
N_lixi,Jours_F1_F2,8.480707508848891e-05
N_lixi,Jours_F2_F3,6.055673127245867e-05
N_lixi,nb_f1,5.412071271340172e-05
N_lixi,prepa_2,2.822369052676631e-05
N_lixi,prepa_1,1.8680531433011567e-05
N_lixi,nb_f2,1.5729738896994657e-05
N_lixi,nb_f3,1.0325781090363233e-05
N_lixi,nb_prepa,9.531113346841052e-06
N_lixi,type_f2_1,7.95933819298498e-06
N_lixi,type_f1_1,6.250435151232547e-06
N_lixi,type_f2_2,6.2180290739543185e-06
N_lixi,type_f3_1,4.978197196795568e-07
N_lixi,Dose_F1_1,4.972323753377401e-07
N_lixi,Dose_F1_2,3.275687892969106e-07
N_lixi,type_f3_2,3.2345953721405325e-07
N_lixi,Dose_F2_2,2.110318858574357e-07
N_lixi,Dose_F3_1,1.3301486001934536e-07
N_lixi,Dose_F2_1,1.1511571053892204e-07
N_lixi,Dose_F3_2,8.332603368251065e-10
