sortie,parametre,R2,p_anova,p_kruskal,n_groupes,n
N_lixi,Jour_Semis,0.35657072301257736,0.0,0.0,4,10000
N_lixi,Jours_op_recolte,0.07860828517348845,4.392920352583735e-177,3.675121975088623e-167,4,10000
N_lixi,Jours_av_PREPA,0.04486650224832582,3.8817135513459426e-99,2.4313583121189905e-105,4,10000
N_lixi,Jours_semis_F1,0.03562329201311197,2.779671370208101e-78,3.2286636890917217e-75,4,10000
N_lixi,n_ferti,0.03369271811065242,5.928233449862901e-74,2.2063085890560046e-74,4,10000
N_lixi,has_prepa,0.030674049944844965,1.0470151633295498e-69,1.0167478385997326e-75,2,10000
N_lixi,prepa_1,0.02018898703620461,6.107088877317203e-44,6.364444410967227e-48,4,10000
N_lixi,nb_prepa,0.008944744044022507,2.5986689328336848e-21,2.7897029994954914e-23,2,10000
N_lixi,nb_f1,0.00850677020353448,2.1278014596510624e-18,2.9258046533714967e-19,4,10000
N_lixi,Dose_F1_1,0.007902941311058842,4.303640604313855e-17,1.1340910583013326e-17,4,10000
N_lixi,type_f2_2,0.0063346206768561085,1.0368581610133075e-13,8.132119886634992e-15,4,10000
N_lixi,prepa_2,0.004490059092198663,1.979979747999604e-11,3.5750569256188524e-12,2,10000
N_lixi,Jours_F2_F3,0.004165121737981466,4.592258418099658e-09,1.095335217196954e-08,4,10000
N_lixi,Jours_F1_F2,0.0034198255701003454,1.758838051587969e-07,2.552117697271163e-07,4,10000
N_lixi,Dose_F1_2,0.0023233514150377763,3.5774824405446856e-05,1.715804828583255e-05,4,10000
N_lixi,nb_f3,0.002312447939418087,3.7701326311842575e-05,1.3071782485940405e-05,4,10000
N_lixi,type_f2_1,0.0019450924015987812,0.00021928121963207055,0.0007357484780277694,4,10000
N_lixi,Dose_F3_1,0.0012063297273121067,0.0071592802341026345,0.009451166417657142,4,10000
N_lixi,nb_f2,0.000865925854946703,0.0032512064606857838,0.00454875113347315,2,10000
N_lixi,type_f1_2,0.0008413032722917954,0.03819374002530933,0.033093076993943385,4,10000
