,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00028346671535739443,5.358697987922767e-05,0.0005529021733546857,0.07295634193797118,0.16426532603949473,0.08620029173203991,0.1570800267517093,0.0640937795121993,0.10151837923737284,0.000265660192921513,0.04708998969140277,0.06057195662666204,0.04790994823630168,0.0010444217957391588,0.0007760624082862044,0.12490374981882002,0.25569714448471503,0.05564591722730916,0.07857691122244759,0.11953144072169508,0.04623060964375725,0.2606741895632553,0.03273065668296293,0.053001651508071124,0.011377265950748394
has_prepa,0.00028346671535739443,0.0,0.00031494654382524523,0.0005644524752325131,3.4529867373178647e-05,0.00035840032926814924,7.324722893908842e-05,0.0005418427123572434,4.384164352100317e-05,3.808772600111254e-05,0.00021539530916114824,9.001029073452127e-05,0.00027722221178316797,4.611702980494847e-05,0.00031558779087381694,0.0009981009443704725,0.0008931830607780133,0.0001814604662941921,0.0003809960071758933,0.0004739622034258817,8.121668322358389e-05,0.00019788400973086429,0.0003785152428044114,0.0005907195008640898,0.0004197220274968494,0.00019300182834836033
nb_prepa,5.358697987922767e-05,0.00031494654382524523,0.0,0.0003053670349828508,5.349290150613584e-06,0.00014922800957140048,2.836655831894852e-06,0.00030771803657547725,1.4868975640847104e-05,3.9772874800836355e-05,0.00027450593445110805,0.00011857648679047816,0.0001346574264807776,3.726663730119206e-05,0.00022857504259743422,0.0004753192258887262,0.0004673512117284728,0.0002109686279162526,0.0001667882603538784,0.00014722116993837187,0.00014339617797387572,0.0001883085027685194,0.0002752085097373902,0.00038251176700454526,0.000316342263175895,0.00028344650552991624
prepa_1,0.0005529021733546857,0.0005644524752325131,0.0003053670349828508,0.0,0.00012922185660124708,0.001154409676785706,0.0011914659802575445,0.0007763416344124252,9.487364126248288e-05,0.0005056417692689275,0.0011452002524264815,0.000586203394218221,0.0011501318812918715,0.00039650304717808726,0.0002683784266274136,0.0013058836563315523,0.0019383625538252902,0.0007774692918693926,0.0016400478521025885,0.0008031977182700878,0.001351552004377754,0.0005254649023114233,0.0007583294804721641,0.0021337799722136452,0.001504263627046476,0.0009225558215066876
prepa_2,0.07295634193797118,3.4529867373178647e-05,5.349290150613584e-06,0.00012922185660124708,0.0,0.06199350751592225,0.019202865451641515,0.03903698080284701,0.01197927300493351,0.017419327193835765,0.00022708925752845666,0.050132137403182675,0.01357583482752489,0.009429884562557556,0.00014039436658419557,0.0002255231823633519,0.0584284735107542,0.04562258296606425,0.005954206898249437,0.01447489805307367,0.05365200317087515,0.04801434761097134,0.047140847093099736,0.005376598128470023,0.006041587954540684,0.001884040805889664
nb_f1,0.16426532603949473,0.00035840032926814924,0.00014922800957140048,0.001154409676785706,0.06199350751592225,0.0,0.040515300002016086,0.06158505057107122,0.022333538404710196,0.031075631957926175,0.000877169138911893,0.04360811184037283,0.03246666706185741,0.017741928197436252,0.0006340015587045222,0.0006268282962920146,0.10328699185386225,0.08090850308851327,0.007296888952254776,0.03162690821206715,0.09132869620573913,0.028629824457519715,0.08316339449013932,0.008076352435728573,0.007181053918918989,0.00215430690186047
type_f1_1,0.08620029173203991,7.324722893908842e-05,2.836655831894852e-06,0.0011914659802575445,0.019202865451641515,0.040515300002016086,0.0,0.06094607388867401,0.02065307646600978,0.024872801765550845,6.76364061008572e-05,0.014988838112184433,0.05785116786916178,0.017116155169237923,0.00068409077354048,0.0005533814592572073,0.03578060619848544,0.08432037575522644,0.005730086064262174,0.00806120134024968,0.03393057716423353,0.009183273412307735,0.08702677894515842,0.02826808466469577,0.00458997020592633,0.0015537127405402806
type_f1_2,0.1570800267517093,0.0005418427123572434,0.00030771803657547725,0.0007763416344124252,0.03903698080284701,0.06158505057107122,0.06094607388867401,0.0,0.02831834697008706,0.04491172630087226,0.000764785189822148,0.025209736841185548,0.045198300333303854,0.02278542462064337,0.0009224565019900766,0.0010154544287998002,0.0540169183681144,0.1523678285670993,0.013458152301298876,0.011988065718648633,0.05090406535775638,0.01903107411552618,0.15617689254677714,0.014389337513538214,0.012912693737629155,0.00371295420203277
nb_f2,0.0640937795121993,4.384164352100317e-05,1.4868975640847104e-05,9.487364126248288e-05,0.01197927300493351,0.022333538404710196,0.02065307646600978,0.02831834697008706,0.0,0.04515898751809111,2.9325593869145017e-05,0.008986335649671662,0.01582488822225414,0.04634311607318786,0.00022394883675058708,0.00021063907975193974,0.017946722332982445,0.03849274781118184,0.013042827045888106,0.003408383499500678,0.01586290874362284,0.0064909589920580935,0.03844151027148335,0.004275256049210419,0.012154080501179831,0.00907989569513623
type_f2_1,0.10151837923737284,3.808772600111254e-05,3.9772874800836355e-05,0.0005056417692689275,0.017419327193835765,0.031075631957926175,0.024872801765550845,0.04491172630087226,0.04515898751809111,0.0,0.0009873163224982662,0.01291401129374592,0.018828412653082327,0.034878621307914304,0.0006642186927575677,0.0006344348320367343,0.029591301949307147,0.061387256156841485,0.027693833346746688,0.0031880701898776564,0.02376488383071529,0.010000322816677065,0.06193996201023433,0.0051709036319362855,0.026147369595232006,0.005256018057500311
