sortie,parametre,ST
dCorg,n_ferti,0.6132085875946808
dCorg,Jours_op_recolte,0.3545006565787719
dCorg,Jours_semis_F1,0.13276123412148363
dCorg,has_prepa,0.001833004715678862
dCorg,Jours_F1_F2,0.0005848736903736508
dCorg,Jours_av_PREPA,0.00032778684709214214
dCorg,Jour_Semis,9.843292368463644e-05
dCorg,Jours_F2_F3,8.620768919082839e-05
dCorg,type_f1_2,6.475080307293723e-06
dCorg,prepa_2,3.2091982606858864e-06
dCorg,prepa_1,1.188224102082218e-06
dCorg,type_f1_1,7.852313209507495e-07
dCorg,nb_f2,6.577259526453901e-07
dCorg,nb_f1,1.8457007278691707e-07
dCorg,nb_prepa,1.3683703273481734e-07
dCorg,Dose_F1_1,1.0512923045887961e-07
dCorg,nb_f3,9.87059813589346e-08
dCorg,type_f2_1,8.232440951943636e-08
dCorg,Dose_F3_1,6.060304440814349e-08
dCorg,type_f3_1,4.5181537991771094e-08
dCorg,type_f3_2,4.50155199928784e-08
dCorg,Dose_F2_1,3.329298159566651e-08
dCorg,Dose_F1_2,2.519353243060435e-08
dCorg,type_f2_2,9.945782572440276e-09
dCorg,Dose_F3_2,1.854622906958234e-09
dCorg,Dose_F2_2,6.139872623864006e-32
