sortie,parametre,ST
rdt,n_ferti,0.7969467406313315
rdt,Jours_op_recolte,0.17881313682762337
rdt,Jours_semis_F1,0.11842579499162625
rdt,has_prepa,0.02279361916470678
rdt,Jour_Semis,0.020233338799623753
rdt,Jours_av_PREPA,0.005819268254466784
rdt,Jours_F1_F2,0.00025246511965003386
rdt,type_f1_2,4.2657448657716456e-05
rdt,Jours_F2_F3,3.1993851090511614e-05
rdt,prepa_2,1.8051180508585337e-05
rdt,prepa_1,6.989732746946647e-06
rdt,nb_prepa,3.642708188077485e-06
rdt,nb_f1,1.2169768874905433e-06
rdt,nb_f3,1.1488691908663383e-06
rdt,type_f2_2,1.0168844399850387e-06
rdt,type_f1_1,6.871022420795549e-07
rdt,type_f2_1,4.467538958247538e-07
rdt,Dose_F1_1,3.9304686004426725e-07
rdt,type_f3_1,3.402248512551103e-07
rdt,nb_f2,1.692904269960832e-07
rdt,type_f3_2,9.230677029419721e-08
rdt,Dose_F2_1,5.91939911982842e-08
rdt,Dose_F2_2,4.393142760105706e-08
rdt,Dose_F1_2,1.922539448306395e-08
rdt,Dose_F3_1,1.712339608558294e-08
rdt,Dose_F3_2,1.4608449137575716e-30
