ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
90001;01/01/2020;0.000;-6.400;5.100;0.720;7.470
90001;02/01/2020;0.000;-2.500;7.200;1.180;7.370
90001;03/01/2020;1.000;0.100;7.000;0.790;6.360
90001;04/01/2020;0.500;-1.700;3.200;0.580;5.950
90001;05/01/2020;0.000;-8.900;2.400;0.950;7.920
90001;06/01/2020;0.000;-5.400;3.300;0.950;7.960
90001;07/01/2020;0.000;-5.700;3.600;0.950;7.970
90001;08/01/2020;0.000;-7.300;4.500;1.200;7.960
90001;09/01/2020;0.000;-0.700;4.000;0.780;6.140
90001;10/01/2020;0.000;1.300;6.200;0.640;5.800
90001;11/01/2020;3.300;-6.600;3.200;0.560;6.320
90001;12/01/2020;0.000;-7.300;4.600;1.490;8.490
90001;13/01/2020;0.000;-1.200;5.100;1.120;6.480
90001;14/01/2020;0.800;-3.900;0.400;0.520;5.980
90001;15/01/2020;0.000;-4.600;4.600;0.800;7.240
90001;16/01/2020;15.700;1.400;3.800;0.420;3.900
90001;17/01/2020;4.100;-7.600;2.500;0.520;5.710
90001;18/01/2020;0.000;-15.500;-1.100;0.690;7.010
90001;19/01/2020;0.500;-6.600;-0.100;0.510;5.380
90001;20/01/2020;1.400;-3.300;0.300;0.540;5.800
90001;21/01/2020;3.100;-8.200;-0.900;0.450;5.430
90001;22/01/2020;0.700;-9.600;0.900;0.680;7.740
90001;23/01/2020;0.000;-11.400;1.900;0.800;8.870
90001;24/01/2020;0.000;-10.600;-3.200;0.620;8.650
90001;25/01/2020;0.000;-9.900;-4.900;0.570;8.490
90001;26/01/2020;0.200;-16.000;-1.500;0.720;8.180
90001;27/01/2020;0.000;-6.000;-1.700;0.590;7.240
90001;28/01/2020;0.200;-11.800;-2.000;0.720;9.090
90001;29/01/2020;17.000;-4.300;0.200;0.560;6.330
90001;30/01/2020;13.500;-7.500;-1.500;0.510;7.380
90001;31/01/2020;0.100;-14.000;-2.400;0.750;9.070
90001;01/02/2020;0.400;-15.000;-7.100;0.490;7.640
90001;02/02/2020;0.000;-16.100;-4.700;0.680;10.320
90001;03/02/2020;0.900;-18.200;-7.100;0.570;8.180
90001;04/02/2020;7.600;-8.300;-3.000;0.620;7.560
90001;05/02/2020;14.500;-5.700;-1.700;0.490;5.630
90001;06/02/2020;24.400;-4.500;1.100;0.500;5.040
90001;07/02/2020;2.100;-4.900;1.200;0.910;10.670
90001;08/02/2020;0.000;-10.100;-2.400;0.900;12.130
90001;09/02/2020;0.000;-15.400;3.700;1.300;12.210
90001;10/02/2020;0.000;-4.400;7.300;1.380;12.500
90001;11/02/2020;0.000;-1.600;6.700;1.460;12.710
90001;12/02/2020;0.000;-2.200;5.900;1.370;12.690
90001;13/02/2020;0.700;-2.400;3.000;0.990;9.300
90001;14/02/2020;6.800;-2.300;1.100;0.760;7.710
90001;15/02/2020;2.900;-7.100;-0.600;0.920;10.260
90001;16/02/2020;10.200;-3.400;1.400;0.760;7.880
90001;17/02/2020;0.800;-1.800;4.900;1.320;12.570
90001;18/02/2020;0.000;-7.600;3.100;1.200;12.830
90001;19/02/2020;0.000;-11.400;5.100;1.620;14.620
90001;20/02/2020;0.000;-6.700;3.000;1.520;14.880
90001;21/02/2020;8.700;-4.600;0.200;0.770;7.780
90001;22/02/2020;2.000;-5.200;-0.900;1.190;13.510
90001;23/02/2020;3.100;-6.900;2.300;0.920;8.090
90001;24/02/2020;0.300;-5.100;-1.300;0.770;8.540
90001;25/02/2020;0.000;-6.800;-1.700;1.290;15.420
90001;26/02/2020;0.000;-10.700;2.600;1.630;16.060
90001;27/02/2020;1.600;-4.700;0.900;0.910;9.340
90001;28/02/2020;0.300;-6.000;1.100;1.030;10.080
90001;29/02/2020;0.300;-6.000;1.100;1.030;10.080
90001;01/03/2020;1.900;-4.300;5.400;1.180;10.800
90001;02/03/2020;14.500;-1.500;5.100;1.010;9.930
90001;03/03/2020;0.100;-5.100;5.000;1.700;16.290
90001;04/03/2020;1.000;-4.500;3.100;1.240;12.100
90001;05/03/2020;0.000;-8.000;-1.900;1.460;17.790
90001;06/03/2020;0.000;-7.800;6.200;2.110;17.810
90001;07/03/2020;0.000;-1.700;9.300;2.250;16.500
90001;08/03/2020;0.000;-1.600;7.700;2.110;17.660
90001;09/03/2020;0.000;-2.800;9.000;2.180;17.630
