point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,climat,N_lixi,dCorg,rdt
0,smt_000,clim1_briançon_p00,0,1,97.90528455984206,-28.78151668950865,3.967244928195038,17.275791189559115,13.0,158.0,237.5,294.0,359.11633214460403,10.0,10.0,10.0,montagne,4.921,-254.792,3.5533333333333332
1,smt_000,clim1_briançon_p01,0,2,71.0832198028623,-15.183954548872851,2.698681239109038,18.67742230267877,1.0770270307082723,158.0,237.5,294.0,356.3446077590162,10.0,10.0,10.0,montagne,2.9549999999999996,-249.773,3.7199999999999998
2,smt_000,clim1_briançon_p02,2,1,88.98009803355998,-31.76654897047607,1.5970635967524498,10.389994973679524,13.0,146.69401858261173,232.63587093454564,294.0,352.04628677850894,14.768595235851832,1.4136101249438893,10.0,montagne,9.077,-230.64499999999998,4.29
3,smt_000,clim1_briançon_p03,3,2,62.77467707056616,-26.70120017502128,2.383231388779975,21.69867168238078,13.665872451251204,197.81094675217904,222.79608377072515,265.2013874421555,364.6212627153107,11.12716241772428,40.36929835691973,16.004428540511277,montagne,7.946000000000001,-133.23499999999999,7.22111111111111
4,smt_000,clim1_briançon_p04,2,2,86.8392801538796,-23.80084893719677,3.1089652167815043,20.065855577569582,10.01270765924042,147.48882877942924,255.56907246871612,294.0,337.55412106350377,4.425785316709826,1.415652142097684,10.0,montagne,6.356,-240.23600000000002,3.6155555555555554
5,smt_000,clim1_briançon_p05,3,1,59.792427632317825,-40.37228548059289,2.7130459812993504,6.347165807944288,13.0,133.93075049336449,245.45702920813375,314.62483282873427,337.8641775030289,49.93919494123324,76.84105540713166,8.384731722266764,montagne,27.214,24.282000000000004,8.43
6,smt_000,clim1_briançon_p06,3,1,48.8895267171771,-25.663055415591785,1.293903172555,17.467748446245327,13.0,142.04833867925154,259.1458551186262,293.27651201778446,374.803980328465,24.169602091414443,12.365199604673494,1.303991319407117,montagne,8.166,-193.47,5.908888888888889
7,smt_000,clim1_briançon_p07,2,0,72.34443455884701,-24.0,2.9133182124165,13.0,13.0,107.48835701376224,260.9459787000259,294.0,369.8361164155211,8.964426589774808,42.51803479770784,10.0,montagne,7.447,-216.92799999999997,6.696666666666666
8,smt_000,clim1_briançon_p08,0,2,60.91014520472053,-41.718893884543576,3.431834250538045,19.71716143361169,7.052939733389296,158.0,237.5,294.0,349.29225408169305,10.0,10.0,10.0,montagne,2.053,-243.21400000000003,3.7677777777777774
9,smt_000,clim1_briançon_p09,3,1,67.5327732156593,-35.0488840335735,3.5107889550591604,15.952238263385649,13.0,121.09450605755342,225.2162292498848,316.64570884655075,356.3577795588307,24.21725521311499,3.2535840681566266,5.521859270844131,montagne,12.872,-195.77400000000003,5.187777777777778
10,smt_000,clim1_briançon_p10,2,1,88.42040404571566,-35.23909514123195,3.640570763283166,5.588804251232037,13.0,115.64933907442064,258.14074131718183,294.0,379.1571356111469,3.7924965712764926,1.007307683784178,10.0,montagne,4.904999999999999,-273.92199999999997,4.203333333333333
11,smt_000,clim1_briançon_p11,0,0,65.87879714362704,-24.0,3.8706087191215097,13.0,13.0,158.0,237.5,294.0,351.2568874833508,10.0,10.0,10.0,montagne,3.804,-290.37600000000003,3.8177777777777777
12,smt_000,clim2_nancy_p00,0,2,47.20151889885082,-9.444469850753151,3.62893713478792,14.097738673156158,14.45924841633962,158.0,237.5,294.0,363.2038626341903,10.0,10.0,10.0,semi_continental,4.498,-430.125,5.051111111111111
13,smt_000,clim2_nancy_p01,1,2,81.22170546672066,-19.215635426937332,1.9746410302055155,21.79404560460644,1.4733596914854257,199.360033786055,237.5,294.0,330.5720359052929,53.604310635299896,10.0,10.0,semi_continental,9.839,-284.213,7.345555555555555
14,smt_000,clim2_nancy_p02,1,1,92.15176962470542,-31.341170148323656,2.7151243206873334,1.3096384241162653,13.0,166.95222920593977,237.5,294.0,368.1159268525416,30.411054474955954,10.0,10.0,semi_continental,11.288,-459.71500000000003,6.822222222222222
15,smt_000,clim2_nancy_p03,0,2,84.1453138280322,-8.739856491810485,3.8349956718886102,12.334655877658054,16.318185908614964,158.0,237.5,294.0,383.2870144077236,10.0,10.0,10.0,semi_continental,7.8340000000000005,-433.26300000000003,4.87
16,smt_000,clim2_nancy_p04,3,1,91.87058247646452,-15.112695724404738,1.6888345094601598,24.98362507067324,13.0,107.41785116393416,242.69014454286364,293.7293215305349,361.81276849405367,57.22311264101563,37.686276205839846,1.3450729830443076,semi_continental,19.596,-269.338,8.386666666666667
17,smt_000,clim2_nancy_p05,0,2,92.58339218369848,-26.409131145349377,1.9051235681613847,2.881336037463476,23.39173197348248,158.0,237.5,294.0,324.83890069130314,10.0,10.0,10.0,semi_continental,7.561,-413.39,4.6
18,smt_000,clim2_nancy_p06,3,0,79.82352751315449,-24.0,1.4671872459847553,13.0,13.0,134.73080062376542,219.66474511841605,278.203906040494,350.22809822580103,14.299236518885452,42.95001346412101,34.758123308014895,semi_continental,10.461,-356.25899999999996,8.75
19,smt_000,clim2_nancy_p07,2,0,53.590424729702875,-24.0,3.568697605045821,13.0,13.0,121.2307121369641,218.1794999718468,294.0,352.7258706136391,43.43084105900807,1.782485569320358,10.0,semi_continental,16.195,-410.302,7.0488888888888885
20,smt_000,clim2_nancy_p08,0,2,93.44571638975218,-19.94631017752073,3.730735957947496,20.643026695640135,12.506355335394336,158.0,237.5,294.0,382.4663040773916,10.0,10.0,10.0,semi_continental,7.426,-433.855,4.9366666666666665
21,smt_000,clim2_nancy_p09,3,1,103.38809447453242,-42.363975453198066,3.0281828465690004,4.564056750591356,13.0,167.2846539952036,263.57885954417895,296.1146122117163,372.1205197483247,9.100183797470534,4.17046367802595,4.7724834209046705,semi_continental,7.286,-436.532,6.262222222222222
22,smt_000,clim2_nancy_p10,1,2,72.61147674278955,-16.220162136038844,2.9096169127709133,22.15923737177996,7.31380627510407,174.92821410766376,237.5,294.0,338.2885349233235,6.026791941786135,10.0,10.0,semi_continental,5.485,-399.34299999999996,5.3311111111111105
23,smt_000,clim2_nancy_p11,0,0,83.95309447698818,-24.0,1.1469743964729084,13.0,13.0,158.0,237.5,294.0,372.8308223254345,10.0,10.0,10.0,semi_continental,8.494,-444.861,4.9255555555555555
24,smt_000,clim3_orléans_p00,2,0,59.07503991920195,-24.0,1.8132607076744556,13.0,13.0,207.93511718053696,234.1413454876129,294.0,350.03606829556355,1.511454078569511,93.34116564196675,10.0,oceanique_degrade,12.744,-463.04499999999996,8.737777777777778
25,smt_000,clim3_orléans_p01,0,2,80.33679253285985,-12.422839030587069,3.792708254457157,7.844086438664506,8.331674431967821,158.0,237.5,294.0,367.65561090312474,10.0,10.0,10.0,oceanique_degrade,3.186,-452.282,5.316666666666666
26,smt_000,clim3_orléans_p02,3,1,89.70480784905801,-29.17674176211713,2.3689340917905426,22.276056244004945,13.0,135.65572297295392,247.7948166539902,319.1270190023467,368.700800916526,31.127606821271705,2.4984626210143697,2.441886422727189,oceanique_degrade,6.636,-405.514,7.155555555555556
27,smt_000,clim3_orléans_p03,0,1,57.91654934450072,-8.078882569838399,2.9981492796160447,6.6668542587460395,13.0,158.0,237.5,294.0,354.4392442970615,10.0,10.0,10.0,oceanique_degrade,3.4560000000000004,-476.351,5.366666666666667
28,smt_000,clim3_orléans_p04,1,2,79.96442078770667,-31.630563599983837,1.093816167654503,22.898072853245587,20.218175612306567,129.40055229752747,237.5,294.0,380.1997990981045,67.03545582474155,10.0,10.0,oceanique_degrade,13.74,-353.624,8.018888888888888
29,smt_000,clim3_orléans_p05,3,2,86.02421788471553,-39.51041909285789,2.7534968630337477,21.508809495975775,15.912174633724243,187.62845775992673,225.91905017577903,285.3700216308428,323.57510641769784,6.53325849064554,80.23282717307272,31.38349622506085,oceanique_degrade,3.016,-123.68800000000002,8.94888888888889
30,smt_000,clim3_orléans_p06,0,0,71.20611746778211,-24.0,1.4185532775508862,13.0,13.0,158.0,237.5,294.0,326.159409724897,10.0,10.0,10.0,oceanique_degrade,3.0149999999999997,-498.02,5.536666666666666
31,smt_000,clim3_orléans_p07,0,2,100.7110638441681,-13.011618144001794,3.127664842014164,2.5522840110124143,16.850600055091853,158.0,237.5,294.0,351.1962517777272,10.0,10.0,10.0,oceanique_degrade,3.938,-455.70200000000006,5.311111111111111
32,smt_000,clim3_orléans_p08,3,1,85.4860674218785,-38.89669800002596,2.2469174924727406,24.16567151309567,13.0,139.68486925315278,252.9871314198791,279.5531601840616,357.270602691307,16.03582560839518,8.470116041925163,1.6217031121274437,oceanique_degrade,4.297,-404.11600000000004,6.7988888888888885
33,smt_000,clim3_orléans_p09,1,1,84.06385955783777,-13.552843829218672,1.3499699100925455,10.667807791829368,13.0,156.16999633590126,237.5,294.0,338.29117706791374,3.8054557992599065,10.0,10.0,oceanique_degrade,3.0460000000000003,-445.758,5.613333333333333
34,smt_000,clim3_orléans_p10,0,1,78.16658044837976,-14.624748674285485,3.763708219306293,13.905086523587237,13.0,158.0,237.5,294.0,343.6655655789166,10.0,10.0,10.0,oceanique_degrade,2.975,-452.262,5.342222222222222
35,smt_000,clim3_orléans_p11,2,0,52.996243667924176,-24.0,1.8520498996673311,13.0,13.0,128.51657896924667,244.81989984654763,294.0,345.2076900150483,14.752847621029552,1.5064327120765608,10.0,oceanique_degrade,5.029999999999999,-553.123,6.792222222222223
36,smt_000,clim4_poitiers_p00,3,0,93.78560024591796,-24.0,1.6505875450854732,13.0,13.0,202.3881198412187,255.3610731103753,270.5423795272046,341.61021694037504,22.238794369646204,46.23946539270734,1.4117799894452645,oceanique_altere,8.616,-485.78999999999996,8.55888888888889
37,smt_000,clim4_poitiers_p01,0,0,53.88744136871705,-24.0,3.72442852107614,13.0,13.0,158.0,237.5,294.0,382.96114495958585,10.0,10.0,10.0,oceanique_altere,4.367,-536.495,5.6466666666666665
38,smt_000,clim4_poitiers_p02,2,2,45.87817839339325,-34.34544534374622,3.4910703671372563,5.17560760397237,17.645083558008793,195.3009771092375,259.8165545533814,294.0,382.3865874226995,11.972597353431556,32.193546635969476,10.0,oceanique_altere,8.998999999999999,-421.08099999999996,7.411111111111111
39,smt_000,clim4_poitiers_p03,1,0,96.91686005086412,-24.0,1.6768979787405165,13.0,13.0,117.41610259021984,237.5,294.0,353.4915895642849,11.24053476625864,10.0,10.0,oceanique_altere,8.215,-575.304,6.38
40,smt_000,clim4_poitiers_p04,3,2,97.9679359719074,-20.76355292265191,3.6791635332514274,22.48452935060468,1.5598603131052815,179.96756867451134,211.49274796501095,287.112365505277,330.4558031657956,6.4767591982647,17.281228216408312,37.05557528278116,oceanique_altere,5.38,-320.381,7.912222222222222
41,smt_000,clim4_poitiers_p05,0,1,69.21741668206911,-41.978108940382576,1.0899489396709972,23.63746796802624,13.0,158.0,237.5,294.0,335.33717735898404,10.0,10.0,10.0,oceanique_altere,2.46,-466.46900000000005,5.5377777777777775
42,smt_000,clim4_poitiers_p06,3,1,51.36651409086999,-26.845995879782212,1.5898505704606405,23.191996422266293,13.0,196.52694532775683,234.42164120506573,322.2927930497751,335.16640586914195,76.73578622658393,2.760591291803895,52.43060963111554,oceanique_altere,13.336000000000002,-262.455,8.907777777777778
43,smt_000,clim4_poitiers_p07,3,2,73.71963268646795,-35.6356805939665,2.3457879737983314,20.87561035927518,17.176240085935323,155.49901708603585,254.19871528246105,295.6590377061675,328.3851975354833,2.4500322562991896,92.969348536785,1.4248900434365466,oceanique_altere,11.738,-278.074,8.482222222222223
44,smt_000,clim4_poitiers_p08,3,2,96.58157102224364,-23.987916939826334,1.7828434674353335,10.339137760017456,2.6773951192325276,141.15607564019328,246.75602215960825,285.1420110983283,341.69354033783435,1.8520971208728203,3.7701142235602423,2.658236191497173,oceanique_altere,3.136,-457.33000000000004,6.011111111111111
45,smt_000,clim4_poitiers_p09,1,2,57.844142667554046,-16.438649468409146,1.4866109926963147,5.398435128279912,12.231700397023523,176.20409041239458,237.5,294.0,383.3947337670007,28.2896422082911,10.0,10.0,oceanique_altere,4.406000000000001,-426.65599999999995,6.91
46,smt_000,clim4_poitiers_p10,1,1,90.03386287138557,-22.426889841228153,2.308332733446514,20.063857404025597,13.0,135.82815017915186,237.5,294.0,353.6382148334475,2.584199622044667,10.0,10.0,oceanique_altere,3.507,-473.427,5.648888888888889
47,smt_000,clim4_poitiers_p11,3,1,64.88312273323083,-35.04925321033232,2.0316400717243845,22.91142551221769,13.0,167.8384869780948,224.47645509599627,316.5856023433395,336.4201674252077,7.911049702408517,1.817248746964808,7.340828309280541,oceanique_altere,3.8239999999999994,-428.49399999999997,6.273333333333333
48,smt_000,clim5_brest_p00,3,2,69.87796418743194,-15.521103136272078,2.9466769696553397,1.9094592146171856,14.680769238693705,167.65195009533542,238.00069923371453,285.7979563917084,336.15639466877104,6.272816768912238,1.3928650669364164,23.696469037575724,oceanique_franc,11.181000000000001,-402.73,6.5633333333333335
49,smt_000,clim5_brest_p01,1,1,77.54415166351401,-24.531391212953277,2.0185290173556925,1.4653194007876564,13.0,186.3892185044784,237.5,294.0,366.1883508684157,22.1803704132318,10.0,10.0,oceanique_franc,10.147,-430.60200000000003,6.386666666666667
50,smt_000,clim5_brest_p02,0,1,93.39419851377804,-13.935357936300452,1.2511028720893678,13.118397412939633,13.0,158.0,237.5,294.0,337.27479451988205,10.0,10.0,10.0,oceanique_franc,10.184000000000001,-479.45500000000004,5.068888888888889
51,smt_000,clim5_brest_p03,2,2,98.30682067031069,-27.954180016360187,1.2872013994636646,18.334578408890337,16.068907093675904,116.435908140461,263.5353887693766,294.0,376.4786672148064,52.52325708895294,9.041397408790068,10.0,oceanique_franc,30.185000000000002,-454.105,7.391111111111111
52,smt_000,clim5_brest_p04,3,0,71.41825644227396,-24.0,2.4542389152162514,13.0,13.0,179.94917354219564,211.18405938484088,277.0578485148001,364.7570372115383,10.842568026391724,16.879023939944112,9.04455715344712,oceanique_franc,14.889,-475.5110000000001,7.044444444444444
53,smt_000,clim5_brest_p05,1,0,63.47469541211173,-24.0,3.0461472474547215,13.0,13.0,195.61166695673904,237.5,294.0,325.68333610697533,1.0667383086093023,10.0,10.0,oceanique_franc,9.422,-471.25699999999995,5.126666666666667
54,smt_000,clim5_brest_p06,1,2,94.5365151247905,-26.557865867152117,3.600585719764503,24.40320847011903,17.98195895409128,131.71813534099658,237.5,294.0,371.9275573723162,11.181982593895038,10.0,10.0,oceanique_franc,11.45,-482.279,5.88
55,smt_000,clim5_brest_p07,1,0,51.873724580067176,-24.0,1.6162823218693954,13.0,13.0,190.25245984862073,237.5,294.0,380.5467208117635,2.4771746066692018,10.0,10.0,oceanique_franc,14.588999999999999,-583.826,5.475555555555555
