Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;TEMPS
beauce_5_sa_000;BTH;ble;2019;PREPA;;05/09/2019;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2019;SEMIS;;03/10/2019;2.0;semis;;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;1;19/12/2019;;AN;4.1;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;2;12/04/2020;;AN;48.1;
beauce_5_sa_000;BTH;ble;2019;RECOLTE;;23/06/2020;;;;
beauce_5_sa_000;BTH;ble;2020;PREPA;;05/09/2020;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2020;SEMIS;;03/10/2020;2.0;semis;;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;1;19/12/2020;;AN;4.1;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;2;13/04/2021;;AN;48.1;
beauce_5_sa_000;BTH;ble;2020;RECOLTE;;24/06/2021;;;;
beauce_5_sa_000;BTH;ble;2021;PREPA;;05/09/2021;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2021;SEMIS;;03/10/2021;2.0;semis;;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;1;19/12/2021;;AN;4.1;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;2;13/04/2022;;AN;48.1;
beauce_5_sa_000;BTH;ble;2021;RECOLTE;;24/06/2022;;;;
beauce_5_sa_000;BTH;ble;2022;PREPA;;05/09/2022;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2022;SEMIS;;03/10/2022;2.0;semis;;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;1;19/12/2022;;AN;4.1;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;2;13/04/2023;;AN;48.1;
beauce_5_sa_000;BTH;ble;2022;RECOLTE;;24/06/2023;;;;
beauce_5_sa_000;BTH;ble;2023;PREPA;;05/09/2023;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2023;SEMIS;;03/10/2023;2.0;semis;;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;1;19/12/2023;;AN;4.1;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;2;12/04/2024;;AN;48.1;
beauce_5_sa_000;BTH;ble;2023;RECOLTE;;23/06/2024;;;;
beauce_5_sa_000;BTH;ble;2024;PREPA;;05/09/2024;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2024;SEMIS;;03/10/2024;2.0;semis;;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;1;19/12/2024;;AN;4.1;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;2;13/04/2025;;AN;48.1;
beauce_5_sa_000;BTH;ble;2024;RECOLTE;;24/06/2025;;;;
beauce_5_sa_000;BTH;ble;2025;PREPA;;05/09/2025;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2025;SEMIS;;03/10/2025;2.0;semis;;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;1;19/12/2025;;AN;4.1;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;2;13/04/2026;;AN;48.1;
beauce_5_sa_000;BTH;ble;2025;RECOLTE;;24/06/2026;;;;
beauce_5_sa_000;BTH;ble;2026;PREPA;;05/09/2026;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2026;SEMIS;;03/10/2026;2.0;semis;;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;1;19/12/2026;;AN;4.1;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;2;13/04/2027;;AN;48.1;
beauce_5_sa_000;BTH;ble;2026;RECOLTE;;24/06/2027;;;;
beauce_5_sa_000;BTH;ble;2027;PREPA;;05/09/2027;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2027;SEMIS;;03/10/2027;2.0;semis;;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;1;19/12/2027;;AN;4.1;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;2;12/04/2028;;AN;48.1;
beauce_5_sa_000;BTH;ble;2027;RECOLTE;;23/06/2028;;;;
beauce_5_sa_000;BTH;ble;2028;PREPA;;05/09/2028;21.8;travail_sol_1;;
beauce_5_sa_000;BTH;ble;2028;SEMIS;;03/10/2028;2.0;semis;;
