Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;TEMPS
beauce_5_sa_000;BTH;ble;2019;SEMIS;;09/10/2019;1.8;semis;;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;1;10/12/2019;;AN;56.1;
beauce_5_sa_000;BTH;ble;2019;RECOLTE;;13/07/2020;;;;
beauce_5_sa_000;BTH;ble;2020;SEMIS;;09/10/2020;1.8;semis;;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;1;10/12/2020;;AN;56.1;
beauce_5_sa_000;BTH;ble;2020;RECOLTE;;14/07/2021;;;;
beauce_5_sa_000;BTH;ble;2021;SEMIS;;09/10/2021;1.8;semis;;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;1;10/12/2021;;AN;56.1;
beauce_5_sa_000;BTH;ble;2021;RECOLTE;;14/07/2022;;;;
beauce_5_sa_000;BTH;ble;2022;SEMIS;;09/10/2022;1.8;semis;;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;1;10/12/2022;;AN;56.1;
beauce_5_sa_000;BTH;ble;2022;RECOLTE;;14/07/2023;;;;
beauce_5_sa_000;BTH;ble;2023;SEMIS;;09/10/2023;1.8;semis;;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;1;10/12/2023;;AN;56.1;
beauce_5_sa_000;BTH;ble;2023;RECOLTE;;13/07/2024;;;;
beauce_5_sa_000;BTH;ble;2024;SEMIS;;09/10/2024;1.8;semis;;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;1;10/12/2024;;AN;56.1;
beauce_5_sa_000;BTH;ble;2024;RECOLTE;;14/07/2025;;;;
beauce_5_sa_000;BTH;ble;2025;SEMIS;;09/10/2025;1.8;semis;;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;1;10/12/2025;;AN;56.1;
beauce_5_sa_000;BTH;ble;2025;RECOLTE;;14/07/2026;;;;
beauce_5_sa_000;BTH;ble;2026;SEMIS;;09/10/2026;1.8;semis;;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;1;10/12/2026;;AN;56.1;
beauce_5_sa_000;BTH;ble;2026;RECOLTE;;14/07/2027;;;;
beauce_5_sa_000;BTH;ble;2027;SEMIS;;09/10/2027;1.8;semis;;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;1;10/12/2027;;AN;56.1;
beauce_5_sa_000;BTH;ble;2027;RECOLTE;;13/07/2028;;;;
beauce_5_sa_000;BTH;ble;2028;SEMIS;;09/10/2028;1.8;semis;;
beauce_5_sa_000;BTH;ble;2028;FERTI_Min;1;10/12/2028;;AN;56.1;
beauce_5_sa_000;BTH;ble;2028;RECOLTE;;14/07/2029;;;;
beauce_5_sa_001;BTH;ble;2019;PREPA;;27/08/2019;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2019;PREPA;2;03/09/2019;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2019;SEMIS;;28/09/2019;3.9;semis;;
beauce_5_sa_001;BTH;ble;2019;FERTI_Min;1;14/02/2020;;AN;36.8;
beauce_5_sa_001;BTH;ble;2019;RECOLTE;;10/07/2020;;;;
beauce_5_sa_001;BTH;ble;2020;PREPA;;27/08/2020;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2020;PREPA;2;03/09/2020;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2020;SEMIS;;28/09/2020;3.9;semis;;
beauce_5_sa_001;BTH;ble;2020;FERTI_Min;1;14/02/2021;;AN;36.8;
beauce_5_sa_001;BTH;ble;2020;RECOLTE;;11/07/2021;;;;
beauce_5_sa_001;BTH;ble;2021;PREPA;;27/08/2021;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2021;PREPA;2;03/09/2021;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2021;SEMIS;;28/09/2021;3.9;semis;;
beauce_5_sa_001;BTH;ble;2021;FERTI_Min;1;14/02/2022;;AN;36.8;
beauce_5_sa_001;BTH;ble;2021;RECOLTE;;11/07/2022;;;;
beauce_5_sa_001;BTH;ble;2022;PREPA;;27/08/2022;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2022;PREPA;2;03/09/2022;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2022;SEMIS;;28/09/2022;3.9;semis;;
beauce_5_sa_001;BTH;ble;2022;FERTI_Min;1;14/02/2023;;AN;36.8;
beauce_5_sa_001;BTH;ble;2022;RECOLTE;;11/07/2023;;;;
beauce_5_sa_001;BTH;ble;2023;PREPA;;27/08/2023;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2023;PREPA;2;03/09/2023;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2023;SEMIS;;28/09/2023;3.9;semis;;
beauce_5_sa_001;BTH;ble;2023;FERTI_Min;1;14/02/2024;;AN;36.8;
beauce_5_sa_001;BTH;ble;2023;RECOLTE;;10/07/2024;;;;
beauce_5_sa_001;BTH;ble;2024;PREPA;;27/08/2024;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2024;PREPA;2;03/09/2024;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2024;SEMIS;;28/09/2024;3.9;semis;;
beauce_5_sa_001;BTH;ble;2024;FERTI_Min;1;14/02/2025;;AN;36.8;
beauce_5_sa_001;BTH;ble;2024;RECOLTE;;11/07/2025;;;;
beauce_5_sa_001;BTH;ble;2025;PREPA;;27/08/2025;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2025;PREPA;2;03/09/2025;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2025;SEMIS;;28/09/2025;3.9;semis;;
beauce_5_sa_001;BTH;ble;2025;FERTI_Min;1;14/02/2026;;AN;36.8;
beauce_5_sa_001;BTH;ble;2025;RECOLTE;;11/07/2026;;;;
beauce_5_sa_001;BTH;ble;2026;PREPA;;27/08/2026;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2026;PREPA;2;03/09/2026;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2026;SEMIS;;28/09/2026;3.9;semis;;
beauce_5_sa_001;BTH;ble;2026;FERTI_Min;1;14/02/2027;;AN;36.8;
beauce_5_sa_001;BTH;ble;2026;RECOLTE;;11/07/2027;;;;
beauce_5_sa_001;BTH;ble;2027;PREPA;;27/08/2027;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2027;PREPA;2;03/09/2027;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2027;SEMIS;;28/09/2027;3.9;semis;;
beauce_5_sa_001;BTH;ble;2027;FERTI_Min;1;14/02/2028;;AN;36.8;
beauce_5_sa_001;BTH;ble;2027;RECOLTE;;10/07/2028;;;;
beauce_5_sa_001;BTH;ble;2028;PREPA;;27/08/2028;7.2;travail_sol_1;;
beauce_5_sa_001;BTH;ble;2028;PREPA;2;03/09/2028;19.2;une_reprise;;
beauce_5_sa_001;BTH;ble;2028;SEMIS;;28/09/2028;3.9;semis;;
beauce_5_sa_001;BTH;ble;2028;FERTI_Min;1;14/02/2029;;AN;36.8;
beauce_5_sa_001;BTH;ble;2028;RECOLTE;;11/07/2029;;;;
beauce_5_sa_002;BTH;ble;2019;PREPA;;23/09/2019;14.1;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2019;SEMIS;;27/10/2019;3.8;semis;;
beauce_5_sa_002;BTH;ble;2019;FERTI_Min;1;10/12/2019;;AN;39.5;
beauce_5_sa_002;BTH;ble;2019;RECOLTE;;25/06/2020;;;;
beauce_5_sa_002;BTH;ble;2020;PREPA;;23/09/2020;14.1;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2020;SEMIS;;27/10/2020;3.8;semis;;
