parcelle,ilot,climat_code,climat,site,id_pdg
clim1_briançon_p00,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p01,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p02,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p03,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p04,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p05,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p06,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p07,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p08,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p09,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p10,clim1_briançon,1,Climat de montagne,Briançon,90001
clim1_briançon_p11,clim1_briançon,1,Climat de montagne,Briançon,90001
clim2_nancy_p00,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p01,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p02,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p03,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p04,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p05,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p06,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p07,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p08,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p09,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p10,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim2_nancy_p11,clim2_nancy,2,Climat semi-continental et marges montagnardes,Nancy,90002
clim3_orléans_p00,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p01,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p02,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p03,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p04,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p05,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p06,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p07,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p08,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p09,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p10,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim3_orléans_p11,clim3_orléans,3,Climat océanique dégradé des plaines du Centre et du Nord,Orléans,90003
clim4_poitiers_p00,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p01,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p02,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p03,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p04,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p05,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p06,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p07,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p08,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p09,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p10,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim4_poitiers_p11,clim4_poitiers,4,Climat océanique altéré,Poitiers,90004
clim5_brest_p00,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p01,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p02,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p03,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p04,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p05,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p06,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p07,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p08,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p09,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p10,clim5_brest,5,Climat océanique franc,Brest,90005
clim5_brest_p11,clim5_brest,5,Climat océanique franc,Brest,90005
clim6_valence_p00,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p01,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p02,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p03,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p04,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p05,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p06,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p07,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p08,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p09,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p10,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim6_valence_p11,clim6_valence,6,Climat méditerranéen altéré,Valence,90006
clim7_toulouse_p00,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p01,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p02,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p03,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p04,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p05,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p06,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p07,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p08,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p09,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p10,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim7_toulouse_p11,clim7_toulouse,7,Climat du Bassin du Sud-Ouest,Toulouse,90007
clim8_montpellier_p00,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p01,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p02,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p03,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p04,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p05,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p06,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p07,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p08,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p09,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p10,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
clim8_montpellier_p11,clim8_montpellier,8,Climat méditerranéen franc,Montpellier,90008
