Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;temps
beauce_23_1;maisT;maisT;2020;PREPA;;15/01/2020;25.0;travail_sol_1;;0.81
beauce_23_1;maisT;maisT;2020;SEMIS;;10/04/2020;4.0;semis;;0.49
beauce_23_1;maisT;maisT;2020;PHYTO;;04/05/2020;;;;0.06
beauce_23_1;maisT;maisT;2020;PHYTO;;09/06/2020;;;;0.06
beauce_23_1;maisT;maisT;2020;IRRIGATION;;25/06/2020;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;IRRIGATION;;16/07/2020;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;RECOLTE;;20/11/2020;;recolte;;0.42
beauce_23_1;BTH;ble;2021;FERTI_Min;;02/03/2021;;mineral;52.0;0.13
beauce_23_1;BTH;ble;2021;PHYTO;;12/04/2021;;;;0.06
beauce_23_1;BTH;ble;2021;PHYTO;;26/05/2021;;;;0.06
beauce_23_1;BTH;ble;2021;FERTI_Min;;16/10/2021;;PK;0.0;0.13
beauce_23_1;BTH;ble;2021;PREPA;;30/10/2021;25.0;une_reprise;;0.89
beauce_23_1;BTH;ble;2021;SEMIS;;01/11/2021;3.0;semis;;0.89
beauce_23_1;BTH;ble;2021;PHYTO;;02/04/2022;;;;0.06
beauce_23_1;BTH;ble;2021;FERTI_Min;;08/04/2022;;AN;100.5;0.13
beauce_23_1;BTH;ble;2021;RECOLTE;;09/07/2022;;recolte;;0.68
beauce_23_1;ciVesce;ciVesce;2022;PREPA;;16/07/2022;8.0;travail_sol_1;;0.36
beauce_23_1;ciVesce;ciVesce;2022;SEMIS;;19/07/2022;;semis;;0.63
beauce_23_1;ciVesce;ciVesce;2022;RECOLTE;;04/09/2022;;recolte;;0.59
beauce_23_1;maisT;maisT;2020;PREPA;;15/01/2023;25.0;travail_sol_1;;0.81
beauce_23_1;maisT;maisT;2020;SEMIS;;11/04/2023;4.0;semis;;0.49
beauce_23_1;maisT;maisT;2020;PHYTO;;05/05/2023;;;;0.06
beauce_23_1;maisT;maisT;2020;PHYTO;;10/06/2023;;;;0.06
beauce_23_1;maisT;maisT;2020;IRRIGATION;;16/06/2023;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;IRRIGATION;;29/07/2023;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;RECOLTE;;10/10/2023;;recolte;;0.42
beauce_23_1;BTH;ble;2021;PREPA;;19/10/2023;25.0;une_reprise;;0.89
beauce_23_1;BTH;ble;2021;SEMIS;;21/10/2023;3.0;semis;;0.89
beauce_23_1;BTH;ble;2021;FERTI_Min;;01/03/2024;;mineral;52.0;0.13
beauce_23_1;BTH;ble;2021;PHYTO;;01/04/2024;;;;0.06
beauce_23_1;BTH;ble;2021;FERTI_Min;;09/04/2024;;AN;100.5;0.13
beauce_23_1;BTH;ble;2021;PHYTO;;11/04/2024;;;;0.06
beauce_23_1;BTH;ble;2021;PHYTO;;25/05/2024;;;;0.06
beauce_23_1;ciVesce;ciVesce;2022;PREPA;;15/07/2024;8.0;travail_sol_1;;0.36
beauce_23_1;BTH;ble;2021;RECOLTE;;15/07/2024;;recolte;;0.68
beauce_23_1;ciVesce;ciVesce;2022;SEMIS;;18/07/2024;;semis;;0.63
beauce_23_1;ciVesce;ciVesce;2022;RECOLTE;;03/09/2024;;recolte;;0.59
beauce_23_1;maisT;maisT;2020;PREPA;;15/01/2025;25.0;travail_sol_1;;0.81
beauce_23_1;maisT;maisT;2020;SEMIS;;11/04/2025;4.0;semis;;0.49
beauce_23_1;maisT;maisT;2020;PHYTO;;05/05/2025;;;;0.06
beauce_23_1;maisT;maisT;2020;PHYTO;;10/06/2025;;;;0.06
beauce_23_1;maisT;maisT;2020;IRRIGATION;;03/07/2025;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;IRRIGATION;;19/07/2025;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;IRRIGATION;;09/08/2025;;irrigation;45.0;0.36
beauce_23_1;BTH;ble;2021;PREPA;;31/10/2025;25.0;une_reprise;;0.89
beauce_23_1;maisT;maisT;2020;RECOLTE;;31/10/2025;;recolte;;0.42
beauce_23_1;BTH;ble;2021;SEMIS;;01/11/2025;3.0;semis;;0.89
beauce_23_1;BTH;ble;2021;FERTI_Min;;22/02/2026;;mineral;52.0;0.13
beauce_23_1;BTH;ble;2021;PHYTO;;02/04/2026;;;;0.06
beauce_23_1;BTH;ble;2021;PHYTO;;12/04/2026;;;;0.06
beauce_23_1;BTH;ble;2021;PHYTO;;26/05/2026;;;;0.06
beauce_23_1;BTH;ble;2021;RECOLTE;;11/07/2026;;recolte;;0.68
beauce_23_1;ciVesce;ciVesce;2022;PREPA;;16/07/2026;8.0;travail_sol_1;;0.36
beauce_23_1;ciVesce;ciVesce;2022;SEMIS;;19/07/2026;;semis;;0.63
beauce_23_1;ciVesce;ciVesce;2022;RECOLTE;;04/09/2026;;recolte;;0.59
beauce_23_1;maisT;maisT;2020;PREPA;;15/01/2027;25.0;travail_sol_1;;0.81
beauce_23_1;maisT;maisT;2020;SEMIS;;12/04/2027;4.0;semis;;0.49
beauce_23_1;maisT;maisT;2020;PHYTO;;05/05/2027;;;;0.06
beauce_23_1;maisT;maisT;2020;PHYTO;;10/06/2027;;;;0.06
beauce_23_1;maisT;maisT;2020;IRRIGATION;;17/06/2027;;irrigation;45.0;0.36
beauce_23_1;maisT;maisT;2020;IRRIGATION;;19/07/2027;;irrigation;45.0;0.36
beauce_23_1;BTH;ble;2021;PREPA;;31/10/2027;25.0;une_reprise;;0.89
beauce_23_1;maisT;maisT;2020;RECOLTE;;31/10/2027;;recolte;;0.42
beauce_23_1;BTH;ble;2021;SEMIS;;01/11/2027;3.0;semis;;0.89
beauce_23_1;BTH;ble;2021;FERTI_Min;;01/03/2028;;mineral;52.0;0.13
beauce_23_1;BTH;ble;2021;PHYTO;;01/04/2028;;;;0.06
beauce_23_1;BTH;ble;2021;PHYTO;;11/04/2028;;;;0.06
beauce_23_1;BTH;ble;2021;PHYTO;;25/05/2028;;;;0.06
beauce_23_1;BTH;ble;2021;RECOLTE;;08/07/2028;;recolte;;0.68
beauce_23_1;ciVesce;ciVesce;2022;PREPA;;15/07/2028;8.0;travail_sol_1;;0.36
beauce_23_1;ciVesce;ciVesce;2022;SEMIS;;18/07/2028;;semis;;0.63
beauce_23_1;ciVesce;ciVesce;2022;RECOLTE;;03/09/2028;;recolte;;0.59
