Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;TEMPS
clim1_briançon_p00;BTH;ble;2019;PREPA;;30/08/2019;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2019;SEMIS;;19/09/2019;3.0;semis;;
clim1_briançon_p00;BTH;ble;2019;FERTI_Min;1;07/01/2020;;AN;30.0;
clim1_briançon_p00;BTH;ble;2019;RECOLTE;;05/07/2020;;;;
clim1_briançon_p00;BTH;ble;2020;PREPA;;30/08/2020;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2020;SEMIS;;19/09/2020;3.0;semis;;
clim1_briançon_p00;BTH;ble;2020;FERTI_Min;1;07/01/2021;;AN;30.0;
clim1_briançon_p00;BTH;ble;2020;RECOLTE;;06/07/2021;;;;
clim1_briançon_p00;BTH;ble;2021;PREPA;;30/08/2021;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2021;SEMIS;;19/09/2021;3.0;semis;;
clim1_briançon_p00;BTH;ble;2021;FERTI_Min;1;07/01/2022;;AN;30.0;
clim1_briançon_p00;BTH;ble;2021;RECOLTE;;06/07/2022;;;;
clim1_briançon_p00;BTH;ble;2022;PREPA;;30/08/2022;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2022;SEMIS;;19/09/2022;3.0;semis;;
clim1_briançon_p00;BTH;ble;2022;FERTI_Min;1;07/01/2023;;AN;30.0;
clim1_briançon_p00;BTH;ble;2022;RECOLTE;;06/07/2023;;;;
clim1_briançon_p00;BTH;ble;2023;PREPA;;30/08/2023;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2023;SEMIS;;19/09/2023;3.0;semis;;
clim1_briançon_p00;BTH;ble;2023;FERTI_Min;1;07/01/2024;;AN;30.0;
clim1_briançon_p00;BTH;ble;2023;RECOLTE;;05/07/2024;;;;
clim1_briançon_p00;BTH;ble;2024;PREPA;;30/08/2024;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2024;SEMIS;;19/09/2024;3.0;semis;;
clim1_briançon_p00;BTH;ble;2024;FERTI_Min;1;07/01/2025;;AN;30.0;
clim1_briançon_p00;BTH;ble;2024;RECOLTE;;06/07/2025;;;;
clim1_briançon_p00;BTH;ble;2025;PREPA;;30/08/2025;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2025;SEMIS;;19/09/2025;3.0;semis;;
clim1_briançon_p00;BTH;ble;2025;FERTI_Min;1;07/01/2026;;AN;30.0;
clim1_briançon_p00;BTH;ble;2025;RECOLTE;;06/07/2026;;;;
clim1_briançon_p00;BTH;ble;2026;PREPA;;30/08/2026;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2026;SEMIS;;19/09/2026;3.0;semis;;
clim1_briançon_p00;BTH;ble;2026;FERTI_Min;1;07/01/2027;;AN;30.0;
clim1_briançon_p00;BTH;ble;2026;RECOLTE;;06/07/2027;;;;
clim1_briançon_p00;BTH;ble;2027;PREPA;;30/08/2027;15.0;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2027;SEMIS;;19/09/2027;3.0;semis;;
