Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;TEMPS
clim1_briançon_p00;BTH;ble;2019;PREPA;;12/09/2019;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2019;SEMIS;;20/10/2019;1.6;semis;;
clim1_briançon_p00;BTH;ble;2019;FERTI_Min;1;19/12/2019;;AN;11.6;
clim1_briançon_p00;BTH;ble;2019;FERTI_Min;2;05/04/2020;;AN;16.9;
clim1_briançon_p00;BTH;ble;2019;RECOLTE;;22/07/2020;;;;
clim1_briançon_p00;BTH;ble;2020;PREPA;;12/09/2020;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2020;SEMIS;;20/10/2020;1.6;semis;;
clim1_briançon_p00;BTH;ble;2020;FERTI_Min;1;19/12/2020;;AN;11.6;
clim1_briançon_p00;BTH;ble;2020;FERTI_Min;2;06/04/2021;;AN;16.9;
clim1_briançon_p00;BTH;ble;2020;RECOLTE;;23/07/2021;;;;
clim1_briançon_p00;BTH;ble;2021;PREPA;;12/09/2021;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2021;SEMIS;;20/10/2021;1.6;semis;;
clim1_briançon_p00;BTH;ble;2021;FERTI_Min;1;19/12/2021;;AN;11.6;
clim1_briançon_p00;BTH;ble;2021;FERTI_Min;2;06/04/2022;;AN;16.9;
clim1_briançon_p00;BTH;ble;2021;RECOLTE;;23/07/2022;;;;
clim1_briançon_p00;BTH;ble;2022;PREPA;;12/09/2022;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2022;SEMIS;;20/10/2022;1.6;semis;;
clim1_briançon_p00;BTH;ble;2022;FERTI_Min;1;19/12/2022;;AN;11.6;
clim1_briançon_p00;BTH;ble;2022;FERTI_Min;2;06/04/2023;;AN;16.9;
clim1_briançon_p00;BTH;ble;2022;RECOLTE;;23/07/2023;;;;
clim1_briançon_p00;BTH;ble;2023;PREPA;;12/09/2023;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2023;SEMIS;;20/10/2023;1.6;semis;;
clim1_briançon_p00;BTH;ble;2023;FERTI_Min;1;19/12/2023;;AN;11.6;
clim1_briançon_p00;BTH;ble;2023;FERTI_Min;2;05/04/2024;;AN;16.9;
clim1_briançon_p00;BTH;ble;2023;RECOLTE;;22/07/2024;;;;
clim1_briançon_p00;BTH;ble;2024;PREPA;;12/09/2024;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2024;SEMIS;;20/10/2024;1.6;semis;;
clim1_briançon_p00;BTH;ble;2024;FERTI_Min;1;19/12/2024;;AN;11.6;
clim1_briançon_p00;BTH;ble;2024;FERTI_Min;2;06/04/2025;;AN;16.9;
clim1_briançon_p00;BTH;ble;2024;RECOLTE;;23/07/2025;;;;
clim1_briançon_p00;BTH;ble;2025;PREPA;;12/09/2025;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2025;SEMIS;;20/10/2025;1.6;semis;;
clim1_briançon_p00;BTH;ble;2025;FERTI_Min;1;19/12/2025;;AN;11.6;
clim1_briançon_p00;BTH;ble;2025;FERTI_Min;2;06/04/2026;;AN;16.9;
clim1_briançon_p00;BTH;ble;2025;RECOLTE;;23/07/2026;;;;
clim1_briançon_p00;BTH;ble;2026;PREPA;;12/09/2026;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2026;SEMIS;;20/10/2026;1.6;semis;;
clim1_briançon_p00;BTH;ble;2026;FERTI_Min;1;19/12/2026;;AN;11.6;
clim1_briançon_p00;BTH;ble;2026;FERTI_Min;2;06/04/2027;;AN;16.9;
clim1_briançon_p00;BTH;ble;2026;RECOLTE;;23/07/2027;;;;
clim1_briançon_p00;BTH;ble;2027;PREPA;;12/09/2027;12.9;travail_sol_1;;
clim1_briançon_p00;BTH;ble;2027;SEMIS;;20/10/2027;1.6;semis;;
clim1_briançon_p00;BTH;ble;2027;FERTI_Min;1;19/12/2027;;AN;11.6;
clim1_briançon_p00;BTH;ble;2027;FERTI_Min;2;05/04/2028;;AN;16.9;
clim1_briançon_p00;BTH;ble;2027;RECOLTE;;22/07/2028;;;;
