ID_PARCELL,CRIT_SPAT_ADHOC
clim1_briançon_p00,une_valeur
clim1_briançon_p01,une_valeur
clim1_briançon_p02,une_valeur
clim1_briançon_p03,une_valeur
clim1_briançon_p04,une_valeur
clim1_briançon_p05,une_valeur
clim1_briançon_p06,une_valeur
clim1_briançon_p07,une_valeur
clim1_briançon_p08,une_valeur
clim1_briançon_p09,une_valeur
clim1_briançon_p10,une_valeur
clim1_briançon_p11,une_valeur
clim2_nancy_p00,une_valeur
clim2_nancy_p01,une_valeur
clim2_nancy_p02,une_valeur
clim2_nancy_p03,une_valeur
clim2_nancy_p04,une_valeur
clim2_nancy_p05,une_valeur
clim2_nancy_p06,une_valeur
clim2_nancy_p07,une_valeur
clim2_nancy_p08,une_valeur
clim2_nancy_p09,une_valeur
clim2_nancy_p10,une_valeur
clim2_nancy_p11,une_valeur
clim3_orléans_p00,une_valeur
clim3_orléans_p01,une_valeur
clim3_orléans_p02,une_valeur
clim3_orléans_p03,une_valeur
clim3_orléans_p04,une_valeur
clim3_orléans_p05,une_valeur
clim3_orléans_p06,une_valeur
clim3_orléans_p07,une_valeur
clim3_orléans_p08,une_valeur
clim3_orléans_p09,une_valeur
clim3_orléans_p10,une_valeur
clim3_orléans_p11,une_valeur
clim4_poitiers_p00,une_valeur
clim4_poitiers_p01,une_valeur
clim4_poitiers_p02,une_valeur
clim4_poitiers_p03,une_valeur
clim4_poitiers_p04,une_valeur
clim4_poitiers_p05,une_valeur
clim4_poitiers_p06,une_valeur
clim4_poitiers_p07,une_valeur
clim4_poitiers_p08,une_valeur
clim4_poitiers_p09,une_valeur
clim4_poitiers_p10,une_valeur
clim4_poitiers_p11,une_valeur
clim5_brest_p00,une_valeur
clim5_brest_p01,une_valeur
clim5_brest_p02,une_valeur
clim5_brest_p03,une_valeur
clim5_brest_p04,une_valeur
clim5_brest_p05,une_valeur
clim5_brest_p06,une_valeur
clim5_brest_p07,une_valeur
clim5_brest_p08,une_valeur
clim5_brest_p09,une_valeur
clim5_brest_p10,une_valeur
clim5_brest_p11,une_valeur
clim6_valence_p00,une_valeur
clim6_valence_p01,une_valeur
clim6_valence_p02,une_valeur
clim6_valence_p03,une_valeur
clim6_valence_p04,une_valeur
clim6_valence_p05,une_valeur
clim6_valence_p06,une_valeur
clim6_valence_p07,une_valeur
clim6_valence_p08,une_valeur
clim6_valence_p09,une_valeur
clim6_valence_p10,une_valeur
clim6_valence_p11,une_valeur
clim7_toulouse_p00,une_valeur
clim7_toulouse_p01,une_valeur
clim7_toulouse_p02,une_valeur
clim7_toulouse_p03,une_valeur
clim7_toulouse_p04,une_valeur
clim7_toulouse_p05,une_valeur
clim7_toulouse_p06,une_valeur
clim7_toulouse_p07,une_valeur
clim7_toulouse_p08,une_valeur
clim7_toulouse_p09,une_valeur
clim7_toulouse_p10,une_valeur
clim7_toulouse_p11,une_valeur
clim8_montpellier_p00,une_valeur
clim8_montpellier_p01,une_valeur
clim8_montpellier_p02,une_valeur
clim8_montpellier_p03,une_valeur
clim8_montpellier_p04,une_valeur
clim8_montpellier_p05,une_valeur
clim8_montpellier_p06,une_valeur
clim8_montpellier_p07,une_valeur
clim8_montpellier_p08,une_valeur
clim8_montpellier_p09,une_valeur
clim8_montpellier_p10,une_valeur
clim8_montpellier_p11,une_valeur
