Espece;alfalfa;trifoliumPratense;trifoliumRepens;loliumPerenne;loliumMultiforum;dactylisGlomerata;festucaArundinacea;typeA;typeB;typeC;typeD;typeb
couleur_r;;;;;;;;;;;;
couleur_g;;;;;;;;;;;;
couleur_b;;;;;;;;;;;;
biomass_above_ground_reinit_winter_species;500;;;;;;;;;;;
LeafAngle;;;;;;;;;;;;
LeafAreaIndexRate;;;;;;;;;;;;
LeafLifeSpanMin;;;;;;;;;;;;
LeafLifeSpanMax;;;;;;;;;;;;
RegrowthKSward;;;;;;;;;;;;
hauteurPourKc1;;;;;;;;;;;;
croissanceRacineCult;;;;;;;;;;;;
VegetativePotentialRadiationUseEfficiencyRate;;;;;;;;;;;;
ThermalTimeAtFlowering;;;;;;;;;;;;
ThermalTimeAtStemElongation;;;;;;;;;;;;
PotentialOrganicMatterDigestibility;;;;;;;;;;;;
YieldCorrectionCoefficient;;;;;;;;;;;;
casCroissanceSenescence;;;;;;;;;;;;
isLEG;;;;;;;;;;;;
C_aer;;;;;;;;;;;;
C_rac;;;;;;;;;;;;
coeffRacBM;;;;;;;;;;;;
coeffRacN;;;;;;;;;;;;
paramDilMaxA;;;;;;;;;;;;
paramDilMaxB;;;;;;;;;;;;
paramDilMinA;;;;;;;;;;;;
paramDilMinB;;;;;;;;;;;;
CN_LostLeafHarvest;;;;;;;;;;;;
profMaxRacines;;;;;;;;;;;;
BM_rac_max;;;;;;;;;;;;
v95_croissance_rac;;;;;;;;;;;;
CN_rac;;;;;;;;;;;;
cn_senescent_root;;;;;;;;;;;;
cn_sheath;;;;;;;;;;;;
cn_senescent_leaf;;;;;;;;;;;;
thermal_time_at_germination_species;;;;;;;;;;;;
