parcelle,ilot,climat_code,climat,site,id_pdg,sol_id,sol
clim1_briançon_sol0_p00,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p01,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p02,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p03,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p04,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p05,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p06,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p07,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p08,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p09,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p10,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol0_p11,clim1_briançon_sol0,1,Climat de montagne,Briançon,90001,330104_330367_1,limono-sableux
clim1_briançon_sol1_p00,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p01,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p02,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p03,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p04,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p05,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p06,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p07,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p08,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p09,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p10,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol1_p11,clim1_briançon_sol1,1,Climat de montagne,Briançon,90001,18960_27491,limoneux
clim1_briançon_sol2_p00,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p01,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p02,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p03,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p04,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p05,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p06,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p07,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p08,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p09,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p10,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim1_briançon_sol2_p11,clim1_briançon_sol2,1,Climat de montagne,Briançon,90001,330151_330489_1,argilo-calcaire
clim2_nancy_sol0_p00,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p01,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p02,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p03,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p04,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p05,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p06,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p07,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p08,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p09,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p10,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol0_p11,clim2_nancy_sol0,2,Climat semi-continental et marges montagnardes,Nancy,90002,330104_330367_1,limono-sableux
clim2_nancy_sol1_p00,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p01,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p02,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p03,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p04,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p05,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p06,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p07,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p08,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p09,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p10,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol1_p11,clim2_nancy_sol1,2,Climat semi-continental et marges montagnardes,Nancy,90002,18960_27491,limoneux
clim2_nancy_sol2_p00,clim2_nancy_sol2,2,Climat semi-continental et marges montagnardes,Nancy,90002,330151_330489_1,argilo-calcaire
clim2_nancy_sol2_p01,clim2_nancy_sol2,2,Climat semi-continental et marges montagnardes,Nancy,90002,330151_330489_1,argilo-calcaire
clim2_nancy_sol2_p02,clim2_nancy_sol2,2,Climat semi-continental et marges montagnardes,Nancy,90002,330151_330489_1,argilo-calcaire
clim2_nancy_sol2_p03,clim2_nancy_sol2,2,Climat semi-continental et marges montagnardes,Nancy,90002,330151_330489_1,argilo-calcaire
clim2_nancy_sol2_p04,clim2_nancy_sol2,2,Climat semi-continental et marges montagnardes,Nancy,90002,330151_330489_1,argilo-calcaire
clim2_nancy_sol2_p05,clim2_nancy_sol2,2,Climat semi-continental et marges montagnardes,Nancy,90002,330151_330489_1,argilo-calcaire
