ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
90001;01/01/2025;0.000;-4.600;4.800;0.810;7.800
90001;02/01/2025;0.000;-6.500;3.500;0.810;7.800
90001;03/01/2025;0.000;-5.000;3.200;0.730;6.350
90001;04/01/2025;0.000;-4.000;4.200;0.670;6.990
90001;05/01/2025;0.000;-3.600;6.300;0.820;7.570
90001;06/01/2025;0.000;-5.100;3.200;0.830;8.010
90001;07/01/2025;0.000;-5.500;4.500;0.860;7.520
90001;08/01/2025;0.000;-7.400;4.900;0.830;8.050
90001;09/01/2025;0.000;-0.500;5.200;1.160;8.090
90001;10/01/2025;0.500;-6.000;3.400;0.680;5.800
90001;11/01/2025;0.000;-8.800;4.500;0.840;8.650
90001;12/01/2025;0.000;-7.800;2.800;0.910;8.700
90001;13/01/2025;0.000;-5.500;4.600;1.160;8.250
90001;14/01/2025;0.000;-4.900;2.900;1.060;8.500
90001;15/01/2025;0.000;-5.200;2.800;0.810;7.420
90001;16/01/2025;0.000;-6.600;4.500;0.850;8.560
90001;17/01/2025;11.200;-5.800;1.000;0.380;3.240
90001;18/01/2025;0.000;-10.400;1.200;0.780;9.090
90001;19/01/2025;0.100;-11.100;-1.700;0.630;7.170
90001;20/01/2025;0.500;-10.000;-3.500;0.480;5.480
90001;21/01/2025;0.000;-10.900;-0.300;0.590;6.070
90001;22/01/2025;0.000;-6.300;1.200;0.870;8.630
90001;23/01/2025;0.000;-6.700;3.300;0.870;8.400
90001;24/01/2025;0.000;-6.800;2.200;0.770;7.890
90001;25/01/2025;0.000;-5.300;2.600;0.770;7.730
90001;26/01/2025;1.900;-6.400;1.500;0.470;4.070
90001;27/01/2025;6.300;-6.700;3.400;0.800;7.730
90001;28/01/2025;14.000;0.500;5.100;0.630;3.780
90001;29/01/2025;1.700;-4.600;4.400;0.970;8.530
90001;30/01/2025;0.300;-4.600;3.800;0.830;7.800
90001;31/01/2025;0.000;-0.200;9.500;1.180;10.040
90001;01/02/2025;1.000;-3.500;5.300;0.810;7.750
90001;02/02/2025;9.300;-1.600;7.200;0.900;7.650
90001;03/02/2025;0.200;5.400;11.700;1.410;9.490
90001;04/02/2025;6.600;-2.500;11.100;1.040;8.330
90001;05/02/2025;0.000;-5.800;1.700;1.050;11.400
90001;06/02/2025;0.000;-4.800;2.900;1.130;9.300
90001;07/02/2025;0.000;-3.200;4.600;1.420;12.320
90001;08/02/2025;0.000;-4.800;4.400;1.420;12.020
90001;09/02/2025;0.200;-3.000;3.100;1.340;12.210
90001;10/02/2025;1.800;-0.800;8.900;1.240;8.290
90001;11/02/2025;4.000;-1.300;6.400;1.070;7.470
90001;12/02/2025;0.000;-5.500;3.700;1.550;13.430
90001;13/02/2025;6.700;-6.200;4.200;1.070;8.850
90001;14/02/2025;0.300;-3.200;6.200;1.410;12.900
90001;15/02/2025;0.000;-1.800;7.100;1.760;13.290
90001;16/02/2025;0.000;-0.900;9.500;1.740;11.560
90001;17/02/2025;1.400;-1.100;8.100;1.370;10.270
90001;18/02/2025;0.000;-6.100;6.000;1.530;14.090
90001;19/02/2025;1.000;-6.100;3.100;0.980;9.220
90001;20/02/2025;0.000;-5.900;5.400;1.640;14.670
90001;21/02/2025;0.000;-4.200;5.900;1.590;13.800
90001;22/02/2025;0.000;-0.800;9.300;1.990;14.880
90001;23/02/2025;0.000;-0.400;14.800;2.130;14.940
90001;24/02/2025;0.000;-0.600;14.700;2.180;15.610
90001;25/02/2025;0.200;-2.500;8.000;1.620;13.310
90001;26/02/2025;9.800;-3.200;1.800;0.990;10.180
90001;27/02/2025;11.600;-7.800;4.000;0.790;7.560
90001;28/02/2025;0.000;-6.900;3.500;1.750;16.530
90001;01/03/2025;10.800;-0.100;4.900;1.380;12.600
90001;02/03/2025;36.200;-1.200;2.000;0.500;3.700
90001;03/03/2025;0.800;-5.700;1.100;1.510;15.110
90001;04/03/2025;0.100;-6.700;6.000;1.610;14.420
90001;05/03/2025;37.900;-0.500;5.000;0.750;5.600
90001;06/03/2025;1.100;-5.700;1.300;1.690;17.200
90001;07/03/2025;0.000;-8.900;1.000;1.670;18.140
90001;08/03/2025;0.000;-9.600;2.800;1.750;17.240
90001;09/03/2025;0.900;-6.200;1.700;1.560;16.050
90001;10/03/2025;1.700;-7.500;6.900;1.620;13.350
90001;11/03/2025;0.000;-0.300;15.400;2.760;18.870
90001;12/03/2025;1.800;1.300;11.300;2.410;18.400
90001;13/03/2025;6.100;-0.400;10.300;2.390;18.490
90001;14/03/2025;0.000;-1.600;9.200;2.320;18.740
90001;15/03/2025;0.000;-2.100;7.400;2.070;17.320
90001;16/03/2025;0.000;-0.100;9.400;2.130;16.770
90001;17/03/2025;0.000;-0.100;12.300;2.770;20.220
90001;18/03/2025;0.000;-0.500;11.600;2.760;20.550
90001;19/03/2025;0.000;-1.200;11.000;2.770;20.830
90001;20/03/2025;0.000;-1.700;8.900;2.210;17.130
90001;21/03/2025;0.000;-1.100;10.200;2.780;21.150
90001;22/03/2025;0.500;1.500;7.700;1.500;11.530
90001;23/03/2025;0.000;0.300;7.000;2.290;19.100
90001;24/03/2025;0.800;-5.300;4.300;1.500;12.950
90001;25/03/2025;0.600;-6.800;0.900;1.680;17.620
90001;26/03/2025;3.600;-5.400;0.000;1.240;12.890
90001;27/03/2025;3.400;-1.200;3.900;1.090;9.160
90001;28/03/2025;0.000;-0.100;9.600;2.710;20.850
90001;29/03/2025;0.000;-1.700;8.600;2.330;17.880
90001;30/03/2025;0.000;1.300;6.400;1.610;12.450
90001;31/03/2025;0.000;-0.600;6.800;1.980;16.480
90001;01/04/2025;0.000;-2.700;6.700;2.720;22.770
90001;02/04/2025;0.000;-0.700;7.600;2.950;23.370
90001;03/04/2025;0.000;-2.600;8.300;3.050;23.870
90001;04/04/2025;0.000;-3.000;8.700;3.110;24.440
90001;05/04/2025;0.000;-2.100;9.600;3.120;24.340
90001;06/04/2025;0.000;-2.900;9.600;3.220;24.710
90001;07/04/2025;0.000;-2.000;11.000;3.460;25.480
90001;08/04/2025;0.000;-1.100;10.800;3.520;25.570
90001;09/04/2025;0.000;-0.800;11.800;3.580;25.720
90001;10/04/2025;0.000;0.400;12.300;3.610;25.860
90001;11/04/2025;0.000;0.500;12.600;3.710;26.370
90001;12/04/2025;0.000;0.800;11.900;3.400;23.780
90001;13/04/2025;0.000;4.100;10.200;2.780;19.450
90001;14/04/2025;0.000;2.100;12.600;3.810;26.340
90001;15/04/2025;0.000;-1.700;11.200;3.730;26.800
90001;16/04/2025;0.000;0.600;12.500;3.660;25.920
90001;17/04/2025;0.000;2.400;12.800;3.660;25.500
90001;18/04/2025;0.000;2.600;12.900;3.140;21.370
90001;19/04/2025;2.500;3.000;12.600;1.870;12.010
90001;20/04/2025;7.900;5.200;8.700;1.280;8.390
90001;21/04/2025;11.400;4.200;7.900;1.400;9.730
90001;22/04/2025;0.900;1.100;8.400;3.100;24.650
90001;23/04/2025;0.000;0.000;13.700;4.110;28.470
90001;24/04/2025;0.000;2.600;13.200;3.820;26.600
90001;25/04/2025;0.000;1.300;15.100;4.050;27.680
90001;26/04/2025;3.200;1.300;12.400;3.260;22.650
90001;27/04/2025;2.600;4.500;11.800;2.040;13.360
90001;28/04/2025;2.800;4.100;11.300;1.620;11.210
90001;29/04/2025;3.400;1.500;10.000;3.610;27.870
90001;30/04/2025;8.400;3.300;9.400;1.470;10.800
90001;01/05/2025;21.900;2.900;9.400;1.450;10.560
90001;02/05/2025;10.600;6.100;12.900;2.700;18.520
90001;03/05/2025;1.800;4.700;14.400;3.490;22.980
90001;04/05/2025;0.000;3.300;18.700;4.710;29.000
90001;05/05/2025;0.500;6.300;18.900;4.000;24.120
90001;06/05/2025;0.000;5.800;15.700;4.260;28.090
90001;07/05/2025;0.000;4.100;20.200;4.790;28.310
90001;08/05/2025;0.000;6.500;19.600;4.200;24.450
90001;09/05/2025;5.100;6.300;20.600;4.350;24.670
90001;10/05/2025;16.600;7.400;14.800;1.980;11.430
90001;11/05/2025;12.600;6.100;11.300;1.600;10.490
90001;12/05/2025;0.100;5.900;15.700;2.600;15.510
90001;13/05/2025;8.200;5.100;11.700;1.470;9.310
90001;14/05/2025;2.700;7.700;16.300;3.060;17.910
90001;15/05/2025;3.600;6.500;13.400;2.070;12.370
90001;16/05/2025;6.800;6.100;16.700;2.700;16.130
90001;17/05/2025;3.800;8.300;15.500;2.530;15.330
90001;18/05/2025;1.400;7.500;18.400;4.050;24.020
90001;19/05/2025;1.400;8.500;18.100;4.080;24.360
90001;20/05/2025;0.300;6.000;20.700;4.850;28.200
90001;21/05/2025;0.500;8.100;22.700;4.980;28.240
90001;22/05/2025;0.000;7.500;22.900;4.880;27.450
