ESPECE;maisTP;maisP;maisDP;maisDT;maisT;maisTT;maisEnsilTP;maisEnsilP;maisEnsilDP;maisEnsilDT;maisEnsilT;maisEnsilTT;maisSemence;tournesol;BTH;BDH;orgeh;orgep;triticaleh;poish;poisp;feveroleh;colza;sorgho;soja;betterave;pdt;chanvre;gel;ciColza;ciSorghoEnsil;ciPois;ciFeverole;ciTriticaleEnsil;ciOrgehEnsil;ciMoutardeBlanche;ciVesce;mon_espece
RENDEMENT_MOYEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA
RENDEMENT_MIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA
RENDEMENT_OPTIMAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA
COULEUR_R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163
COULEUR_V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;204
COULEUR_B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255
Tbase;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
Tmax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24
DEGRES_J_LevTbase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80
DEGRES_J_Flor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825
DEGRES_J_matPhyTbase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1700
FREIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CRACINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
CVIG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7
KMAX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.24
CSTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
coeff_Fonction_Prod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.8
