sim_idx,ilot_id,zone,sol_type,zone_meteo,N_lixi,dCorg,rdt
0,beauce_10,beauce,330104_330367_1,13218,1.755,-463.93499999999995,4.89
0,beauce_11,beauce,330104_330367_1,13218,1.755,-463.93499999999995,4.89
0,beauce_12,beauce,330104_330367_1,13218,1.755,-463.93499999999995,4.89
0,beauce_13,beauce,330151_330489_1,13218,2.4749999999999996,-476.22,4.51
0,beauce_14,beauce,330151_330489_1,13218,2.955,-461.9,6.72
0,beauce_15,beauce,330151_330489_1,13218,2.955,-461.9,6.72
0,beauce_16,beauce,330151_330489_1,13218,2.955,-461.9,6.72
0,beauce_17,beauce,330151_330489_1,13218,2.4749999999999996,-476.22,4.51
0,beauce_18,beauce,330151_330489_1,13218,2.955,-461.9,6.72
0,beauce_19,beauce,18960_27491,13218,2.1950000000000003,-587.785,5.03
0,beauce_1,beauce,330151_330489_1,13218,2.58,-488.65500000000003,4.95
0,beauce_20,beauce,18960_27491,13218,2.07,-470.98,7.57
0,beauce_21,beauce,18960_27491,13218,2.07,-470.98,7.57
0,beauce_22,beauce,18960_27491,13218,2.07,-470.98,7.57
0,beauce_23,beauce,18960_27491,13218,2.1950000000000003,-587.785,5.03
0,beauce_24,beauce,18960_27491,13218,2.07,-470.98,7.57
0,beauce_25,beauce,18960_27491,13218,2.1950000000000003,-587.785,5.03
0,beauce_26,beauce,18960_27491,13218,2.0749999999999997,-471.055,7.57
0,beauce_27,beauce,18960_27491,13218,2.0749999999999997,-471.055,7.57
0,beauce_28,beauce,18960_27491,13218,2.0749999999999997,-471.055,7.57
0,beauce_29,beauce,18960_27491,13218,2.1950000000000003,-587.785,5.03
0,beauce_2,beauce,330151_330489_1,13218,2.58,-488.65500000000003,4.95
0,beauce_30,beauce,18960_27491,13218,2.0749999999999997,-471.055,7.57
0,beauce_31,beauce,330151_330489_1,13218,2.4749999999999996,-476.22,4.51
0,beauce_32,beauce,330151_330489_1,13218,2.955,-461.895,6.72
0,beauce_33,beauce,330151_330489_1,13218,2.955,-461.895,6.72
0,beauce_34,beauce,330151_330489_1,13218,2.955,-461.895,6.72
0,beauce_35,beauce,330151_330489_1,13218,2.4749999999999996,-476.22,4.51
0,beauce_36,beauce,330151_330489_1,13218,2.955,-461.895,6.72
0,beauce_37,beauce,330104_330367_1,13218,1.595,-452.69500000000005,4.59
