Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;TEMPS
beauce_5_sa_000;BTH;ble;2019;SEMIS;;11/10/2019;2.0;semis;;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;1;08/03/2020;;AN;67.1;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;2;17/03/2020;;AN;32.6;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;3;31/03/2020;;AN;79.7;
beauce_5_sa_000;BTH;ble;2019;RECOLTE;;20/06/2020;;;;
beauce_5_sa_000;BTH;ble;2020;SEMIS;;11/10/2020;2.0;semis;;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;1;09/03/2021;;AN;67.1;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;2;18/03/2021;;AN;32.6;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;3;01/04/2021;;AN;79.7;
beauce_5_sa_000;BTH;ble;2020;RECOLTE;;21/06/2021;;;;
beauce_5_sa_000;BTH;ble;2021;SEMIS;;11/10/2021;2.0;semis;;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;1;09/03/2022;;AN;67.1;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;2;18/03/2022;;AN;32.6;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;3;01/04/2022;;AN;79.7;
beauce_5_sa_000;BTH;ble;2021;RECOLTE;;21/06/2022;;;;
beauce_5_sa_000;BTH;ble;2022;SEMIS;;11/10/2022;2.0;semis;;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;1;09/03/2023;;AN;67.1;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;2;18/03/2023;;AN;32.6;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;3;01/04/2023;;AN;79.7;
beauce_5_sa_000;BTH;ble;2022;RECOLTE;;21/06/2023;;;;
beauce_5_sa_000;BTH;ble;2023;SEMIS;;11/10/2023;2.0;semis;;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;1;08/03/2024;;AN;67.1;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;2;17/03/2024;;AN;32.6;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;3;31/03/2024;;AN;79.7;
beauce_5_sa_000;BTH;ble;2023;RECOLTE;;20/06/2024;;;;
beauce_5_sa_000;BTH;ble;2024;SEMIS;;11/10/2024;2.0;semis;;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;1;09/03/2025;;AN;67.1;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;2;18/03/2025;;AN;32.6;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;3;01/04/2025;;AN;79.7;
beauce_5_sa_000;BTH;ble;2024;RECOLTE;;21/06/2025;;;;
beauce_5_sa_000;BTH;ble;2025;SEMIS;;11/10/2025;2.0;semis;;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;1;09/03/2026;;AN;67.1;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;2;18/03/2026;;AN;32.6;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;3;01/04/2026;;AN;79.7;
beauce_5_sa_000;BTH;ble;2025;RECOLTE;;21/06/2026;;;;
beauce_5_sa_000;BTH;ble;2026;SEMIS;;11/10/2026;2.0;semis;;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;1;09/03/2027;;AN;67.1;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;2;18/03/2027;;AN;32.6;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;3;01/04/2027;;AN;79.7;
beauce_5_sa_000;BTH;ble;2026;RECOLTE;;21/06/2027;;;;
beauce_5_sa_000;BTH;ble;2027;SEMIS;;11/10/2027;2.0;semis;;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;1;08/03/2028;;AN;67.1;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;2;17/03/2028;;AN;32.6;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;3;31/03/2028;;AN;79.7;
beauce_5_sa_000;BTH;ble;2027;RECOLTE;;20/06/2028;;;;
beauce_5_sa_000;BTH;ble;2028;SEMIS;;11/10/2028;2.0;semis;;
beauce_5_sa_000;BTH;ble;2028;FERTI_Min;1;09/03/2029;;AN;67.1;
beauce_5_sa_000;BTH;ble;2028;FERTI_Min;2;18/03/2029;;AN;32.6;
beauce_5_sa_000;BTH;ble;2028;FERTI_Min;3;01/04/2029;;AN;79.7;
beauce_5_sa_000;BTH;ble;2028;RECOLTE;;21/06/2029;;;;
beauce_5_sa_000;BTH;ble;2029;SEMIS;;11/10/2029;2.0;semis;;
beauce_5_sa_000;BTH;ble;2029;FERTI_Min;1;09/03/2030;;AN;67.1;
beauce_5_sa_000;BTH;ble;2029;FERTI_Min;2;18/03/2030;;AN;32.6;
beauce_5_sa_000;BTH;ble;2029;FERTI_Min;3;01/04/2030;;AN;79.7;
beauce_5_sa_000;BTH;ble;2029;RECOLTE;;21/06/2030;;;;
beauce_5_sa_000;BTH;ble;2030;SEMIS;;11/10/2030;2.0;semis;;
beauce_5_sa_000;BTH;ble;2030;FERTI_Min;1;09/03/2031;;AN;67.1;
beauce_5_sa_000;BTH;ble;2030;FERTI_Min;2;18/03/2031;;AN;32.6;
beauce_5_sa_000;BTH;ble;2030;FERTI_Min;3;01/04/2031;;AN;79.7;
beauce_5_sa_000;BTH;ble;2030;RECOLTE;;21/06/2031;;;;
beauce_5_sa_001;BTH;ble;2019;SEMIS;;16/09/2019;2.3;semis;;
beauce_5_sa_001;BTH;ble;2019;FERTI_Min;1;28/05/2020;;AN;51.7;
beauce_5_sa_001;BTH;ble;2019;FERTI_Min;2;29/05/2020;;AN;67.1;
beauce_5_sa_001;BTH;ble;2019;FERTI_Min;3;30/05/2020;;AN;85.2;
beauce_5_sa_001;BTH;ble;2019;RECOLTE;;05/08/2020;;;;
beauce_5_sa_001;BTH;ble;2020;SEMIS;;16/09/2020;2.3;semis;;
beauce_5_sa_001;BTH;ble;2020;FERTI_Min;1;29/05/2021;;AN;51.7;
beauce_5_sa_001;BTH;ble;2020;FERTI_Min;2;30/05/2021;;AN;67.1;
beauce_5_sa_001;BTH;ble;2020;FERTI_Min;3;31/05/2021;;AN;85.2;
beauce_5_sa_001;BTH;ble;2020;RECOLTE;;06/08/2021;;;;
beauce_5_sa_001;BTH;ble;2021;SEMIS;;16/09/2021;2.3;semis;;
beauce_5_sa_001;BTH;ble;2021;FERTI_Min;1;29/05/2022;;AN;51.7;
beauce_5_sa_001;BTH;ble;2021;FERTI_Min;2;30/05/2022;;AN;67.1;
beauce_5_sa_001;BTH;ble;2021;FERTI_Min;3;31/05/2022;;AN;85.2;
beauce_5_sa_001;BTH;ble;2021;RECOLTE;;06/08/2022;;;;
beauce_5_sa_001;BTH;ble;2022;SEMIS;;16/09/2022;2.3;semis;;
beauce_5_sa_001;BTH;ble;2022;FERTI_Min;1;29/05/2023;;AN;51.7;
beauce_5_sa_001;BTH;ble;2022;FERTI_Min;2;30/05/2023;;AN;67.1;
beauce_5_sa_001;BTH;ble;2022;FERTI_Min;3;31/05/2023;;AN;85.2;
beauce_5_sa_001;BTH;ble;2022;RECOLTE;;06/08/2023;;;;
beauce_5_sa_001;BTH;ble;2023;SEMIS;;16/09/2023;2.3;semis;;
beauce_5_sa_001;BTH;ble;2023;FERTI_Min;1;28/05/2024;;AN;51.7;
beauce_5_sa_001;BTH;ble;2023;FERTI_Min;2;29/05/2024;;AN;67.1;
beauce_5_sa_001;BTH;ble;2023;FERTI_Min;3;30/05/2024;;AN;85.2;
beauce_5_sa_001;BTH;ble;2023;RECOLTE;;05/08/2024;;;;
beauce_5_sa_001;BTH;ble;2024;SEMIS;;16/09/2024;2.3;semis;;
beauce_5_sa_001;BTH;ble;2024;FERTI_Min;1;29/05/2025;;AN;51.7;
beauce_5_sa_001;BTH;ble;2024;FERTI_Min;2;30/05/2025;;AN;67.1;
beauce_5_sa_001;BTH;ble;2024;FERTI_Min;3;31/05/2025;;AN;85.2;
beauce_5_sa_001;BTH;ble;2024;RECOLTE;;06/08/2025;;;;
beauce_5_sa_001;BTH;ble;2025;SEMIS;;16/09/2025;2.3;semis;;
beauce_5_sa_001;BTH;ble;2025;FERTI_Min;1;29/05/2026;;AN;51.7;
beauce_5_sa_001;BTH;ble;2025;FERTI_Min;2;30/05/2026;;AN;67.1;
beauce_5_sa_001;BTH;ble;2025;FERTI_Min;3;31/05/2026;;AN;85.2;
beauce_5_sa_001;BTH;ble;2025;RECOLTE;;06/08/2026;;;;
beauce_5_sa_001;BTH;ble;2026;SEMIS;;16/09/2026;2.3;semis;;
beauce_5_sa_001;BTH;ble;2026;FERTI_Min;1;29/05/2027;;AN;51.7;
beauce_5_sa_001;BTH;ble;2026;FERTI_Min;2;30/05/2027;;AN;67.1;
beauce_5_sa_001;BTH;ble;2026;FERTI_Min;3;31/05/2027;;AN;85.2;
beauce_5_sa_001;BTH;ble;2026;RECOLTE;;06/08/2027;;;;
beauce_5_sa_001;BTH;ble;2027;SEMIS;;16/09/2027;2.3;semis;;
beauce_5_sa_001;BTH;ble;2027;FERTI_Min;1;28/05/2028;;AN;51.7;
beauce_5_sa_001;BTH;ble;2027;FERTI_Min;2;29/05/2028;;AN;67.1;
beauce_5_sa_001;BTH;ble;2027;FERTI_Min;3;30/05/2028;;AN;85.2;
beauce_5_sa_001;BTH;ble;2027;RECOLTE;;05/08/2028;;;;
beauce_5_sa_001;BTH;ble;2028;SEMIS;;16/09/2028;2.3;semis;;
beauce_5_sa_001;BTH;ble;2028;FERTI_Min;1;29/05/2029;;AN;51.7;
beauce_5_sa_001;BTH;ble;2028;FERTI_Min;2;30/05/2029;;AN;67.1;
beauce_5_sa_001;BTH;ble;2028;FERTI_Min;3;31/05/2029;;AN;85.2;
beauce_5_sa_001;BTH;ble;2028;RECOLTE;;06/08/2029;;;;
beauce_5_sa_001;BTH;ble;2029;SEMIS;;16/09/2029;2.3;semis;;
beauce_5_sa_001;BTH;ble;2029;FERTI_Min;1;29/05/2030;;AN;51.7;
beauce_5_sa_001;BTH;ble;2029;FERTI_Min;2;30/05/2030;;AN;67.1;
beauce_5_sa_001;BTH;ble;2029;FERTI_Min;3;31/05/2030;;AN;85.2;
beauce_5_sa_001;BTH;ble;2029;RECOLTE;;06/08/2030;;;;
beauce_5_sa_001;BTH;ble;2030;SEMIS;;16/09/2030;2.3;semis;;
beauce_5_sa_001;BTH;ble;2030;FERTI_Min;1;29/05/2031;;AN;51.7;
beauce_5_sa_001;BTH;ble;2030;FERTI_Min;2;30/05/2031;;AN;67.1;
beauce_5_sa_001;BTH;ble;2030;FERTI_Min;3;31/05/2031;;AN;85.2;
beauce_5_sa_001;BTH;ble;2030;RECOLTE;;06/08/2031;;;;
beauce_5_sa_002;BTH;ble;2019;PREPA;;26/10/2019;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2019;PREPA;2;26/10/2019;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2019;SEMIS;;13/11/2019;1.1;semis;;
beauce_5_sa_002;BTH;ble;2019;RECOLTE;;28/06/2020;;;;
beauce_5_sa_002;BTH;ble;2020;PREPA;;26/10/2020;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2020;PREPA;2;26/10/2020;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2020;SEMIS;;13/11/2020;1.1;semis;;
beauce_5_sa_002;BTH;ble;2020;RECOLTE;;29/06/2021;;;;
beauce_5_sa_002;BTH;ble;2021;PREPA;;26/10/2021;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2021;PREPA;2;26/10/2021;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2021;SEMIS;;13/11/2021;1.1;semis;;
beauce_5_sa_002;BTH;ble;2021;RECOLTE;;29/06/2022;;;;
beauce_5_sa_002;BTH;ble;2022;PREPA;;26/10/2022;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2022;PREPA;2;26/10/2022;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2022;SEMIS;;13/11/2022;1.1;semis;;
beauce_5_sa_002;BTH;ble;2022;RECOLTE;;29/06/2023;;;;
beauce_5_sa_002;BTH;ble;2023;PREPA;;26/10/2023;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2023;PREPA;2;26/10/2023;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2023;SEMIS;;13/11/2023;1.1;semis;;
beauce_5_sa_002;BTH;ble;2023;RECOLTE;;28/06/2024;;;;
beauce_5_sa_002;BTH;ble;2024;PREPA;;26/10/2024;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2024;PREPA;2;26/10/2024;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2024;SEMIS;;13/11/2024;1.1;semis;;
beauce_5_sa_002;BTH;ble;2024;RECOLTE;;29/06/2025;;;;
beauce_5_sa_002;BTH;ble;2025;PREPA;;26/10/2025;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2025;PREPA;2;26/10/2025;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2025;SEMIS;;13/11/2025;1.1;semis;;
beauce_5_sa_002;BTH;ble;2025;RECOLTE;;29/06/2026;;;;
beauce_5_sa_002;BTH;ble;2026;PREPA;;26/10/2026;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2026;PREPA;2;26/10/2026;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2026;SEMIS;;13/11/2026;1.1;semis;;
beauce_5_sa_002;BTH;ble;2026;RECOLTE;;29/06/2027;;;;
beauce_5_sa_002;BTH;ble;2027;PREPA;;26/10/2027;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2027;PREPA;2;26/10/2027;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2027;SEMIS;;13/11/2027;1.1;semis;;
beauce_5_sa_002;BTH;ble;2027;RECOLTE;;28/06/2028;;;;
beauce_5_sa_002;BTH;ble;2028;PREPA;;26/10/2028;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2028;PREPA;2;26/10/2028;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2028;SEMIS;;13/11/2028;1.1;semis;;
beauce_5_sa_002;BTH;ble;2028;RECOLTE;;29/06/2029;;;;
beauce_5_sa_002;BTH;ble;2029;PREPA;;26/10/2029;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2029;PREPA;2;26/10/2029;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2029;SEMIS;;13/11/2029;1.1;semis;;
beauce_5_sa_002;BTH;ble;2029;RECOLTE;;29/06/2030;;;;
beauce_5_sa_002;BTH;ble;2030;PREPA;;26/10/2030;23.4;travail_sol_1;;
beauce_5_sa_002;BTH;ble;2030;PREPA;2;26/10/2030;16.0;une_reprise;;
beauce_5_sa_002;BTH;ble;2030;SEMIS;;13/11/2030;1.1;semis;;
beauce_5_sa_002;BTH;ble;2030;RECOLTE;;29/06/2031;;;;
beauce_5_sa_003;BTH;ble;2019;PREPA;;11/09/2019;2.3;travail_sol_1;;
beauce_5_sa_003;BTH;ble;2019;PREPA;2;11/09/2019;10.5;une_reprise;;
beauce_5_sa_003;BTH;ble;2019;SEMIS;;16/09/2019;1.7;semis;;
beauce_5_sa_003;BTH;ble;2019;FERTI_Min;1;11/02/2020;;AN;69.2;
beauce_5_sa_003;BTH;ble;2019;FERTI_Min;2;04/03/2020;;AN;99.5;
beauce_5_sa_003;BTH;ble;2019;RECOLTE;;16/07/2020;;;;
beauce_5_sa_003;BTH;ble;2020;PREPA;;11/09/2020;2.3;travail_sol_1;;
beauce_5_sa_003;BTH;ble;2020;PREPA;2;11/09/2020;10.5;une_reprise;;
beauce_5_sa_003;BTH;ble;2020;SEMIS;;16/09/2020;1.7;semis;;
beauce_5_sa_003;BTH;ble;2020;FERTI_Min;1;11/02/2021;;AN;69.2;
beauce_5_sa_003;BTH;ble;2020;FERTI_Min;2;05/03/2021;;AN;99.5;
beauce_5_sa_003;BTH;ble;2020;RECOLTE;;17/07/2021;;;;
