feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
0,0,53.0,-20.0,1.4,15.0,10.0,259.0,383.0,393.0,334.0,10.0,10.0,10.0,0,0,1.463684210526316,-135.53894736842105,5.54111111111111,0,beauce_5_sa_000
0,0,87.0,-20.0,3.3,15.0,10.0,259.0,383.0,393.0,9.0,10.0,10.0,10.0,0,0,1.896842105263158,-151.59368421052633,5.316666666666666,1,beauce_5_sa_001
0,0,52.0,-20.0,2.4,15.0,10.0,259.0,383.0,393.0,336.0,10.0,10.0,10.0,0,0,1.4600000000000002,-125.63210526315788,5.362222222222222,2,beauce_5_sa_002
2,1,58.0,-17.0,3.4,20.6,10.0,317.0,318.0,393.0,342.0,12.2,35.7,10.0,0,0,3.5678947368421055,-73.37105263157895,7.044444444444444,3,beauce_5_sa_003
1,0,75.0,-20.0,1.2,15.0,10.0,114.0,383.0,393.0,16.0,47.4,10.0,10.0,0,0,4.590526315789473,-160.69263157894736,7.616666666666666,4,beauce_5_sa_004
0,0,46.0,-20.0,3.1,15.0,10.0,259.0,383.0,393.0,360.0,10.0,10.0,10.0,0,0,1.6536842105263156,-155.8178947368421,5.199999999999999,5,beauce_5_sa_005
1,0,73.0,-20.0,3.8,15.0,10.0,295.0,383.0,393.0,340.0,62.5,10.0,10.0,0,0,4.529473684210527,-74.34631578947368,7.636666666666667,6,beauce_5_sa_006
3,0,84.0,-20.0,3.0,15.0,10.0,301.0,302.0,303.0,324.0,34.1,18.0,28.5,0,0,8.50263157894737,-28.676315789473687,7.417777777777778,7,beauce_5_sa_007
0,0,73.0,-20.0,2.2,15.0,10.0,259.0,383.0,393.0,357.0,10.0,10.0,10.0,0,0,1.5531578947368423,-135.1121052631579,5.3133333333333335,8,beauce_5_sa_008
2,0,53.0,-20.0,1.3,15.0,10.0,160.0,211.0,393.0,348.0,69.7,13.7,10.0,0,0,2.4,-93.2742105263158,8.757777777777777,9,beauce_5_sa_009
1,2,77.0,-24.0,3.0,20.6,9.2,188.0,383.0,393.0,346.0,44.0,10.0,10.0,0,0,1.401052631578947,-52.723684210526315,7.514444444444444,10,beauce_5_sa_010
1,0,88.0,-20.0,1.1,15.0,10.0,166.0,383.0,393.0,342.0,83.9,10.0,10.0,0,0,3.676842105263158,-67.98263157894736,8.596666666666668,11,beauce_5_sa_011
2,0,95.0,-20.0,2.4,15.0,10.0,272.0,273.0,393.0,8.0,69.7,28.9,10.0,0,0,5.157368421052631,-73.73894736842105,8.507777777777779,12,beauce_5_sa_012
3,2,84.0,-39.0,3.9,15.9,2.8,154.0,239.0,286.0,362.0,90.2,15.9,39.9,0,0,3.82,-23.88,8.995555555555557,13,beauce_5_sa_013
1,0,55.0,-20.0,3.2,15.0,10.0,251.0,383.0,393.0,15.0,94.8,10.0,10.0,0,0,6.8910526315789475,-97.26473684210526,8.196666666666665,14,beauce_5_sa_014
1,0,104.0,-20.0,1.1,15.0,10.0,181.0,383.0,393.0,9.0,33.1,10.0,10.0,0,0,2.523157894736842,-130.75578947368422,7.115555555555555,15,beauce_5_sa_015
1,1,61.0,-36.0,1.1,17.2,10.0,143.0,383.0,393.0,14.0,44.4,10.0,10.0,0,0,2.7657894736842104,-104.70315789473683,7.4255555555555555,16,beauce_5_sa_016
