annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;306;beauce_5_sa_000;solnu;;953.3;1.71;1.25;6.53;0.0;0.0;0.0;961.07;0.07
2019;307;365;beauce_5_sa_000;BTH;BTH;405.17;1.71;35.38;2.73;6.0;1.26;388.66;839.2;0.07
2019;213;274;beauce_5_sa_001;solnu;;766.93;1.71;0.0;5.26;0.0;0.0;0.0;772.19;0.07
2019;275;365;beauce_5_sa_001;BTH;BTH;590.15;1.71;21.58;3.99;1.91;1.09;123.86;742.6;0.07
2019;213;313;beauce_5_sa_002;solnu;;1014.2;1.71;5.25;6.96;0.0;0.0;0.0;1026.42;0.07
2019;314;365;beauce_5_sa_002;BTH;BTH;344.47;1.71;20.23;2.3;0.0;0.94;0.0;367.94;0.07
2019;213;266;beauce_5_sa_003;solnu;;696.96;1.71;0.0;4.79;0.0;0.0;0.0;701.75;0.07
2019;267;365;beauce_5_sa_003;BTH;BTH;659.59;1.71;15.31;4.46;2.13;1.11;137.76;820.36;0.07
2019;213;280;beauce_5_sa_004;solnu;;798.81;1.71;0.0;5.47;0.0;0.0;0.0;804.28;0.07
2019;281;365;beauce_5_sa_004;BTH;BTH;560.03;1.71;16.9;3.79;0.0;0.96;0.0;581.68;0.07
2019;213;293;beauce_5_sa_005;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_005;BTH;BTH;493.41;1.71;23.84;3.33;0.0;0.93;0.0;521.51;0.07
2019;213;308;beauce_5_sa_006;solnu;;975.66;1.71;3.67;6.67;0.0;0.0;0.0;986.0;0.07
2019;309;365;beauce_5_sa_006;BTH;BTH;383.02;1.71;22.74;2.59;2.33;0.94;150.86;562.47;0.07
2019;213;312;beauce_5_sa_007;solnu;;1004.94;1.71;5.1;6.89;0.0;0.0;0.0;1016.94;0.07
2019;313;365;beauce_5_sa_007;BTH;BTH;353.71;1.71;20.31;2.37;0.0;0.93;0.0;377.32;0.07
2019;213;299;beauce_5_sa_008;solnu;;908.62;1.71;0.0;6.21;0.0;0.0;0.0;914.83;0.07
2019;300;365;beauce_5_sa_008;BTH;BTH;449.6;1.71;24.81;3.04;0.0;0.88;0.0;478.34;0.07
2019;213;308;beauce_5_sa_009;solnu;;975.66;1.71;3.67;6.67;0.0;0.0;0.0;986.0;0.07
2019;309;365;beauce_5_sa_009;BTH;BTH;383.02;1.71;21.56;2.59;0.0;0.94;0.0;408.11;0.07
2019;213;271;beauce_5_sa_010;solnu;;744.36;1.71;0.0;5.12;0.0;0.0;0.0;749.48;0.07
2019;272;365;beauce_5_sa_010;BTH;BTH;612.89;1.71;12.13;4.13;0.0;1.04;0.0;630.2;0.07
